group,observable,t_day,value_log10,is_censored
low,V,0.08333333333333333,3.8211323873448833,0
low,V,0.25,3.8615786146501634,0
low,V,1.0,3.851756828337781,0
low,D,0.25,3.516385956181827,0
low,D,1.0,3.498033482055539,0
low,F,0.08333333333333333,0.7348484848,0
low,F,0.25,1.643939394,0
low,F,1.0,1.590909091,0
med,V,0.08333333333333333,3.6564333326756606,0
med,V,0.25,3.026100388604001,0
med,V,1.0,2.994495761894019,0
med,D,0.08333333333333333,3.794140192961149,0
med,D,0.25,4.105828448558069,0
med,D,1.0,4.120730545087017,0
med,F,0.08333333333333333,1.416666667,0
med,F,0.25,2.098484848,0
med,F,1.0,1.174242424,0
high,V,0.08333333333333333,2.6615079101609047,0
high,V,0.25,2.731760354150791,0
high,V,1.0,2.0870427732585233,0
high,D,0.08333333333333333,4.040727073092346,0
high,D,0.25,4.075436841008033,0
high,D,1.0,4.212766774705444,0
high,F,0.08333333333333333,2.113636364,0
high,F,0.25,2.367424242,0
high,F,1.0,1.075757576,0
