group,observable,t_day,value_log10,is_censored
low,V,0.25,3.30816078,0
low,V,1.0,5.013398295,0
low,V,2.0,5.866017052,0
low,V,4.0,5.644336175,0
low,D,0.25,4.571274915078559,0
low,D,1.0,4.760477778045116,0
low,D,2.0,6.625807300891006,0
low,D,4.0,6.721502548541043,0
low,F,0.25,-2.0,0
low,F,1.0,-1.155908823455553,0
low,F,2.0,1.7744682992468377,0
low,F,4.0,1.2568439882874525,0
med,V,0.25,3.828258222,0
med,V,1.0,5.567600487,0
med,V,2.0,6.283800244,0
med,V,4.0,5.891595615,0
med,D,0.25,6.813350807106573,0
med,D,1.0,7.34730094736207,0
med,D,2.0,8.5630110940689,0
med,D,4.0,8.765643494497338,0
med,F,0.25,-0.33649393104597775,0
med,F,1.0,1.2746143971417616,0
med,F,2.0,2.1144702660359083,0
med,F,4.0,1.5183172354787031,0
high,V,0.25,0.0,1
high,V,1.0,2.890377588,0
high,V,2.0,4.53593179,0
high,V,4.0,4.672350792,0
high,D,0.25,7.730565857881418,0
high,D,1.0,7.250499887463049,0
high,D,2.0,8.60966165791342,0
high,D,4.0,7.880765814413426,0
high,F,0.25,0.9417669161226624,0
high,F,1.0,1.8649529078001215,0
high,F,2.0,0.9581245881090108,0
high,F,4.0,-0.3777575731340956,0
