pony,parameter,value
1,beta,2.4161832e-05
1,eps,1.4153793
1,delta,2.8757452
1,p_hat,0.0032033853
1,eps2,2.8998741
1,c,14.491446
1,h,0.90970447
1,s0,4.3433612e-09
1,s_d,2.4261838e-06
1,theta_s,1109.6184
1,alpha,2.0757192
1,intF_50,316.68469
1,V0,100.73903
1,D0,2428.1835
1,d,0.70326654
2,beta,2.8263332e-05
2,eps,13.315163
2,delta,5.948897
2,p_hat,0.021928341
2,eps2,5.4907034
2,c,16.859223
2,h,2.8543429
2,s0,2.8823633e-10
2,s_d,5.7403556e-07
2,theta_s,2689.2376
2,alpha,3.7037087
2,V0,110.39516
2,D0,3936.2875
2,d,0.36978526
3,beta,8.0478764e-05
3,eps,0.29347649
3,delta,5.9840866
3,p_hat,0.0043835766
3,eps2,22.81379
3,c,17.418433
3,h,2.9149211
3,s0,3.6517306e-10
3,s_d,5.7883642e-07
3,theta_s,2729.1489
3,alpha,4.2718519
3,intF_50,312.6254
3,V0,8.1598331
3,D0,3280.2723
3,d,0.2732283
4,beta,0.00012378554
4,eps,0.37910248
4,delta,2.4837306
4,p_hat,0.008225535
4,eps2,12.695016
4,c,5.630273
4,h,1.5846398
4,s0,5.4351221e-11
4,s_d,2.1640993e-07
4,theta_s,5316.3534
4,alpha,1.2079502
4,V0,1.6917673
4,D0,5668.6547
4,d,0.20462612
5,beta,9.1050576e-06
5,eps,0.21708317
5,delta,5.9999997
5,p_hat,0.0066734856
5,eps2,17.358464
5,c,6.1099895
5,h,3.8522474
5,s0,2.3580698e-10
5,s_d,5.0009896e-07
5,theta_s,3010.4743
5,alpha,2.2790366
5,V0,6.5952124
5,D0,3119.8719
5,d,0.23306641
6,beta,0.00010474586
6,eps,0.20172519
6,delta,3.5288348
6,p_hat,0.0037627927
6,eps2,38.858504
6,c,13.226223
6,h,2.5577679
6,s0,2.6945169e-10
6,s_d,5.4239375e-07
6,theta_s,2967.4849
6,alpha,2.3298517
6,intF_50,337.55942
6,V0,6.9835178
6,D0,3495.1335
6,d,0.22840774
