pony,observable,day,value
1,V_log10_copies_per_mL,1,2.7
1,V_log10_copies_per_mL,2,4.9
1,V_log10_copies_per_mL,3,3.3
1,V_log10_copies_per_mL,4,2.7
1,V_log10_copies_per_mL,5,2.3
1,V_log10_copies_per_mL,6,2.2
1,V_log10_copies_per_mL,7,2.3
1,V_log10_copies_per_mL,8,0
1,V_log10_copies_per_mL,9,0
1,V_log10_copies_per_mL,10,0
2,V_log10_copies_per_mL,1,-0.1
2,V_log10_copies_per_mL,2,7.7
2,V_log10_copies_per_mL,3,4.4
2,V_log10_copies_per_mL,4,4.1
2,V_log10_copies_per_mL,5,5.1
2,V_log10_copies_per_mL,6,5.1
2,V_log10_copies_per_mL,7,2.5
2,V_log10_copies_per_mL,8,2.4
2,V_log10_copies_per_mL,9,0
2,V_log10_copies_per_mL,10,0
3,V_log10_copies_per_mL,1,0
3,V_log10_copies_per_mL,2,4.5
3,V_log10_copies_per_mL,3,2.5
3,V_log10_copies_per_mL,4,2.5
3,V_log10_copies_per_mL,5,2.5
3,V_log10_copies_per_mL,6,3.8
3,V_log10_copies_per_mL,7,2.4
3,V_log10_copies_per_mL,8,0
3,V_log10_copies_per_mL,9,0
3,V_log10_copies_per_mL,10,0
4,V_log10_copies_per_mL,1,2.2
4,V_log10_copies_per_mL,2,6.6
4,V_log10_copies_per_mL,3,4.4
4,V_log10_copies_per_mL,4,4.6
4,V_log10_copies_per_mL,5,4.0
4,V_log10_copies_per_mL,6,3.5
4,V_log10_copies_per_mL,7,2.1
4,V_log10_copies_per_mL,8,2.4
4,V_log10_copies_per_mL,9,0
4,V_log10_copies_per_mL,10,2.1
5,V_log10_copies_per_mL,1,3.4
5,V_log10_copies_per_mL,2,6.2
5,V_log10_copies_per_mL,3,2.3
5,V_log10_copies_per_mL,4,2.7
5,V_log10_copies_per_mL,5,2.8
5,V_log10_copies_per_mL,6,2.4
5,V_log10_copies_per_mL,7,0
5,V_log10_copies_per_mL,8,0
5,V_log10_copies_per_mL,9,0
5,V_log10_copies_per_mL,10,0
6,V_log10_copies_per_mL,1,0
6,V_log10_copies_per_mL,2,3.9
6,V_log10_copies_per_mL,3,2.5
6,V_log10_copies_per_mL,4,3.0
6,V_log10_copies_per_mL,5,2.4
6,V_log10_copies_per_mL,6,2.5
6,V_log10_copies_per_mL,7,0
6,V_log10_copies_per_mL,8,0
6,V_log10_copies_per_mL,9,0
6,V_log10_copies_per_mL,10,0
1,IFN_fold_change,0,1.0
1,IFN_fold_change,1,1.4
1,IFN_fold_change,2,1.9
1,IFN_fold_change,3,5.1
1,IFN_fold_change,4,1.9
1,IFN_fold_change,5,0.9
2,IFN_fold_change,0,1.0
2,IFN_fold_change,1,0.4
2,IFN_fold_change,2,5.2
2,IFN_fold_change,3,0.6
2,IFN_fold_change,4,0.1
2,IFN_fold_change,5,0.2
3,IFN_fold_change,0,1.0
3,IFN_fold_change,1,0.2
3,IFN_fold_change,2,1.1
3,IFN_fold_change,3,0.4
3,IFN_fold_change,4,0.1
3,IFN_fold_change,5,0.2
4,IFN_fold_change,0,1.0
4,IFN_fold_change,1,1.0
4,IFN_fold_change,2,5.7
4,IFN_fold_change,3,2.6
4,IFN_fold_change,4,0.2
4,IFN_fold_change,5,0.4
5,IFN_fold_change,0,1.0
5,IFN_fold_change,1,0.8
5,IFN_fold_change,2,5.4
5,IFN_fold_change,3,0.5
5,IFN_fold_change,4,0.2
5,IFN_fold_change,5,0.2
6,IFN_fold_change,0,1.0
6,IFN_fold_change,1,1.1
6,IFN_fold_change,2,10.6
6,IFN_fold_change,3,1.4
6,IFN_fold_change,4,0.5
6,IFN_fold_change,5,0.3
