parameter,group,median,q5,q95
beta,low,6.7365e-06,2.602e-07,0.000209487
delta,low,0.655803,0.142748,4.70111
p_hat,low,2.70825,0.0866467,105.269
eps,low,0.0329111,0.000332062,0.838401
c,low,3.06801,0.495227,31.9452
alpha,low,2.48643,0.21755,27.8435
s0,low,0.0536336,0.00202925,1.54335
cumF50,low,3.07042,0.0792313,106.877
V0,low,8961.29,3467.85,23659.3
sigma_V,low,0.274004,0.111345,1.1523
sigma_F,low,0.328274,0.125012,0.838595
beta,med,1.80188e-05,7.04383e-07,0.000584393
delta,med,0.791533,0.140867,6.0962
p_hat,med,2.4391,0.0707408,81.1907
eps,med,0.0897649,0.000873148,1.56459
c,med,8.53749,1.37806,35.4606
alpha,med,4.14021,0.350362,33.8253
s0,med,0.159087,0.00504155,5.44116
cumF50,med,1.65567,0.0491447,66.0264
V0,med,6472.83,1943.85,21898.3
sigma_V,med,0.363694,0.124752,1.36837
sigma_F,med,0.47212,0.187122,0.919806
beta,high,3.91954e-05,1.33404e-06,0.00218941
delta,high,1.02229,0.148889,8.18992
p_hat,high,0.886277,0.0284262,35.9407
eps,high,0.122319,0.00153767,4.09703
c,high,4.48929,1.16386,36.1229
alpha,high,4.07056,0.28419,34.6324
s0,high,0.862921,0.022722,36.2537
cumF50,high,2.20303,0.0801532,96.371
V0,high,783.288,266.125,2444.07
sigma_V,high,0.394675,0.131063,1.57652
sigma_F,high,0.620049,0.234523,0.958147
