parameter,group,median,q5,q95
beta,low,1.11663e-05,4.23469e-07,0.00031106
delta,low,0.857039,0.159859,4.69551
p_hat,low,5.9254,0.217889,217.971
eps,low,0.0306103,0.000333084,0.37136
c,low,5.86096,0.814195,56.8717
h,low,5.60492,0.747415,32.4399
s0,low,0.0224883,0.000444963,0.820358
s_d,low,0.0307167,0.000266444,0.625893
theta,low,230.07,1.66586,22003.7
alpha,low,2.31394,0.209918,26.5237
d,low,0.127614,0.00134863,0.794862
V0,low,9891.25,3434.47,31251.5
D0,low,0.0960249,0.000667244,11.8028
cumF50,low,3.45713,0.0888325,122.094
sigma_V,low,0.286338,0.113713,1.20763
sigma_D,low,0.94655,0.183002,3.49334
sigma_F,low,0.330207,0.126219,0.838106
beta,med,5.07145e-05,1.86178e-06,0.00155383
delta,med,0.818507,0.142502,4.42152
p_hat,med,12.3334,0.42155,364.873
eps,med,0.0539295,0.000673097,0.638218
c,med,12.0432,2.69041,43.247
h,med,7.00846,1.08218,33.7189
s0,med,0.0340179,0.000571206,1.32288
s_d,med,0.0320101,0.000264479,0.635194
theta,med,212.835,1.48649,22224.6
alpha,med,3.34363,0.281887,32.1163
d,med,0.889729,0.338787,0.98812
V0,med,8741.98,2559.83,28679.4
D0,med,1.08671,0.00740999,169.798
cumF50,med,2.01163,0.0404661,84.9308
sigma_V,med,0.32907,0.11745,1.32175
sigma_D,med,0.354211,0.117209,1.64249
sigma_F,med,0.476123,0.187785,0.916494
beta,high,0.000239897,7.05836e-06,0.00641854
delta,high,0.963496,0.14986,6.17665
p_hat,high,19.3808,0.507454,677.783
eps,high,0.0512088,0.000874282,0.860019
c,high,5.86857,1.3631,42.8684
h,high,6.96077,0.707608,34.8621
s0,high,0.111795,0.00163677,5.73327
s_d,high,0.0332593,0.000257888,0.661883
theta,high,192.275,0.983452,19475.9
alpha,high,3.66639,0.276964,34.0937
d,high,0.990458,0.766258,0.999449
V0,high,908.693,323.757,2848.94
D0,high,16.6416,0.0979461,11700.4
cumF50,high,2.60095,0.0661971,115.028
sigma_V,high,0.407883,0.139656,1.46494
sigma_D,high,0.434152,0.126493,1.92777
sigma_F,high,0.612229,0.235767,0.953585
