parameter,group,median,q5,q95
beta,low,8.84227e-07,4.93612e-08,6.99005e-06
delta,low,1.2446,0.344265,4.12175
p_hat,low,30.4768,2.43064,632.06
eps,low,0.0619194,0.000523078,0.831316
c,low,7.58723,2.06794,35.063
alpha,low,2.32054,0.201492,47.2993
s0,low,0.000621959,3.06706e-05,0.0261197
cumF50,low,6.00028,0.0430134,394.207
V0,low,681.69,18.9608,4983.1
sigma_V,low,0.546709,0.135348,1.97928
sigma_F,low,0.679918,0.33742,0.964806
beta,med,1.17138e-06,1.94832e-07,7.61406e-06
delta,med,1.28189,0.396266,5.21273
p_hat,med,30.6204,2.72184,655.807
eps,med,0.0153603,0.000291617,0.205377
c,med,8.49872,2.25278,35.8022
alpha,med,2.3666,0.29057,39.9319
s0,med,0.00527739,0.000336511,0.190662
cumF50,med,4.42988,0.0839496,333.92
V0,med,1380.2,14.4712,10674.5
sigma_V,med,0.443154,0.128544,1.79539
sigma_F,med,0.330522,0.120623,0.831733
beta,high,5.20225e-05,2.48026e-06,0.00053315
delta,high,2.11196,0.584636,10.9483
p_hat,high,2.03234,0.111525,57.21
eps,high,0.0313133,0.00030768,0.693586
c,high,13.927,2.87644,43.2365
alpha,high,6.71093,0.895422,52.5941
s0,high,0.0933572,0.00314667,3.45846
cumF50,high,0.154978,0.00602275,5.78659
V0,high,6.57334,0.0656065,531.833
sigma_V,high,1.91109,0.476632,4.052
sigma_F,high,0.615334,0.14614,0.966106
