parameter,group,median,q5,q95
beta,low,9.76825e-07,5.48809e-08,9.01529e-06
delta,low,1.17134,0.337458,3.65688
p_hat,low,21.6136,1.73373,411.958
eps,low,0.0357749,0.000390917,0.572691
c,low,6.37641,1.80993,29.3369
h,low,11.8762,1.93441,38.3299
s0,low,0.000740742,3.59264e-05,0.0253136
s_d,low,0.0164001,0.000209436,0.474338
theta,low,479.438,5.96402,26822.4
alpha,low,3.58145,0.238737,55.4742
d,low,0.0006549,5.15816e-05,0.0146353
V0,low,363.244,11.2979,3680.79
D0,low,29.1084,1.14804,1760.76
cumF50,low,5.81283,0.0436373,368.808
sigma_V,low,0.793269,0.199251,2.28741
sigma_D,low,0.53632,0.141691,1.73407
sigma_F,low,0.66256,0.323175,0.96104
beta,med,1.14936e-06,1.8523e-07,8.38739e-06
delta,med,1.09038,0.342926,4.06559
p_hat,med,26.6048,2.6276,475.368
eps,med,0.0143061,0.000431832,0.174657
c,med,7.83178,2.10565,32.4002
h,med,10.547,1.3658,37.792
s0,med,0.00546614,0.000174942,0.189835
s_d,med,0.0261529,0.000271232,0.583128
theta,med,268.967,3.00012,20955.0
alpha,med,4.01521,0.417677,49.4136
d,med,0.0225742,0.00189827,0.278126
V0,med,1277.7,18.2345,10463.2
D0,med,4159.83,209.687,417705.0
cumF50,med,4.80269,0.128425,212.575
sigma_V,med,0.563654,0.148021,1.96911
sigma_D,med,0.444436,0.129101,1.47571
sigma_F,med,0.297885,0.117348,0.806129
beta,high,9.19201e-05,6.2474e-06,0.000633871
delta,high,1.7087,0.512116,6.2549
p_hat,high,1.43843,0.150126,35.9661
eps,high,0.0236587,0.000289427,0.571549
c,high,9.02717,2.1511,37.7058
h,high,10.0605,2.12542,33.0575
s0,high,0.0618354,0.000946202,2.40403
s_d,high,0.0307457,0.000302089,0.648311
theta,high,205.439,1.18777,22360.2
alpha,high,8.01566,0.874521,57.4202
d,high,0.454964,0.0399698,0.960568
V0,high,4.3208,0.071354,339.766
D0,high,37190.9,1958.07,2838230.0
cumF50,high,0.127515,0.00469777,3.93588
sigma_V,high,1.43003,0.400122,3.55431
sigma_D,high,0.572118,0.144125,1.82328
sigma_F,high,0.732403,0.254083,0.975162
