parameter,group,median,q5,q95
beta,low,7.01519e-07,3.78697e-08,7.5566e-06
delta,low,1.17853,0.328209,3.69413
p_hat,low,29.1938,2.00957,620.848
eps,low,0.0431965,0.000560282,0.458854
c,low,6.2927,1.81131,36.1188
h,low,11.6837,1.77266,39.1869
s0,low,0.000546597,3.02828e-05,0.0137917
s_d,low,0.0153642,0.000194436,0.460109
theta,low,568.983,8.55557,28439.1
alpha,low,9.46275,0.868267,71.0233
d,low,0.000640969,5.25599e-05,0.0154241
V0,low,648.547,22.2589,4259.26
D0,low,25.0234,0.878416,1739.63
sigma_V,low,0.625831,0.14343,2.15936
sigma_D,low,0.553766,0.145048,1.77615
sigma_F,low,0.608218,0.302661,0.942624
beta,med,1.53673e-06,2.17378e-07,6.98174e-06
delta,med,0.975618,0.388456,3.56724
p_hat,med,13.9161,2.23781,196.988
eps,med,0.00721043,0.000184763,0.0717634
c,med,5.73084,1.84263,29.9218
h,med,9.97852,1.08828,41.1653
s0,med,0.00141777,8.99363e-05,0.0165939
s_d,med,0.0207349,0.000230749,0.535453
theta,med,379.938,6.58509,23153.5
alpha,med,19.5758,2.90477,79.0614
d,med,0.024785,0.00189277,0.281053
V0,med,4518.24,414.483,16290.3
D0,med,3429.32,118.82,457926.0
sigma_V,med,0.283595,0.113442,1.33369
sigma_D,med,0.639697,0.195034,1.7617
sigma_F,med,0.260722,0.111285,0.785841
beta,high,3.78729e-05,7.37877e-07,0.00146985
delta,high,2.01938,0.205569,10.6543
p_hat,high,10.7081,0.284392,469.348
eps,high,0.0892416,0.000877704,1.70117
c,high,12.5768,1.61897,85.2234
h,high,10.7837,1.16477,39.3104
s0,high,0.00695274,0.000167981,0.517637
s_d,high,0.0260934,0.000257076,0.634339
theta,high,280.386,2.59553,24063.2
alpha,high,12.664,1.11471,72.3602
d,high,0.801479,0.0879176,0.995046
V0,high,28.824,0.204607,1807.37
D0,high,26087.6,528.149,2244040.0
sigma_V,high,2.40206,1.0041,4.32969
sigma_D,high,0.823516,0.335286,2.17018
sigma_F,high,0.77427,0.230956,0.983366
