parameter,group,median,q5,q95
sigma_V,shared,0.981139,0.198437,2.33987
sigma_F,shared,0.869694,0.523733,0.988671
beta,shared,2.49649e-06,2.51809e-07,2.9807e-05
delta,shared,1.61901,0.489168,5.97422
p_hat,shared,26.9828,1.11807,531.945
eps,shared,0.0569204,0.000538701,0.500556
c,shared,10.8211,2.81817,65.1596
s0,shared,0.0240252,0.00104992,0.902911
alpha,shared,4.20843,0.334221,47.2835
V0,low,48.6892,0.539634,996.516
V0,med,319.833,6.69732,4570.13
V0,high,1.78,0.0237538,580.069
cumF50,low,0.267129,0.00687084,22.1179
cumF50,med,0.615664,0.00841004,91.8045
cumF50,high,0.610959,0.0144183,32.0063
