parameter,group,median,q5,q95
sigma_V,shared,1.10576,0.564555,2.1589
sigma_F,shared,0.868846,0.600123,0.989167
beta,shared,3.715e-06,4.73198e-07,3.16595e-05
delta,shared,1.51247,0.435596,6.16127
p_hat,shared,18.0984,1.12578,311.838
eps,shared,0.0565863,0.000560581,0.517651
c,shared,11.3564,2.77947,69.7112
s0,shared,0.028191,0.0012274,1.0529
alpha,shared,3.9101,0.368338,48.8526
V0,low,27.4948,0.481896,986.409
V0,med,182.44,4.06236,4056.33
V0,high,2.85294,0.0453301,318.395
cumF50,shared,0.24952,0.00594398,12.3878
