repeat,RNA_ng,IFN_ng_per_mL,signal
repeat1,0,0,2247.0
repeat1,0,250,2321.0
repeat1,0,500,3611.0
repeat1,0,1000,2427.0
repeat1,4,0,3513.0
repeat1,4,250,172412.0
repeat1,4,500,138393.0
repeat1,4,1000,158705.0
repeat1,20,0,148776.0
repeat1,20,250,441669.0
repeat1,20,500,373739.0
repeat1,20,1000,232649.0
repeat1,100,0,147713.0
repeat1,100,250,257936.0
repeat1,100,500,225125.0
repeat1,100,1000,128601.0
repeat1,500,0,53607.0
repeat1,500,250,72854.0
repeat1,500,500,118858.0
repeat1,500,1000,46504.0
repeat1,2500,0,89756.0
repeat1,2500,250,204008.0
repeat1,2500,500,143394.0
repeat1,2500,1000,106603.0
repeat2,0,0,686.0
repeat2,0,250,502.0
repeat2,0,500,794.0
repeat2,0,1000,176.0
repeat2,4,0,1386.0
repeat2,4,250,1664.0
repeat2,4,500,5691.0
repeat2,4,1000,5992.0
repeat2,20,0,4518.0
repeat2,20,250,1271.0
repeat2,20,500,16361.0
repeat2,20,1000,2871.0
repeat2,100,0,2409.0
repeat2,100,250,7221.0
repeat2,100,500,1373.0
repeat2,100,1000,841.0
repeat2,500,0,1307.0
repeat2,500,250,1222.0
repeat2,500,500,681.0
repeat2,500,1000,1137.0
repeat2,2500,0,3991.0
repeat2,2500,250,7506.0
repeat2,2500,500,11801.0
repeat2,2500,1000,17967.0
repeat4,0,0,922.0
repeat4,0,250,1814.0
repeat4,0,500,1188.0
repeat4,0,1000,1809.0
repeat4,4,0,10990.0
repeat4,4,250,142061.0
repeat4,4,500,158125.0
repeat4,4,1000,154782.0
repeat4,20,0,57053.0
repeat4,20,250,112217.0
repeat4,20,500,96456.0
repeat4,20,1000,97637.0
repeat4,100,0,34402.0
repeat4,100,250,30707.0
repeat4,100,500,44243.0
repeat4,100,1000,44351.0
repeat4,500,0,7477.0
repeat4,500,250,8565.0
repeat4,500,500,9203.0
repeat4,500,1000,6619.0
repeat4,2500,0,27759.0
repeat4,2500,250,60960.0
repeat4,2500,500,23434.0
repeat4,2500,1000,18784.0
