# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_high_base_censor_fixed_noRE/stan_output/tivf_base-20260213033554_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0264183
# Diagonal elements of inverse mass matrix:
# 0.0938319, 0.539372, 0.577226, 1.06999, 1.77984, 1.03266, 1.16456, 0.0297566, 0.138537, 0.0642499, 1.56324
-38.934676,0.99976694,0.026418279,7,127,0,43.555376,-8.910759,1.3320406,-1.8648553,-7.2048494,0.72930771,-8.8253522,2.2313362,1.6914852,-5.1204625,0.91766338,0.95494001,0.00013492938,3.7887669,0.15491863,0.00074297405,2.0736446,0.0001469597,9.3123005,5.4275358,0.0059732597,4000000,1e-10,5.4275358,0.0059732597,3998929.3,3870436,71224.592,123.22526,753.52025,80287.86,806413.25,504.59436,14.283555,1513.6651,64381.395,2258.9154,0.007212649,0.7649248,16.317837,0.013279226,1.1548363,1.1548363,1.1548363,1.1548363,1.1548363,-2.1419052,-2.1419052,-2.1419052,-2.1419052,-2.1419052,3.1800298,3.1800298,3.1800298,3.1800298,3.1800298,-0.11638126,-0.11638126,-0.11638126,-0.11638126,-0.11638126,4.8087604,4.8087604,4.8087604,4.8087604,4.8087604,1.2126626,1.2126626,1.2126626,1.2126626,1.2126626,3.3539,3.3539,3.3539,3.3539,3.3539,-1.8768272,-1.8768272,-1.8768272,-1.8768272,-1.8768272,10.64236,0.54731384,-0.85881815,-1.2554106,-0.83497669,-1.2301557,-1.356912,-0.58669534,-3.8467894,-1.6513196,-0.58669534,-1.204212,-0.83657564,-0.83636616,-1.1968785,-1.951348,-1.6654334,-0.98998226,-1.7737777,-2.0354186,-1.532031,-2.9413775,-2.6819546,-0.83619797,-0.91278279,-1.5854691,-0.86876322,-1.2201305,-2.5805289,-1.7689574,-1.2571634,-0.93129922,-1.233251,-2.4162785,-0.86519732,-1.8013047,-1.0490678,-0.79584731,-0.79584731,-0.79584731,-0.79584731,-0.79584731
-36.99822,0.99290858,0.026418279,7,191,0,44.108539,-9.6183624,1.816267,-0.74977312,-6.1170741,0.94130374,-8.3657865,2.0076576,0.40375852,-6.0500006,1.016567,1.3909128,6.6496423e-05,6.1488618,0.47247374,0.0022048978,2.5633211,0.00023269396,7.4458557,1.4974423,0.0023578606,4000000,1e-10,1.4974423,0.0023578606,3999833,3964267.8,225056.11,1985.5562,100.51355,18986.596,677855.69,64.404627,4.9971558,941.88269,117174.42,1493.3461,0.0018805637,0.3068878,26.488299,0.0039537484,0.69872289,0.69872289,0.69872289,0.69872289,0.69872289,-2.725712,-2.725712,-2.725712,-2.725712,-2.725712,2.9739968,2.9739968,2.9739968,2.9739968,2.9739968,-0.51302038,-0.51302038,-0.51302038,-0.51302038,-0.51302038,5.0688328,5.0688328,5.0688328,5.0688328,5.0688328,1.4230541,1.4230541,1.4230541,1.4230541,1.4230541,3.1741605,3.1741605,3.1741605,3.1741605,3.1741605,-2.402991,-2.402991,-2.402991,-2.402991,-2.402991,7.9733017,0.41687734,-0.9650421,-1.0079591,-1.0122494,-1.7206213,-1.0483483,-0.37405537,-3.5871022,-2.0856989,-0.37405537,-1.7503282,-0.97425257,-0.97362091,-1.4084901,-1.5935982,-1.3981658,-1.3003056,-1.5032791,-2.1884876,-1.414332,-1.7900273,-2.0306626,-0.95226055,-0.94085375,-1.864567,-1.0589794,-1.368964,-2.3761673,-1.5986454,-1.562914,-1.3313672,-1.1343467,-2.5251931,-0.93673291,-1.5179312,-1.2319775,-0.49729441,-0.49729441,-0.49729441,-0.49729441,-0.49729441
-39.078921,0.995484,0.026418279,7,127,0,43.766005,-10.226793,1.9659319,-0.23818392,-6.1106278,1.0973014,-8.870048,2.4271018,3.5043579,-5.3941457,1.1057218,1.1225585,3.6187636e-05,7.1415648,0.78805774,0.0022191571,2.9960698,0.00014053584,11.326009,33.26008,0.0045430998,4000000,1e-10,33.26008,0.0045430998,3998265.5,3841324.4,226926.85,21574.504,941.36445,70395.026,348586.04,149.13084,84.867406,6417.272,134956.17,804.18253,0.0076438221,0.58444967,5.8828382,0.0025084993,1.9287409,1.9287409,1.9287409,1.9287409,1.9287409,-2.1166894,-2.1166894,-2.1166894,-2.1166894,-2.1166894,3.8073504,3.8073504,3.8073504,3.8073504,3.8073504,-0.23325288,-0.23325288,-0.23325288,-0.23325288,-0.23325288,5.1301927,5.1301927,5.1301927,5.1301927,5.1301927,0.7695869,0.7695869,0.7695869,0.7695869,0.7695869,2.9053546,2.9053546,2.9053546,2.9053546,2.9053546,-2.600586,-2.600586,-2.600586,-2.600586,-2.600586,5.3312977,0.41952568,-1.4141056,-2.0892011,-1.3021193,-1.0202265,-2.2198089,-0.61734443,-3.4119533,-1.6064302,-0.61734443,-1.2759199,-1.1430877,-1.1441297,-1.029327,-2.6548282,-2.3612506,-1.1042046,-1.6167362,-2.0510874,-1.4444984,-2.4285264,-1.8712515,-1.0446304,-1.0202688,-1.8759218,-1.1508235,-1.640224,-1.8878113,-2.1750683,-1.1241334,-1.1348481,-1.0761765,-2.7913102,-1.0384693,-1.3001404,-1.4718345,-0.36785685,-0.36785685,-0.36785685,-0.36785685,-0.36785685
-38.65152,0.99982741,0.026418279,6,63,0,41.430271,-10.30952,1.9729625,-0.31600863,-6.131362,1.0767488,-8.5209358,2.5521995,3.3363169,-5.191723,1.0437748,1.0594214,3.3314436e-05,7.1919513,0.72905316,0.0021736185,2.9351214,0.00019925288,12.835304,28.115385,0.0055624146,4000000,1e-10,28.115385,0.0055624146,3998771.5,3932925.2,1036897.5,46253.448,647.32211,27542.299,633855.67,754.48484,59.968027,2544.2854,113912.72,2134.9614,0.0071282233,0.30881547,9.9454072,0.015100181,1.7779198,1.7779198,1.7779198,1.7779198,1.7779198,-2.1470187,-2.1470187,-2.1470187,-2.1470187,-2.1470187,3.4055658,3.4055658,3.4055658,3.4055658,3.4055658,-0.51030095,-0.51030095,-0.51030095,-0.51030095,-0.51030095,5.0565722,5.0565722,5.0565722,5.0565722,5.0565722,0.99762257,0.99762257,0.99762257,0.99762257,0.99762257,3.32939,3.32939,3.32939,3.32939,3.32939,-1.8210179,-1.8210179,-1.8210179,-1.8210179,-1.8210179,4.6023416,0.40811196,-1.2791312,-1.9488333,-1.1743581,-0.97919092,-2.0821296,-0.59334337,-3.5845176,-1.6363093,-0.59334337,-1.2605969,-0.9718464,-0.97216311,-1.1043192,-2.1336569,-1.8736644,-1.0291038,-1.3730744,-2.4240813,-1.2248469,-2.213289,-2.0177191,-0.9757702,-0.96825111,-1.827642,-1.0734124,-1.4347182,-2.1763939,-1.9631479,-1.166721,-1.0316193,-1.2529517,-2.2225844,-0.98169653,-1.6817718,-1.1426285,-0.82958199,-0.82958199,-0.82958199,-0.82958199,-0.82958199
-36.199962,0.99962601,0.026418279,7,127,0,45.657969,-9.7633341,1.3852709,-0.7841072,-5.1943679,0.89970417,-8.7261805,1.8045643,2.2651236,-4.9025218,1.0484179,1.2555981,5.7522516e-05,3.9959081,0.45652711,0.0055477219,2.4588756,0.00016228111,6.0773227,9.6323149,0.0074278281,4000000,1e-10,9.6323149,0.0074278281,3999111.3,3812977.2,26418.164,295.74497,624.52382,118356.44,514679.73,214.89668,30.313768,5775.4599,136440.32,2106.1735,0.0086652707,1.4885377,22.210617,0.01581378,1.4816399,1.4816399,1.4816399,1.4816399,1.4816399,-2.0622179,-2.0622179,-2.0622179,-2.0622179,-2.0622179,3.7615866,3.7615866,3.7615866,3.7615866,3.7615866,0.17275984,0.17275984,0.17275984,0.17275984,0.17275984,5.1349427,5.1349427,5.1349427,5.1349427,5.1349427,1.3465606,1.3465606,1.3465606,1.3465606,1.3465606,3.3234941,3.3234941,3.3234941,3.3234941,3.3234941,-1.8009643,-1.8009643,-1.8009643,-1.8009643,-1.8009643,10.690854,0.61534839,-1.0965535,-1.5891808,-1.0334009,-1.0759035,-1.6954525,-0.65623455,-3.1218808,-1.5820093,-0.65623455,-1.3260009,-1.081817,-1.0828798,-0.98464888,-2.7029653,-2.3842606,-1.3351269,-1.9604446,-1.6554699,-1.781129,-2.6303509,-1.9074699,-0.99532649,-0.96696152,-1.9251552,-1.1148221,-1.3115093,-2.3953918,-1.6139795,-1.4697416,-1.2198379,-1.2505604,-2.2247865,-0.98485755,-1.6731447,-1.1488516,-0.82069452,-0.82069452,-0.82069452,-0.82069452,-0.82069452
-36.831681,0.9930209,0.026418279,7,127,0,40.457795,-9.2262302,1.90547,-1.2860057,-5.6326266,0.87297935,-7.8700957,2.5474563,1.1300268,-5.7524901,0.89948349,0.94579103,9.8423574e-05,6.7225663,0.27637249,0.0035791621,2.3940329,0.00038199781,12.774568,3.0957394,0.0031748652,4000000,1e-10,3.0957394,0.0031748652,3999537.1,3947347.7,467209.16,7125.4042,261.21473,24973.673,658197.75,219.06322,8.5737786,817.65761,59205.431,1269.5455,0.0052290286,0.50755203,22.265054,0.0083540352,0.93317227,0.93317227,0.93317227,0.93317227,0.93317227,-2.281579,-2.281579,-2.281579,-2.281579,-2.281579,2.9125715,2.9125715,2.9125715,2.9125715,2.9125715,-0.29451943,-0.29451943,-0.29451943,-0.29451943,-0.29451943,4.7723615,4.7723615,4.7723615,4.7723615,4.7723615,1.3476238,1.3476238,1.3476238,1.3476238,1.3476238,3.1036483,3.1036483,3.1036483,3.1036483,3.1036483,-2.0781037,-2.0781037,-2.0781037,-2.0781037,-2.0781037,6.7606543,0.3561189,-0.81311153,-1.0519301,-0.8296596,-1.4807949,-1.1313048,-0.49256991,-4.0635837,-1.8234716,-0.49256991,-1.3232137,-0.88652214,-0.88553981,-1.4947175,-1.5675243,-1.3322033,-0.92674228,-1.5682443,-2.283179,-1.3478491,-2.7240993,-2.8176475,-0.82043133,-0.91333853,-1.5463564,-0.83999265,-1.1124305,-2.7858921,-1.6129028,-1.3804218,-0.95471809,-1.014336,-3.0047045,-0.8131918,-1.4645386,-1.2631643,-0.63241838,-0.63241838,-0.63241838,-0.63241838,-0.63241838
