# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:54 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_high_base_censor_fixed_noRE/stan_output/tivf_base-20260213033554_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0324276
# Diagonal elements of inverse mass matrix:
# 0.101317, 0.68092, 0.524753, 0.886557, 1.71041, 1.33469, 1.18885, 0.0289531, 0.127095, 0.0659627, 1.61826
-42.296597,0.99877527,0.032427569,7,127,0,48.845278,-8.7345661,1.3627718,-2.0904088,-5.0591176,0.82670784,-9.1865548,2.3632559,2.3667864,-5.0878426,1.0227468,1.420381,0.00016092597,3.9070076,0.12363659,0.0063511612,2.2857812,0.00010240707,10.625491,10.66307,0.0061713195,4000000,1e-10,10.66307,0.0061713195,3997629.1,3785996.6,88895.158,882.17502,1639.0107,127170.77,680318.82,445.33642,25.401643,1970.4256,42970.785,1056.269,0.0099862799,0.80173169,8.3706342,0.0065082517,1.4048618,1.4048618,1.4048618,1.4048618,1.4048618,-2.0005963,-2.0005963,-2.0005963,-2.0005963,-2.0005963,3.29456,3.29456,3.29456,3.29456,3.29456,-0.095970949,-0.095970949,-0.095970949,-0.095970949,-0.095970949,4.6331733,4.6331733,4.6331733,4.6331733,4.6331733,0.92275836,0.92275836,0.92275836,0.92275836,0.92275836,3.0237745,3.0237745,3.0237745,3.0237745,3.0237745,-2.1865357,-2.1865357,-2.1865357,-2.1865357,-2.1865357,8.9115703,0.58504652,-1.0419162,-1.512976,-0.98663527,-1.0955491,-1.6176112,-0.69282852,-2.8601104,-1.591542,-0.69282852,-1.4015383,-0.94208767,-0.94217218,-1.1549209,-1.9983,-1.7474961,-1.354219,-1.7474187,-1.8596576,-1.6217185,-2.1296319,-2.7409051,-0.97102391,-1.0819147,-1.3729716,-0.94375863,-1.5921071,-1.9562337,-1.9301985,-1.3775117,-1.3285622,-1.0566222,-2.7835231,-0.94595671,-1.3700251,-1.3578426,-0.5984159,-0.5984159,-0.5984159,-0.5984159,-0.5984159
-36.84469,0.99889917,0.032427569,7,127,0,45.386086,-10.073778,1.8922159,-0.22340184,-5.7380383,0.87151202,-6.8730652,2.0743226,0.25660371,-5.775412,0.8941511,1.3816283,4.2171007e-05,6.6340527,0.7997934,0.003221081,2.3905226,0.0010352988,7.9591534,1.2925328,0.003102919,4000000,1e-10,1.2925328,0.003102919,3999903,3974212.1,373297.09,4188.6398,57.041091,13484.718,677102.91,139.93903,4.7320742,1115.7229,153834.94,3103.0139,0.0040835744,0.91773723,103.87199,0.029505721,0.67505154,0.67505154,0.67505154,0.67505154,0.67505154,-2.3889595,-2.3889595,-2.3889595,-2.3889595,-2.3889595,3.0475563,3.0475563,3.0475563,3.0475563,3.0475563,-0.037281648,-0.037281648,-0.037281648,-0.037281648,-0.037281648,5.187055,5.187055,5.187055,5.187055,5.187055,2.0164984,2.0164984,2.0164984,2.0164984,2.0164984,3.4917837,3.4917837,3.4917837,3.4917837,3.4917837,-1.5300938,-1.5300938,-1.5300938,-1.5300938,-1.5300938,8.5070699,0.36034122,-0.85309367,-0.88976625,-0.91858181,-1.8601106,-0.93913267,-0.5021872,-3.2751425,-1.8281482,-0.5021872,-1.5452105,-0.83461786,-0.83401412,-1.3309959,-1.7685547,-1.4986163,-1.3420368,-1.7824982,-1.8175122,-1.6454345,-2.2317465,-2.0090476,-0.86525911,-0.80714452,-2.2217593,-1.0503114,-1.2959822,-2.934791,-1.3456109,-1.955621,-1.5465026,-1.3821058,-2.2049512,-0.89299795,-2.05907,-0.9424808,-0.98403968,-0.98403968,-0.98403968,-0.98403968,-0.98403968
-37.160953,0.99929513,0.032427569,7,127,0,42.356945,-10.416925,1.7727269,-0.03020978,-6.6233861,0.95598344,-7.9059552,2.5827627,2.2262902,-6.142907,1.2621956,0.90960873,2.9921755e-05,5.8868844,0.97024198,0.0013289235,2.6012275,0.00036854223,13.233648,9.2654293,0.0021486684,4000000,1e-10,9.2654293,0.0021486684,3999559.3,3926633.4,144557.06,2524.052,267.45619,38784.892,540826.55,70.544431,28.241455,4096.7565,243602.99,2626.1412,0.0048850097,0.72226255,19.422595,0.0025962662,1.4508871,1.4508871,1.4508871,1.4508871,1.4508871,-2.3111346,-2.3111346,-2.3111346,-2.3111346,-2.3111346,3.6124401,3.6124401,3.6124401,3.6124401,3.6124401,-0.1413049,-0.1413049,-0.1413049,-0.1413049,-0.1413049,5.3866826,5.3866826,5.3866826,5.3866826,5.3866826,1.2883073,1.2883073,1.2883073,1.2883073,1.2883073,3.4193181,3.4193181,3.4193181,3.4193181,3.4193181,-2.5856508,-2.5856508,-2.5856508,-2.5856508,-2.5856508,7.583388,0.44186828,-1.2316781,-1.5593075,-1.1910205,-1.2372421,-1.6307784,-0.46698374,-4.2197961,-1.886745,-0.46698374,-1.3455152,-1.1913346,-1.1918514,-1.19033,-2.1741072,-1.971852,-0.93721939,-1.7676029,-2.1149974,-1.5100933,-3.0318774,-1.5937918,-1.2317323,-1.1658154,-2.0627202,-1.3645225,-1.1354724,-2.7704573,-1.6978386,-1.3146718,-0.9002973,-1.3984064,-1.9229684,-1.179706,-1.7173948,-1.242567,-0.32023217,-0.32023217,-0.32023217,-0.32023217,-0.32023217
-36.176343,0.97607425,0.032427569,7,127,0,39.762451,-9.5986537,1.41893,-1.1481977,-5.6963317,1.2816255,-8.1543901,2.3438782,2.5667708,-5.495215,0.8423604,1.3805692,6.7819981e-05,4.1326961,0.31720796,0.003358262,3.6024908,0.00028747056,10.421576,13.023701,0.0041063735,4000000,1e-10,13.023701,0.0041063735,3998911.2,3926171.2,668268.84,18319.862,729.3306,41785.508,1042483.7,1532.6299,26.151368,1479.7817,70123.821,890.53093,0.012686517,0.76277145,29.191915,0.063125543,1.4174944,1.4174944,1.4174944,1.4174944,1.4174944,-1.8966576,-1.8966576,-1.8966576,-1.8966576,-1.8966576,3.1701977,3.1701977,3.1701977,3.1701977,3.1701977,-0.11760557,-0.11760557,-0.11760557,-0.11760557,-0.11760557,4.8458656,4.8458656,4.8458656,4.8458656,4.8458656,1.4652626,1.4652626,1.4652626,1.4652626,1.4652626,2.949649,2.949649,2.949649,2.949649,2.949649,-1.1997949,-1.1997949,-1.1997949,-1.1997949,-1.1997949,5.7799674,0.87170474,-0.90379693,-1.6095123,-0.81961694,-0.9645879,-1.765467,-0.75158941,-2.8021733,-1.5226825,-0.75158941,-1.3473764,-0.75275955,-0.75247891,-1.1901345,-2.0556613,-1.718953,-1.3233404,-1.7277474,-1.8759831,-1.5975036,-2.1588783,-2.8503727,-0.74831079,-0.82386266,-1.7002293,-0.80361934,-1.350635,-2.4202049,-1.5716646,-1.5826141,-1.3335027,-0.86979029,-3.6718499,-0.76810064,-1.2841552,-1.4626179,-1.2253568,-1.2253568,-1.2253568,-1.2253568,-1.2253568
-38.82584,0.9944061,0.032427569,6,63,0,40.018312,-9.4034769,0.96083287,-1.0083614,-5.3119826,1.7838791,-8.8463799,2.3098957,2.0871926,-4.9861537,0.96592503,1.2873562,8.243694e-05,2.6138726,0.36481629,0.0049321386,5.9529036,0.00014390173,10.073374,8.0622495,0.0068318919,4000000,1e-10,8.0622495,0.0068318919,3999158.6,3854319.2,74888.972,3086.5848,654.97616,104778.1,1099834.4,6784.2711,18.894033,3025.0512,76175.689,732.94336,0.005880324,0.90261201,18.851333,0.13039006,1.2763247,1.2763247,1.2763247,1.2763247,1.2763247,-2.2305987,-2.2305987,-2.2305987,-2.2305987,-2.2305987,3.4807327,3.4807327,3.4807327,3.4807327,3.4807327,-0.044498893,-0.044498893,-0.044498893,-0.044498893,-0.044498893,4.8818164,4.8818164,4.8818164,4.8818164,4.8818164,1.2753421,1.2753421,1.2753421,1.2753421,1.2753421,2.8650704,2.8650704,2.8650704,2.8650704,2.8650704,-0.88475552,-0.88475552,-0.88475552,-0.88475552,-0.88475552,7.7311269,2.2774269,-0.94261427,-1.3832472,-0.9014372,-1.1441341,-1.4873449,-0.56640116,-3.2520605,-1.7081509,-0.56640116,-1.4226802,-0.91097933,-0.91153543,-1.0088382,-2.3844178,-2.0656525,-1.2768679,-1.7741262,-1.8249611,-1.6199958,-2.3579596,-2.4177497,-0.88426949,-0.93042637,-1.6544187,-0.93860915,-1.3602253,-2.3031202,-1.6700794,-1.4423702,-1.2327008,-0.94340847,-3.2968797,-0.91939364,-1.2172027,-1.5233742,-1.5466253,-1.5466253,-1.5466253,-1.5466253,-1.5466253
-38.338512,0.98039956,0.032427569,7,127,0,45.155524,-9.9908588,1.8627978,-0.3377887,-7.9807055,0.72224144,-7.4802127,2.5292879,1.3246766,-5.4263315,1.1309013,1.0264732,4.5816843e-05,6.4417342,0.713346,0.00034199804,2.0590433,0.0005641374,12.54457,3.7609688,0.0043992046,4000000,1e-10,3.7609688,0.0043992046,3999686.5,3911742.8,35208.251,253.58304,187.30119,46923.956,290854.93,12.457959,14.209015,3577.1916,189755.71,3990.6587,0.0053478456,1.3361599,20.254228,0.00073381846,1.152564,1.152564,1.152564,1.152564,1.152564,-2.2718211,-2.2718211,-2.2718211,-2.2718211,-2.2718211,3.5535422,3.5535422,3.5535422,3.5535422,3.5535422,0.12585843,0.12585843,0.12585843,0.12585843,0.12585843,5.2781949,5.2781949,5.2781949,5.2781949,5.2781949,1.3065157,1.3065157,1.3065157,1.3065157,1.3065157,3.6010446,3.6010446,3.6010446,3.6010446,3.6010446,-3.1344114,-3.1344114,-3.1344114,-3.1344114,-3.1344114,9.8563727,0.31964114,-1.0585757,-1.3185806,-1.0431457,-1.3049034,-1.3852429,-0.51226428,-3.8229657,-1.7735801,-0.51226428,-1.3386269,-1.076221,-1.0767583,-1.1074539,-2.2336646,-1.9903954,-1.1707956,-2.0203851,-1.7076777,-1.7802755,-3.0670413,-1.6978091,-1.1033238,-1.0460929,-2.0367582,-1.2417107,-1.1903306,-2.5965962,-1.6409516,-1.3612495,-1.0196376,-1.4880225,-1.7927641,-1.1320138,-1.9501721,-1.0915232,-0.17400454,-0.17400454,-0.17400454,-0.17400454,-0.17400454
