parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,0.000197056,5.42658e-05,2.90665e-06,0.00022053,0.00021762335,-0.724617367651835,True
delta,1.19045,1.94748,0.909233,4.56829,3.6590570000000002,0.635919190222185,True
p_hat,0.341176,0.559641,0.137877,15.9418,15.803923000000001,0.6403293314887334,True
eps2,0.920281,0.105577,0.000493201,6.99424,6.993746798999999,-0.8852774315670974,True
c,2.84085,5.20092,2.48466,10.3694,7.884740000000001,0.8307619198479328,True
d,0.462168,0.171178,0.0421898,0.613225,0.5710352000000001,-0.6296195322912881,True
h,8.52135,2.8007,2.06578,11.0127,8.94692,-0.6713314204908847,True
s_d,0.00621651,0.0100279,0.000729688,0.145218,0.144488312,0.613107676172,True
alpha,8.44132,4.84598,1.61253,12.3701,10.757570000000001,-0.42592153833760593,True
V0,0.109777,1.88944,0.377983,13.4849,13.106917,16.211619920384052,False
D0,12686.8,5747.26,3092.2,33975.5,30883.3,-0.5469889964372419,True
