# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_low_base_censor_fixed_noRE/stan_output/tivf_base-20260213033553_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0171956
# Diagonal elements of inverse mass matrix:
# 0.667053, 1.16321, 1.08259, 2.13865, 2.79706, 1.42476, 3.01188, 0.043572, 0.146564, 0.0816535, 1.29801
-52.78887,0.97857566,0.017195619,7,127,0,56.304968,-14.956615,1.9431662,4.7249462,-7.6243105,1.4880698,-6.6877286,2.2592119,5.0969769,-6.8674309,1.234479,1.2151927,3.1946587e-07,6.9808183,112.72444,0.00048843189,4.4285393,0.00124611,9.5755397,163.5268,0.0010411485,4000000,1e-10,163.5268,0.0010411485,3999923.8,3989490.5,1506453.4,46419.579,42.399811,5014.1334,816802.39,271.29993,444.73979,52423.254,12897777,55041.295,0.0032511263,0.39233194,88.489018,0.061173377,2.648106,2.648106,2.648106,2.648106,2.648106,-2.4879662,-2.4879662,-2.4879662,-2.4879662,-2.4879662,4.719524,4.719524,4.719524,4.719524,4.719524,-0.40634633,-0.40634633,-0.40634633,-0.40634633,-0.40634633,7.1105149,7.1105149,7.1105149,7.1105149,7.1105149,1.9468894,1.9468894,1.9468894,1.9468894,1.9468894,4.7406886,4.7406886,4.7406886,4.7406886,4.7406886,-1.2134375,-1.2134375,-1.2134375,-1.2134375,-1.2134375,4.6594612,0.63438685,-1.1600257,-1.4192248,-1.1373293,-1.300492,-1.4813607,-0.43432741,-3.2353872,-1.6087315,-0.43432741,-1.3240626,-1.4378393,-1.4393117,-1.1524381,-3.049703,-2.7623316,-2.0927358,-2.0927358,-1.5616444,-2.0927358,-2.0927358,-1.5148529,-1.2507938,-1.162039,-2.2006374,-1.4111706,-1.6918177,-4.3268856,-1.3369144,-3.1306322,-2.4597433,-1.1633874,-3.656048,-1.4007914,-1.1355707,-2.1288985,-1.2982943,-1.5119976,-1.2982943,-1.2982943,-1.4955986
-51.60106,0.99860188,0.017195619,8,255,0,56.556114,-17.143016,-1.064763,5.2115953,-3.0112293,1.4170164,-7.1717564,0.55649964,6.8797117,-5.1217241,1.5617782,1.3982414,3.5882504e-08,0.34480955,183.38639,0.049231123,4.1247952,0.00076797271,1.7445552,972.34598,0.0059657286,4000000,1e-10,972.34598,0.0059657286,3999972,3999644.4,3991237.5,3527863.2,26.774566,323.0191,7905.7012,371543.13,809.01752,8041.5327,191154.61,2735144.5,0.0061785725,0.050283109,1.2373985,106.04669,2.9079579,2.9079579,2.9079579,2.9079579,2.9079579,-2.2091119,-2.2091119,-2.2091119,-2.2091119,-2.2091119,3.9053388,3.9053388,3.9053388,3.9053388,3.9053388,-1.2985779,-1.2985779,-1.2985779,-1.2985779,-1.2985779,5.2813848,5.2813848,5.2813848,5.2813848,5.2813848,0.092509598,0.092509598,0.092509598,0.092509598,0.092509598,6.4369803,6.4369803,6.4369803,6.4369803,6.4369803,2.0254971,2.0254971,2.0254971,2.0254971,2.0254971,18.506664,11.962532,-1.4300708,-1.6596605,-1.3998067,-1.4084944,-1.7086973,-0.58605414,-2.7228728,-1.4977782,-0.58605414,-1.342962,-1.3696948,-1.3698429,-1.426836,-1.8927966,-1.7761271,-1.1437876,-1.1437876,-1.3091294,-1.1437876,-1.1437876,-3.1039215,-1.6705349,-1.8350328,-1.364866,-1.5318111,-1.4354082,-2.2143531,-1.710693,-1.4765438,-1.3101228,-1.7525064,-1.6032688,-1.4917658,-2.0522522,-1.3652542,-4.0561921,-2.5879635,-4.0561921,-4.0561921,-2.6099441
-49.462701,0.99765132,0.017195619,8,255,0,57.709257,-17.303111,1.9829501,6.5195022,-0.45215947,1.5938208,-6.2284255,1.0386211,5.8501039,-6.4967144,1.3584269,1.3026624,3.0574142e-08,7.2641416,678.24064,0.6362527,4.9225208,0.0019725552,2.8253186,347.27047,0.0015083871,4000000,1e-10,347.27047,0.0015083871,3999989.8,3999837.7,3996844.7,3954499,4.9521066,50.126176,862.66684,3112.4139,426.66708,4226.7577,68204.406,182272.93,0.0018601787,0.016817368,0.3129258,2.2525822,2.6300891,2.6300891,2.6300891,2.6300891,2.6300891,-2.7304453,-2.7304453,-2.7304453,-2.7304453,-2.7304453,3.6260074,3.6260074,3.6260074,3.6260074,3.6260074,-1.774242,-1.774242,-1.774242,-1.774242,-1.774242,4.8338124,4.8338124,4.8338124,4.8338124,4.8338124,-0.50455862,-0.50455862,-0.50455862,-0.50455862,-0.50455862,5.2607222,5.2607222,5.2607222,5.2607222,5.2607222,0.35268064,0.35268064,0.35268064,0.35268064,0.35268064,2.31967,0.67764659,-1.247517,-1.4553739,-1.2302476,-1.3735399,-1.5057518,-0.35608641,-3.3536962,-1.8005921,-0.35608641,-1.49481,-1.2294477,-1.2292935,-1.4117522,-1.7014147,-1.5757138,-0.83331867,-0.83331867,-1.2746442,-0.83331867,-0.83331867,-4.2848362,-1.979939,-2.2685118,-1.285102,-1.7192976,-1.7469205,-1.7511734,-2.1928824,-1.2425288,-1.3049912,-1.2360035,-2.6029759,-1.2662965,-1.3415387,-1.6319887,-2.7277341,-1.3628151,-2.7277341,-2.7277341,-1.3729496
-53.142417,0.991237,0.017195619,8,255,0,56.965716,-17.364001,1.9433748,6.8957997,-1.1531583,1.7741821,-7.0635873,0.074259732,5.349003,-5.2580002,0.96027348,1.2369719,2.8768031e-08,6.9822749,988.11563,0.31563833,5.8954572,0.00085570292,1.0770865,210.39842,0.0052057044,4000000,1e-10,210.39842,0.0052057044,3999993.7,3999795.8,3987982.7,3826542.2,3.2512847,77.869289,4195.2677,6738.3511,319.73829,7579.1542,375900.46,377037.76,0.0043183807,0.014258531,0.75394948,7.6523736,2.5047946,2.5047946,2.5047946,2.5047946,2.5047946,-2.3646791,-2.3646791,-2.3646791,-2.3646791,-2.3646791,3.8796207,3.8796207,3.8796207,3.8796207,3.8796207,-1.8459252,-1.8459252,-1.8459252,-1.8459252,-1.8459252,5.5750729,5.5750729,5.5750729,5.5750729,5.5750729,-0.12265776,-0.12265776,-0.12265776,-0.12265776,-0.12265776,5.5763848,5.5763848,5.5763848,5.5763848,5.5763848,0.88379616,0.88379616,0.88379616,0.88379616,0.88379616,2.7622531,0.84434619,-0.89250417,-1.2221816,-0.87845889,-1.284148,-1.3099671,-0.4942825,-3.0668862,-1.5248986,-0.4942825,-1.2830583,-0.88747805,-0.88780535,-1.0582977,-2.2307193,-1.9273656,-0.79216538,-0.79216538,-1.2483723,-0.79216538,-0.79216538,-4.5978031,-1.3449964,-1.6867018,-0.91832024,-1.0795255,-1.4687861,-2.0913936,-1.8714379,-1.2959407,-1.1833154,-1.0220638,-2.9175497,-0.88132878,-1.3893568,-1.3269441,-3.3947234,-1.6547085,-3.3947234,-3.3947234,-1.6732303
-56.039286,0.99917248,0.017195619,7,255,0,60.029572,-16.790694,1.9833664,6.8667836,-0.19125814,2.355071,-6.636919,0.73723182,5.0375242,-4.9579154,1.0378994,1.3142348,5.1038095e-08,7.2671658,959.85636,0.82591936,10.538877,0.0013110604,2.0901416,154.08805,0.0070275622,4000000,1e-10,154.08805,0.0070275622,3999992.1,3999538.3,3978724.2,3932263.6,4.0582654,191.16135,5028.3086,2608.0218,247.57718,11505.118,191655.43,97422.255,0.0047406402,0.035763864,1.7263333,1.670812,2.3937106,2.3937106,2.3937106,2.3937106,2.3937106,-2.324163,-2.324163,-2.324163,-2.324163,-2.324163,4.0608911,4.0608911,4.0608911,4.0608911,4.0608911,-1.4465556,-1.4465556,-1.4465556,-1.4465556,-1.4465556,5.2825211,5.2825211,5.2825211,5.2825211,5.2825211,0.23712464,0.23712464,0.23712464,0.23712464,0.23712464,4.9886582,4.9886582,4.9886582,4.9886582,4.9886582,0.22292759,0.22292759,0.22292759,0.22292759,0.22292759,2.5585934,1.4502046,-0.95730654,-1.1740354,-0.96085204,-1.3983913,-1.2392927,-0.52338903,-2.922321,-1.5241332,-0.52338903,-1.3186941,-1.0009302,-1.0015994,-1.0284568,-2.3947333,-2.1033627,-1.0625309,-1.0625309,-1.2419696,-1.0625309,-1.0625309,-4.8909883,-1.6471985,-2.0193567,-0.95634638,-1.3334265,-1.3334577,-2.3898075,-1.6003459,-1.5141062,-1.2705161,-0.95861044,-3.9200323,-1.1590598,-1.0242268,-1.9966461,-2.5800321,-1.3217457,-2.5800321,-2.5800321,-1.3297688
-53.81847,0.99486439,0.017195619,6,63,0,65.351429,-16.799297,1.9239485,6.8824482,-2.2723303,2.3865829,-7.3268316,0.21434686,4.0131579,-4.7858803,1.1678751,1.374953,5.060086e-08,6.8479446,975.01044,0.10307171,10.876265,0.00065765397,1.2390524,55.321292,0.0083467732,4000000,1e-10,55.321292,0.0083467732,3999997.2,3999815.3,3966515.2,3401528.2,1.4925536,81.066279,13912.819,16834.313,89.938195,4874.6976,782241.9,587154.51,0.0062353396,0.010525597,1.5109247,16.705973,1.9539442,1.9539442,1.9539442,1.9539442,1.9539442,-2.2051399,-2.2051399,-2.2051399,-2.2051399,-2.2051399,3.6879477,3.6879477,3.6879477,3.6879477,3.6879477,-1.9777533,-1.9777533,-1.9777533,-1.9777533,-1.9777533,5.8933411,5.8933411,5.8933411,5.8933411,5.8933411,0.17924282,0.17924282,0.17924282,0.17924282,0.17924282,5.7687524,5.7687524,5.7687524,5.7687524,5.7687524,1.2228718,1.2228718,1.2228718,1.2228718,1.2228718,2.6496416,1.5882525,-1.1297616,-1.096201,-1.1812398,-1.809041,-1.1168242,-0.5862936,-2.7406845,-1.4854901,-0.5862936,-1.3266077,-1.0755469,-1.0754433,-1.2901613,-1.7799345,-1.6013141,-0.70550668,-0.70550668,-1.3807888,-0.70550668,-0.70550668,-3.0147162,-1.2102512,-1.3728294,-1.2015601,-1.1051177,-1.3902789,-2.3000461,-1.6513991,-1.5069205,-1.303774,-1.2574145,-2.1928042,-1.0793062,-1.5700478,-1.2626626,-3.4104614,-1.9143211,-3.4104614,-3.4104614,-1.9327417
