# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_low_base_censor_fixed_noRE/stan_output/tivf_base-20260213033553_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0115216
# Diagonal elements of inverse mass matrix:
# 0.876385, 1.00723, 0.984431, 1.91725, 2.47818, 1.4598, 2.82241, 0.042391, 0.148503, 0.0853278, 1.64556
-47.506242,0.99600969,0.0115216,8,255,0,51.381301,-17.257512,0.41022575,4.7851512,-0.60692571,0.93694942,-5.3755656,1.8416746,6.2962565,-5.6150699,1.758941,1.4397902,3.2000569e-08,1.507158,119.71946,0.54502386,2.5521839,0.0046283,6.3070911,542.53713,0.0036425552,4000000,1e-10,542.53713,0.0036425552,3999985.2,3999902.9,3999328.6,3989608.4,12.231825,59.316506,373.35826,4244.7145,448.86318,1576.4585,9499.668,69522.026,0.0055320225,0.03338432,0.21370785,2.8173917,2.652114,2.652114,2.652114,2.652114,2.652114,-2.2571161,-2.2571161,-2.2571161,-2.2571161,-2.2571161,3.1976826,3.1976826,3.1976826,3.1976826,3.1976826,-1.4764575,-1.4764575,-1.4764575,-1.4764575,-1.4764575,3.9777084,3.9777084,3.9777084,3.9777084,3.9777084,-0.67017953,-0.67017953,-0.67017953,-0.67017953,-0.67017953,4.8421224,4.8421224,4.8421224,4.8421224,4.8421224,0.44984723,0.44984723,0.44984723,0.44984723,0.44984723,3.9839301,1.6933751,-1.4990404,-1.6275358,-1.4876654,-1.5668999,-1.6582661,-0.56676013,-2.7302812,-1.5380294,-0.56676013,-1.3805055,-1.5329929,-1.5325808,-1.7393823,-1.6137719,-1.5648757,-1.0064787,-1.0064787,-1.3337421,-1.0064787,-1.0064787,-4.3567944,-2.5140179,-2.7672957,-1.7678194,-2.2703984,-1.8696424,-1.6638576,-2.2741843,-1.3331177,-1.4421809,-1.491439,-2.6387852,-1.5890916,-1.4926877,-1.9203228,-2.5930623,-1.4754413,-2.5930623,-2.5930623,-1.4849891
-45.021682,0.99587881,0.0115216,8,255,0,56.160461,-14.794368,0.70656342,3.949332,-3.1970932,1.8206463,-9.1460652,0.8893928,5.2788103,-6.0326167,0.98436515,1.2583879,3.7574033e-07,2.0270133,51.900684,0.040880865,6.1758487,0.00010663858,2.4336515,196.1364,0.0023992079,4000000,1e-10,196.1364,0.0023992079,3999930.4,3996717.2,3606863.9,399377.23,55.68814,2337.825,270261.84,345579.28,266.56141,10880.594,1199145.3,1653390.2,0.0019072695,0.03386816,4.2440658,25.069029,2.4257973,2.4257973,2.4257973,2.4257973,2.4257973,-2.7195879,-2.7195879,-2.7195879,-2.7195879,-2.7195879,4.0366526,4.0366526,4.0366526,4.0366526,4.0366526,-1.4702084,-1.4702084,-1.4702084,-1.4702084,-1.4702084,6.0788718,6.0788718,6.0788718,6.0788718,6.0788718,0.62778211,0.62778211,0.62778211,0.62778211,0.62778211,6.2183754,6.2183754,6.2183754,6.2183754,6.2183754,1.3991375,1.3991375,1.3991375,1.3991375,1.3991375,6.231142,3.0467727,-0.90667321,-1.1686431,-0.90561546,-1.3630534,-1.2443667,-0.35110617,-3.4144984,-1.7938958,-0.35110617,-1.4715689,-0.94550986,-0.94619603,-0.9937567,-2.4587704,-2.1395577,-1.0624249,-1.0624249,-1.1990641,-1.0624249,-1.0624249,-3.2119894,-0.99587722,-1.1685634,-1.213212,-0.90889475,-1.2045316,-2.8353825,-1.3573673,-1.7759048,-1.3679926,-1.5936047,-1.7715663,-1.0699583,-2.2452632,-0.94011176,-3.8461517,-2.093381,-3.8461517,-3.8461517,-2.1158521
-44.045521,0.97802543,0.0115216,8,255,0,48.450047,-14.247489,0.21290377,3.0294304,-6.1386722,1.4017916,-7.6415123,2.3541953,5.3050229,-5.8970397,1.1164832,1.4514043,6.4922314e-07,1.2372656,20.685447,0.0021577868,4.0624718,0.00048010184,10.529652,201.34561,0.0027475664,4000000,1e-10,201.34561,0.0027475664,3999869,3994593.1,3418277.5,2334.4243,113.90799,4311.4331,455310.97,565229.01,281.50451,10049.778,1096786.4,3678234.8,0.0034517827,0.13494491,14.772172,29.160076,2.4494854,2.4494854,2.4494854,2.4494854,2.4494854,-2.4619566,-2.4619566,-2.4619566,-2.4619566,-2.4619566,4.0021565,4.0021565,4.0021565,4.0021565,4.0021565,-0.86984349,-0.86984349,-0.86984349,-0.86984349,-0.86984349,6.040122,6.040122,6.040122,6.040122,6.040122,1.1694443,1.1694443,1.1694443,1.1694443,1.1694443,6.5656395,6.5656395,6.5656395,6.5656395,6.5656395,1.4647886,1.4647886,1.4647886,1.4647886,1.4647886,10.687241,3.2834275,-1.0336261,-1.249331,-1.0299349,-1.3688831,-1.3100158,-0.48056751,-2.9049068,-1.6456831,-0.48056751,-1.4456659,-1.0545778,-1.0550472,-1.1116022,-2.1907648,-1.9478424,-1.4451899,-1.4451899,-1.4292107,-1.4451899,-1.4451899,-2.8901973,-1.1149567,-1.2583094,-1.2466274,-1.037438,-1.3897887,-3.1375498,-1.3448917,-2.175744,-1.7377724,-1.9364283,-1.3911241,-1.3655143,-2.5700204,-1.0316724,-3.4640656,-2.0872795,-3.4640656,-3.4640656,-2.1057401
-46.81801,0.99969548,0.0115216,8,255,0,52.547928,-13.055622,1.6362354,2.0407715,-3.6657758,1.2619449,-9.1976938,1.7181869,5.9064055,-6.3374906,1.1237226,1.4234329,2.1380377e-06,5.1357991,7.696545,0.025584315,3.5322847,0.00010127269,5.5744126,367.38324,0.0017687351,4000000,1e-10,367.38324,0.0017687351,3999169.7,3979878.4,3268522.4,250279.12,491.97956,8703.7035,281534.86,35588.2,531.33697,9125.4114,312957.35,177870.85,0.0047436501,0.094063119,3.3455972,1.1347403,2.72537,2.72537,2.72537,2.72537,2.72537,-2.3238874,-2.3238874,-2.3238874,-2.3238874,-2.3238874,3.9602525,3.9602525,3.9602525,3.9602525,3.9602525,-1.0265806,-1.0265806,-1.0265806,-1.0265806,-1.0265806,5.4954852,5.4954852,5.4954852,5.4954852,5.4954852,0.52447365,0.52447365,0.52447365,0.52447365,0.52447365,5.2501048,5.2501048,5.2501048,5.2501048,5.2501048,0.054896475,0.054896475,0.054896475,0.054896475,0.054896475,3.6283355,0.68777704,-1.0933198,-1.4449837,-1.0566913,-1.2000427,-1.5258388,-0.53530255,-2.8057779,-1.5637989,-0.53530255,-1.387224,-1.0530495,-1.0534362,-1.1327493,-2.1265311,-1.8929794,-1.3385207,-1.3385207,-1.3694977,-1.3385207,-1.3385207,-3.9192596,-1.4372912,-1.7053078,-1.0501431,-1.2233502,-1.3373227,-2.5765361,-1.4878673,-1.7161004,-1.4180932,-1.0496477,-3.0679068,-1.0988622,-1.2000374,-1.6402961,-2.2612287,-1.3508728,-2.2612287,-2.2612287,-1.3554688
-41.242233,0.98004243,0.0115216,8,511,0,51.208421,-12.774391,0.88310955,1.6927197,-5.9105987,1.6373965,-8.8820835,2.3514318,5.4874029,-5.8345108,1.0548259,1.3734388,2.832386e-06,2.4184082,5.4342399,0.0027105636,5.1417654,0.00013885456,10.500594,241.62886,0.0029248537,4000000,1e-10,241.62886,0.0029248537,3999370.1,3982408.2,3078747.6,43696.379,479.98286,11223.143,552289.97,106917.31,292.54007,6548.6633,347741.4,189132.06,0.0043478644,0.10624055,5.5575456,1.7849564,2.4661854,2.4661854,2.4661854,2.4661854,2.4661854,-2.361724,-2.361724,-2.361724,-2.361724,-2.361724,3.8161527,3.8161527,3.8161527,3.8161527,3.8161527,-0.97370969,-0.97370969,-0.97370969,-0.97370969,-0.97370969,5.5412564,5.5412564,5.5412564,5.5412564,5.5412564,0.74488304,0.74488304,0.74488304,0.74488304,0.74488304,5.2767652,5.2767652,5.2767652,5.2767652,5.2767652,0.2516276,0.2516276,0.2516276,0.2516276,0.2516276,4.9511875,2.126095,-0.97907573,-1.2302652,-0.9726744,-1.3392674,-1.2996908,-0.51313972,-2.8919441,-1.5659547,-0.51313972,-1.3678154,-0.9742666,-0.97440597,-1.1560711,-2.0047872,-1.7641246,-1.4094667,-1.4094667,-1.3514359,-1.4094667,-1.4094667,-4.1349162,-1.3877164,-1.679822,-0.99766482,-1.1580217,-1.2859669,-2.8247741,-1.3770157,-1.8623346,-1.4807998,-0.99310836,-3.2248258,-1.0348677,-1.1747116,-1.6293073,-2.5129783,-1.3679961,-2.5129783,-2.5129783,-1.3757633
-47.237691,0.99998975,0.0115216,8,255,0,48.547774,-15.153958,1.5780739,4.2126803,-8.1352517,1.1751308,-7.0127888,2.2534333,6.5521246,-5.2846233,1.4127274,1.3582498,2.6225242e-07,4.8456137,67.537319,0.00029302527,3.2385665,0.0009002943,9.5203658,700.73139,0.0050689413,4000000,1e-10,700.73139,0.0050689413,3999790.9,3992549.6,3455186.3,58033.682,129.10247,3579.9233,247605.94,16240.756,1170.3284,31622.24,2324745.9,1645813.6,0.008035942,0.23143502,16.689836,2.3699064,3.0683078,3.0683078,3.0683078,3.0683078,3.0683078,-2.0949632,-2.0949632,-2.0949632,-2.0949632,-2.0949632,4.4999926,4.4999926,4.4999926,4.4999926,4.4999926,-0.63557093,-0.63557093,-0.63557093,-0.63557093,-0.63557093,6.3663755,6.3663755,6.3663755,6.3663755,6.3663755,1.2224521,1.2224521,1.2224521,1.2224521,1.2224521,6.2163806,6.2163806,6.2163806,6.2163806,6.2163806,0.37473119,0.37473119,0.37473119,0.37473119,0.37473119,4.5146251,0.66835012,-1.396066,-1.7276739,-1.346949,-1.2872385,-1.7953079,-0.6414762,-2.6512552,-1.4274349,-0.6414762,-1.2941303,-1.4052892,-1.4061591,-1.264954,-2.4765849,-2.277875,-1.7114065,-1.7114065,-1.4733499,-1.7114065,-1.7114065,-2.1013987,-1.2691175,-1.3107061,-1.5473524,-1.2727836,-1.345195,-3.3094328,-1.2760515,-2.2577203,-1.7604728,-1.5985117,-1.687366,-1.3448655,-1.9144409,-1.2826596,-2.653443,-1.4029817,-2.653443,-2.653443,-1.4126388
-44.727594,0.99810413,0.0115216,7,255,0,50.72519,-14.876596,1.5454664,3.9962145,-8.1823308,1.2753386,-7.0859311,2.2231924,5.9275864,-5.5286709,1.4055711,1.3771392,3.4608012e-07,4.6901584,54.391859,0.00027954962,3.5799135,0.00083679527,9.2367714,375.24774,0.0039712639,4000000,1e-10,375.24774,0.0039712639,3999852.9,3994256.8,3507780.5,58126.407,92.1896,2850.4675,232951.92,17005.564,631.21062,19058.296,1642562.2,1109678.6,0.0054697058,0.17295852,14.686935,2.4398199,2.8001743,2.8001743,2.8001743,2.8001743,2.8001743,-2.262036,-2.262036,-2.262036,-2.262036,-2.262036,4.2800841,4.2800841,4.2800841,4.2800841,4.2800841,-0.76205804,-0.76205804,-0.76205804,-0.76205804,-0.76205804,6.2155218,6.2155218,6.2155218,6.2155218,6.2155218,1.1669312,1.1669312,1.1669312,1.1669312,1.1669312,6.0451972,6.0451972,6.0451972,6.0451972,6.0451972,0.38735777,0.38735777,0.38735777,0.38735777,0.38735777,4.4844635,0.76328199,-1.3121583,-1.5609719,-1.2830302,-1.3415119,-1.6162823,-0.55912097,-2.792656,-1.5143955,-0.55912097,-1.3416387,-1.3304319,-1.3310534,-1.2671804,-2.2512791,-2.0715074,-1.5850072,-1.5850072,-1.4265484,-1.5850072,-1.5850072,-2.2501867,-1.2802564,-1.3446655,-1.4697815,-1.259632,-1.3419583,-3.2286704,-1.2929664,-2.200697,-1.7244443,-1.5042055,-1.8065985,-1.2989367,-1.7838482,-1.3085368,-2.6343531,-1.4182801,-2.6343531,-2.6343531,-1.4278529
-47.599135,0.97831006,0.0115216,8,255,0,51.850792,-13.236894,0.18221153,2.0505786,0.063681976,1.8693987,-9.006959,2.1715454,5.5546924,-6.3839949,1.4699591,1.4209823,1.7835697e-06,1.199868,7.7723971,1.0657534,6.4843959,0.00012255398,8.7718299,258.44746,0.0016883645,4000000,1e-10,258.44746,0.0016883645,3999635.2,3991636.4,3814789.1,3028125.6,315.42115,6456.2158,125422.63,302174.49,245.89761,4600.5349,52592.253,66027.468,0.0028556326,0.062360186,1.4392225,4.2225507,2.3907543,2.3907543,2.3907543,2.3907543,2.3907543,-2.5442977,-2.5442977,-2.5442977,-2.5442977,-2.5442977,3.6628083,3.6628083,3.6628083,3.6628083,3.6628083,-1.2050926,-1.2050926,-1.2050926,-1.2050926,-1.2050926,4.7209218,4.7209218,4.7209218,4.7209218,4.7209218,0.15812795,0.15812795,0.15812795,0.15812795,0.15812795,4.8197246,4.8197246,4.8197246,4.8197246,4.8197246,0.62557487,0.62557487,0.62557487,0.62557487,0.62557487,7.126923,5.4042578,-1.3046893,-1.4118686,-1.3066635,-1.5259919,-1.4442707,-0.4442827,-3.0128399,-1.6851361,-0.4442827,-1.4595471,-1.3059419,-1.3058496,-1.4496179,-1.7336988,-1.6231411,-1.2039489,-1.2039489,-1.3349589,-1.2039489,-1.2039489,-4.0955818,-2.0388115,-2.3005788,-1.3827742,-1.7995759,-1.4238423,-2.2599493,-1.6748407,-1.5164814,-1.3328991,-1.3177166,-2.9859607,-1.4636358,-1.3147778,-1.9465694,-2.7813332,-1.5442926,-2.7813332,-2.7813332,-1.5561486
