parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,2.45784e-06,2.64201e-06,9.82786e-08,1.4216e-05,1.4117721400000001e-05,0.07493164730006849,True
delta,1.52364,1.48133,0.595456,3.71793,3.122474,-0.027769026804232013,True
p_hat,7.15917,5.88038,0.863292,169.142,168.278708,-0.17862266156551668,True
eps2,0.412616,0.334297,0.000711056,4.40608,4.405368944,-0.18981086530817995,True
c,4.08804,3.99078,2.20907,8.88009,6.671019999999999,-0.023791352335104436,True
d,0.00115566,0.00234134,0.000788527,0.00701529,0.006226763000000001,1.0259764982780402,True
h,12.9771,12.9576,7.45655,14.8549,7.398350000000001,-0.001502646970432588,True
s_d,0.0133527,0.0169761,0.00133702,0.243405,0.24206798000000002,0.2713608483677459,True
alpha,6.4572,4.85878,1.66778,12.3141,10.64632,-0.2475407297280555,True
V0,38.4976,41.3212,10.462,142.846,132.38400000000001,0.07334483188562402,True
D0,41.7317,64.2746,16.1553,151.212,135.05669999999998,0.5401864769467818,True
