# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_med_base_censor_fixed_noRE/stan_output/tivf_base-20260213033553_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0161846
# Diagonal elements of inverse mass matrix:
# 0.300994, 0.634708, 0.599626, 1.15354, 2.00897, 1.16876, 1.48397, 0.0307445, 0.163451, 0.0595887, 1.81531
-38.199871,0.95962682,0.016184581,8,255,0,43.945612,-14.725463,0.13543734,3.4504686,-4.0248965,1.5213973,-8.7299827,0.76359389,5.6782789,-5.4112918,0.9769898,1.2852237,4.0254324e-07,1.1450374,31.515156,0.017865274,4.5786182,0.00016166525,2.1459748,292.44568,0.0044658676,4000000,1e-10,292.44568,0.0044658676,3999890.8,3996505.3,3726305.2,241596.37,95.606214,2790.4894,215117.47,961989.21,356.02847,9720.4138,731414.9,2843702.4,0.0042243537,0.068628488,5.5206699,93.194128,2.5514847,2.5514847,2.5514847,2.5514847,2.5514847,-2.3742397,-2.3742397,-2.3742397,-2.3742397,-2.3742397,3.9876848,3.9876848,3.9876848,3.9876848,3.9876848,-1.1634956,-1.1634956,-1.1634956,-1.1634956,-1.1634956,5.8641638,5.8641638,5.8641638,5.8641638,5.8641638,0.74199178,0.74199178,0.74199178,0.74199178,0.74199178,6.4538841,6.4538841,6.4538841,6.4538841,6.4538841,1.9693885,1.9693885,1.9693885,1.9693885,1.9693885,9.6791644,3.9986624,-1.0917917,-0.8959385,-1.2005154,-2.3014851,-0.90307353,-0.49643098,-3.4011494,-1.816278,-0.49643098,-1.4992878,-1.3238381,-1.3216509,-2.2526046,-1.0516844,-0.96256993,-1.3074728,-1.3022172,-1.7450735,-1.3022172,-1.3022172,-3.4955817,-1.0463902,-1.2562871,-1.1256067,-0.92051164,-1.5815831,-1.9377253,-1.9932253,-1.2753885,-1.2377217,-1.2414119,-2.3072184,-0.92199569,-1.7384664,-1.0917402,-3.7803383,-1.3011872,-4.2974532,-4.0007984,-1.3094798
-41.938932,0.98782951,0.016184581,7,127,0,45.816077,-14.446513,0.13324072,3.898336,-1.2280661,1.5743838,-8.8464708,0.80640441,5.037403,-5.8350425,1.1848565,1.2505305,5.3205836e-07,1.142525,49.320311,0.2928584,4.8277658,0.00014388865,2.23984,154.06938,0.0029232989,4000000,1e-10,154.06938,0.0029232989,3999888.1,3971243,2738666.9,1492882.8,100.16443,24824.418,813546.59,461865.65,408.43559,95626.199,921329.24,417400.06,0.0029270182,0.37958619,31.520389,35.990331,2.6111236,2.6111236,2.6111236,2.6111236,2.6111236,-2.5335746,-2.5335746,-2.5335746,-2.5335746,-2.5335746,4.9805769,4.9805769,4.9805769,4.9805769,4.9805769,-0.42068959,-0.42068959,-0.42068959,-0.42068959,-0.42068959,5.9644149,5.9644149,5.9644149,5.9644149,5.9644149,1.4985916,1.4985916,1.4985916,1.4985916,1.4985916,5.6205525,5.6205525,5.6205525,5.6205525,5.6205525,1.5561858,1.5561858,1.5561858,1.5561858,1.5561858,19.029754,4.2255231,-1.1971841,-1.0909971,-1.2646923,-1.9760621,-1.0999217,-0.42110752,-3.6300255,-1.9576071,-0.42110752,-1.5933948,-1.091368,-1.0915161,-1.2239642,-1.9317388,-1.7379309,-1.7294939,-2.0313667,-1.2921284,-2.0313667,-2.0313667,-2.7007512,-1.1563166,-1.2780818,-1.2957946,-1.0934827,-1.220569,-2.6911402,-1.4294421,-1.6613598,-1.2990973,-1.0887157,-3.2700236,-1.2206979,-1.1559863,-1.8323742,-3.4081068,-1.1937639,-4.0149522,-3.637644,-1.1951648
-39.697426,0.99174545,0.016184581,7,255,0,48.217125,-15.066328,0.90531744,4.649219,-4.2692445,1.9269503,-7.3738095,0.95953187,5.893466,-5.4472047,1.0148565,1.2478827,2.8627063e-07,2.4727167,104.50334,0.01399235,6.8685314,0.00062747328,2.6104742,362.6601,0.0043083309,4000000,1e-10,362.6601,0.0043083309,3999880.2,3983299,2095589.8,434848.75,93.838966,12079.959,1000187.9,113700,741.15804,94133.767,5242868.4,1125016.6,0.007628884,0.83731228,133.3697,51.306663,2.8699108,2.8699108,2.8699108,2.8699108,2.8699108,-2.117539,-2.117539,-2.117539,-2.117539,-2.117539,4.9737454,4.9737454,4.9737454,4.9737454,4.9737454,-0.077112537,-0.077112537,-0.077112537,-0.077112537,-0.077112537,6.719569,6.719569,6.719569,6.719569,6.719569,2.1250572,2.1250572,2.1250572,2.1250572,2.1250572,6.0511589,6.0511589,6.0511589,6.0511589,6.0511589,1.7101738,1.7101738,1.7101738,1.7101738,1.7101738,7.0457741,2.7777267,-0.97549726,-0.99030404,-1.0295818,-1.7792942,-1.0265627,-0.62419568,-3.1885344,-1.6171821,-0.62419568,-1.3446839,-0.93694672,-0.9371333,-1.122365,-2.072825,-1.809898,-2.0262176,-2.3861378,-1.2013239,-2.3861378,-2.3861378,-1.8481109,-0.98308251,-0.93400587,-2.0522967,-1.131039,-1.2379257,-3.3633786,-1.2019401,-2.2113446,-1.6676002,-1.0151767,-2.96249,-0.94915408,-1.2975236,-1.4333774,-3.577741,-1.2083396,-4.165523,-3.8065161,-1.2125672
-39.341505,0.99169779,0.016184581,8,255,0,42.696971,-14.574472,0.79066904,3.067853,-2.4753053,0.81962867,-8.8901453,2.419914,6.7860392,-5.6022477,0.88221534,1.3838354,4.6815234e-07,2.2048711,21.495701,0.084137301,2.2696569,0.00013773964,11.244893,885.39975,0.0036895615,4000000,1e-10,885.39975,0.0036895615,3999554.4,3987959.2,3430657,130990.51,349.50165,7893.626,349980.62,308899.5,1281.6522,26578.055,1133721.8,3136218.1,0.0030399927,0.070915521,3.3394798,4.3817924,3.1077702,3.1077702,3.1077702,3.1077702,3.1077702,-2.5171275,-2.5171275,-2.5171275,-2.5171275,-2.5171275,4.4245232,4.4245232,4.4245232,4.4245232,4.4245232,-1.1492587,-1.1492587,-1.1492587,-1.1492587,-1.1492587,6.0545065,6.0545065,6.0545065,6.0545065,6.0545065,0.52367882,0.52367882,0.52367882,0.52367882,0.52367882,6.4964063,6.4964063,6.4964063,6.4964063,6.4964063,0.6416518,0.6416518,0.6416518,0.6416518,0.6416518,8.0436913,1.029383,-0.79560634,-1.0092575,-0.82103705,-1.5456203,-1.0865437,-0.44938191,-3.3925655,-1.9198659,-0.44938191,-1.6153163,-0.93388303,-0.93249839,-1.6770104,-1.4138787,-1.1988669,-1.3738363,-1.2630105,-1.7424121,-1.2630105,-1.2630105,-3.4605857,-0.87056257,-1.0562486,-1.2609351,-0.79410428,-1.7453077,-1.7648057,-2.1486125,-1.3031226,-1.3541556,-1.2631973,-2.4362266,-0.83932998,-1.8976966,-1.0018274,-2.348655,-1.5119259,-2.8599553,-2.5425362,-1.500177
-37.969915,0.99997635,0.016184581,7,255,0,42.813719,-13.726356,0.63208164,2.2640235,-2.9699977,1.3101739,-8.6547967,2.2985131,6.6977571,-5.1025097,0.90819427,1.3873255,1.0932492e-06,1.8815232,9.6217241,0.051303427,3.7068184,0.00017428883,9.9593629,810.5857,0.0060814646,4000000,1e-10,810.5857,0.0060814646,3999172.4,3982939.2,3434647.3,290781.04,665.69302,11476.011,356228.04,454591.72,936.54147,14767.481,436078.26,982118.63,0.0079548605,0.14611589,4.828253,8.9880646,2.971527,2.971527,2.971527,2.971527,2.971527,-2.0993674,-2.0993674,-2.0993674,-2.0993674,-2.0993674,4.1693064,4.1693064,4.1693064,4.1693064,4.1693064,-0.83530255,-0.83530255,-0.83530255,-0.83530255,-0.83530255,5.6395644,5.6395644,5.6395644,5.6395644,5.6395644,0.68379002,0.68379002,0.68379002,0.68379002,0.68379002,5.9921639,5.9921639,5.9921639,5.9921639,5.9921639,0.95366618,0.95366618,0.95366618,0.95366618,0.95366618,6.0328315,1.9701157,-0.84495495,-0.94167229,-0.8938895,-1.7222009,-0.99876123,-0.64024826,-2.9847149,-1.6351939,-0.64024826,-1.4148216,-1.1390622,-1.1370402,-2.0585436,-1.1433701,-0.99876682,-1.5004332,-1.5153621,-1.5537979,-1.5153621,-1.5153621,-4.4685961,-1.1737209,-1.4964889,-0.93891066,-0.94129228,-1.6436812,-1.8787518,-2.0170479,-1.3309241,-1.3207201,-0.89720335,-3.5042989,-0.85683372,-1.2171491,-1.5212724,-2.6296505,-1.3850325,-3.1406466,-2.8311185,-1.3773746
-36.354233,0.99984,0.016184581,8,255,0,40.349496,-15.875066,1.194004,5.1626034,-6.7301778,1.6790049,-7.7569977,1.4580444,5.9078614,-6.1603139,1.1003897,1.2688126,1.2751068e-07,3.3002691,174.61846,0.0011943206,5.3602192,0.00042773883,4.2975469,367.91849,0.0021115903,4000000,1e-10,367.91849,0.0021115903,3999950,3997180.1,3556846.3,45639.914,35.620081,1725.3114,263123.94,44457.602,602.67356,28634.803,4519004.1,2897446.4,0.0020555481,0.078044563,12.478379,11.366837,2.7800821,2.7800821,2.7800821,2.7800821,2.7800821,-2.6870724,-2.6870724,-2.6870724,-2.6870724,-2.6870724,4.4568942,4.4568942,4.4568942,4.4568942,4.4568942,-1.1076573,-1.1076573,-1.1076573,-1.1076573,-1.1076573,6.6550427,6.6550427,6.6550427,6.6550427,6.6550427,1.0961582,1.0961582,1.0961582,1.0961582,1.0961582,6.4620154,6.4620154,6.4620154,6.4620154,6.4620154,1.0556396,1.0556396,1.0556396,1.0556396,1.0556396,5.0345981,1.6241764,-1.0752707,-1.0407585,-1.1324742,-1.8351042,-1.0644859,-0.36485437,-3.7574869,-2.0908568,-0.36485437,-1.7089988,-1.0927012,-1.091873,-1.5515042,-1.4399889,-1.29675,-1.3179471,-1.3601108,-1.7016659,-1.3601108,-1.3601108,-1.8672528,-1.0413397,-1.0152261,-1.8869012,-1.1502104,-1.3719068,-2.2684218,-1.7039343,-1.4083327,-1.21301,-1.2926398,-2.1163271,-1.0368966,-1.687526,-1.1650905,-2.8499311,-1.2768647,-3.490119,-3.0753861,-1.2694366
