# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-13 08:35:53 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = [temp]/data.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = recovery/synth_med_base_censor_fixed_noRE/stan_output/tivf_base-20260213033553_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0182227
# Diagonal elements of inverse mass matrix:
# 0.343943, 0.692461, 0.569107, 1.12847, 2.17973, 1.50005, 1.52651, 0.0315393, 0.161419, 0.0589677, 1.43215
-43.277644,0.99620977,0.018222711,8,255,0,51.405765,-17.023634,0.39955689,5.5182588,-2.2491177,0.86604344,-7.5721578,0.70546447,5.7581457,-5.8495289,0.81913774,1.4759314,4.0432433e-08,1.4911638,249.20075,0.10549226,2.3774856,0.00051458091,2.0247869,316.76043,0.0028812561,4000000,1e-10,316.76043,0.0028812561,3999986.2,3999551.4,3965960.9,2846373.8,11.674874,337.07082,25081.242,383223.1,467.14572,12326.278,849603.64,4432290.8,0.0023569564,0.027186022,2.0978525,89.489139,2.6694524,2.6694524,2.6694524,2.6694524,2.6694524,-2.6276485,-2.6276485,-2.6276485,-2.6276485,-2.6276485,4.0908319,4.0908319,4.0908319,4.0908319,4.0908319,-1.5656543,-1.5656543,-1.5656543,-1.5656543,-1.5656543,5.9292164,5.9292164,5.9292164,5.9292164,5.9292164,0.32177494,0.32177494,0.32177494,0.32177494,0.32177494,6.6466282,6.6466282,6.6466282,6.6466282,6.6466282,1.9517703,1.9517703,1.9517703,1.9517703,1.9517703,11.368312,1.5943826,-0.90123341,-0.73426021,-1.0293546,-2.4416385,-0.76126858,-0.42184723,-3.3690454,-1.9923401,-0.42184723,-1.7027322,-1.1974845,-1.1947285,-2.4102628,-1.033213,-0.8774877,-1.3603132,-0.9411402,-2.034245,-0.9411402,-0.9411402,-4.2051058,-0.88500388,-1.1551557,-1.1139341,-0.73682502,-1.8870332,-1.6601036,-2.2794181,-1.3580996,-1.4700915,-1.4723428,-2.2835823,-0.84899267,-2.3104149,-0.85030487,-3.4544623,-1.4155558,-3.8177848,-3.6494457,-1.4216683
-42.244687,0.99805105,0.018222711,7,255,0,48.771206,-15.470861,1.4817789,4.7771619,-4.738321,1.8960044,-6.2451828,2.1287018,6.8930689,-5.6665879,1.3463771,1.4815823,1.9102518e-07,4.4007674,118.7668,0.0087533309,6.6592333,0.0019397759,8.4039494,985.42095,0.0034596498,4000000,1e-10,985.42095,0.0034596498,3999828.8,3995315.3,3767373,1132799.1,107.46927,2272.0769,105088.3,159287.65,1212.8308,25141.969,1113083.8,2356213.5,0.015409967,0.35391151,17.260815,42.64741,3.0838002,3.0838002,3.0838002,3.0838002,3.0838002,-1.8121983,-1.8121983,-1.8121983,-1.8121983,-1.8121983,4.4003993,4.4003993,4.4003993,4.4003993,4.4003993,-0.45110531,-0.45110531,-0.45110531,-0.45110531,-0.45110531,6.0465279,6.0465279,6.0465279,6.0465279,6.0465279,1.2370613,1.2370613,1.2370613,1.2370613,1.2370613,6.3722146,6.3722146,6.3722146,6.3722146,6.3722146,1.6298927,1.6298927,1.6298927,1.6298927,1.6298927,3.0966566,1.5131982,-1.2181028,-1.3014385,-1.2310179,-1.5536956,-1.3333537,-0.79399339,-2.6356749,-1.5260678,-0.79399339,-1.3925003,-1.2829575,-1.2823323,-1.6114097,-1.4697509,-1.3799414,-1.7362228,-1.7611124,-1.4418602,-1.7611124,-1.7611124,-2.3704148,-1.2509325,-1.3319486,-1.4132635,-1.2167025,-1.4387228,-2.2857241,-1.6560791,-1.570317,-1.3817491,-1.3636517,-2.0354213,-1.2219611,-1.6048355,-1.349008,-3.155766,-1.3669173,-3.5415697,-3.3497227,-1.3688793
-40.635413,0.9729339,0.018222711,7,255,0,46.125987,-15.385638,0.64880803,4.2000487,-0.73851539,1.4588219,-8.7033449,1.4358666,6.5164685,-5.7026744,1.4539837,1.4462972,2.0801869e-07,1.9132589,66.68958,0.47782277,4.3008896,0.00016602953,4.2032861,676.18621,0.0033370291,4000000,1e-10,676.18621,0.0033370291,3999863.2,3995585.5,3815719.5,2828776,110.40036,3091.3848,113166.74,226471.12,889.19894,23305.336,578391.89,654600.76,0.0028195643,0.059816042,2.7437738,9.3579925,2.9489989,2.9489989,2.9489989,2.9489989,2.9489989,-2.549818,-2.549818,-2.549818,-2.549818,-2.549818,4.3674554,4.3674554,4.3674554,4.3674554,4.3674554,-1.2231823,-1.2231823,-1.2231823,-1.2231823,-1.2231823,5.7622222,5.7622222,5.7622222,5.7622222,5.7622222,0.43834831,0.43834831,0.43834831,0.43834831,0.43834831,5.8159765,5.8159765,5.8159765,5.8159765,5.8159765,0.97118269,0.97118269,0.97118269,0.97118269,0.97118269,6.7435454,2.2479391,-1.3041159,-1.3350843,-1.3248168,-1.6573155,-1.356336,-0.4458522,-3.3366376,-1.9390779,-0.4458522,-1.6514804,-1.3582681,-1.3576959,-1.650895,-1.4958426,-1.4217698,-1.3916438,-1.1805428,-1.7980456,-1.1805428,-1.1805428,-2.5770052,-1.3896255,-1.498538,-1.3675769,-1.3174275,-1.8082761,-1.7191535,-2.1968642,-1.3399619,-1.416437,-1.3004496,-2.5221402,-1.3337208,-1.3872748,-1.6626318,-2.5994245,-1.4144617,-3.0458035,-2.7909808,-1.4076232
-40.333171,0.99998892,0.018222711,7,127,0,47.051723,-15.64182,0.7042829,4.2470637,-0.52295442,1.3098838,-8.2929434,1.8278401,7.297328,-5.577849,1.5437751,1.3523466,1.6100665e-07,2.0223959,69.899866,0.59276668,3.7057431,0.00025027672,6.2204368,1476.3499,0.0037806889,4000000,1e-10,1476.3499,0.0037806889,3999773.5,3994926.5,3873958.2,3166316.4,179.81885,3354.6246,71665.822,168369.58,1784.3487,30202.797,448279.9,633997.39,0.004412081,0.083750105,2.1296248,6.8641073,3.2514797,3.2514797,3.2514797,3.2514797,3.2514797,-2.3553565,-2.3553565,-2.3553565,-2.3553565,-2.3553565,4.4800472,4.4800472,4.4800472,4.4800472,4.4800472,-1.0770146,-1.0770146,-1.0770146,-1.0770146,-1.0770146,5.6515493,5.6515493,5.6515493,5.6515493,5.6515493,0.32830309,0.32830309,0.32830309,0.32830309,0.32830309,5.8020875,5.8020875,5.8020875,5.8020875,5.8020875,0.83658406,0.83658406,0.83658406,0.83658406,0.83658406,6.0067374,1.832353,-1.3547975,-1.4628596,-1.3539988,-1.5378455,-1.4938814,-0.51350535,-3.2793754,-1.8004711,-0.51350535,-1.5140903,-1.3887363,-1.388338,-1.6149885,-1.5792687,-1.5046631,-1.3796121,-1.3370301,-1.689623,-1.3370301,-1.3370301,-2.6026962,-1.4708776,-1.5811095,-1.3956414,-1.3920385,-1.8858512,-1.631197,-2.3339717,-1.2705894,-1.4009874,-1.358583,-2.4565921,-1.3915243,-1.4329443,-1.688159,-2.5485878,-1.4082143,-3.1007002,-2.7540223,-1.398518
-40.196211,0.97056039,0.018222711,8,255,0,49.243958,-14.89868,1.6118049,3.7582694,-7.4184866,1.2133997,-7.77681,1.687523,7.4430452,-4.3658874,0.90884432,1.3201053,3.3852081e-07,5.0118489,42.874165,0.0006000566,3.364905,0.00041934775,5.4060733,1707.9433,0.012703377,4000000,1e-10,1707.9433,0.012703377,3999407.4,3988406,3648447.8,209645.03,351.90018,4857.0905,138667.32,62013.462,2294.0353,30481.861,904698.4,2007858.8,0.016394797,0.22957191,6.7848719,8.8894712,3.3606001,3.3606001,3.3606001,3.3606001,3.3606001,-1.785294,-1.785294,-1.785294,-1.785294,-1.785294,4.4840415,4.4840415,4.4840415,4.4840415,4.4840415,-0.63908125,-0.63908125,-0.63908125,-0.63908125,-0.63908125,5.9565038,5.9565038,5.9565038,5.9565038,5.9565038,0.83154165,0.83154165,0.83154165,0.83154165,0.83154165,6.3027332,6.3027332,6.3027332,6.3027332,6.3027332,0.94887593,0.94887593,0.94887593,0.94887593,0.94887593,3.4424708,0.67138994,-0.84690095,-1.2425764,-0.82465147,-1.239463,-1.3447507,-0.82420354,-2.7515637,-1.4385029,-0.82420354,-1.2791261,-0.92399676,-0.92285868,-1.5733881,-1.4807485,-1.2645791,-1.5847297,-1.7434177,-1.425862,-1.7434177,-1.7434177,-3.5838884,-0.94273269,-1.1524968,-1.1683095,-0.8328873,-1.5359053,-2.00563,-1.9103236,-1.3257409,-1.2525477,-1.0880636,-2.7687507,-0.82658931,-1.5790061,-1.1757321,-2.6856382,-1.3462399,-3.2727962,-2.8995724,-1.337735
-36.964893,0.98664273,0.018222711,7,255,0,43.421457,-15.203677,1.3707524,4.2413904,-1.849955,1.0871302,-7.9802229,1.4789765,6.1763231,-5.9703352,0.99777429,1.437456,2.4953244e-07,3.938313,69.50442,0.15724425,2.9657507,0.00034216316,4.3884517,481.2193,0.0025533853,4000000,1e-10,481.2193,0.0025533853,3999857.3,3993201.1,3590759.6,1734379.9,96.241916,3770.8476,180390.2,155744.5,876.41558,33116.96,1188351.5,1225748.2,0.0037285978,0.13981955,8.8313022,13.861795,2.9427101,2.9427101,2.9427101,2.9427101,2.9427101,-2.4284545,-2.4284545,-2.4284545,-2.4284545,-2.4284545,4.5200505,4.5200505,4.5200505,4.5200505,4.5200505,-0.85443211,-0.85443211,-0.85443211,-0.85443211,-0.85443211,6.0749449,6.0749449,6.0749449,6.0749449,6.0749449,0.94602474,0.94602474,0.94602474,0.94602474,0.94602474,6.0884013,6.0884013,6.0884013,6.0884013,6.0884013,1.1418195,1.1418195,1.1418195,1.1418195,1.1418195,5.9395639,0.75305105,-0.94116747,-1.002918,-0.98607983,-1.6976738,-1.0474407,-0.49236579,-3.2352841,-1.854261,-0.49236579,-1.5840776,-0.98611295,-0.98525232,-1.4993911,-1.500484,-1.314318,-1.5138555,-1.4661296,-1.5819273,-1.4661296,-1.4661296,-2.9600718,-0.96996786,-1.109112,-1.2997679,-0.91673519,-1.5229805,-2.0703934,-1.8220455,-1.4335548,-1.3316102,-1.0170387,-2.9397996,-0.92673197,-1.3261946,-1.3964021,-2.7590633,-1.3669082,-3.2122229,-2.9552084,-1.3622443
