parameter,true_value,posterior_median,lower_90,upper_90,interval_width,rel_error,recovered
beta,2.24503e-07,3.33745e-07,4.19322e-08,2.41106e-06,2.3691278e-06,0.48659483392204106,True
delta,1.28622,1.17556,0.487198,2.911,2.4238020000000002,-0.08603504843650385,True
p_hat,117.799,51.3071,5.03766,447.764,442.72634,-0.5644521600353145,True
eps2,0.318842,0.358707,0.0329348,1.71667,1.6837351999999999,0.12503057940923712,True
c,4.90625,3.86943,2.17951,8.7508,6.571289999999999,-0.21132636942675162,True
d,0.0215878,0.0570914,0.0167465,0.16764,0.1508935,1.644614087586507,True
h,8.55745,9.34666,3.05558,14.3512,11.29562,0.09222490344670442,True
s_d,0.0583612,0.0506378,0.00375993,0.660544,0.65678407,-0.13233792314071685,True
alpha,6.50454,5.47817,1.8639,12.5918,10.7279,-0.15779286467605702,True
V0,185.501,429.424,63.7473,2200.22,2136.4727,1.3149416984275015,True
D0,1708.2,2703.23,553.167,11257.1,10703.933,0.582502048940405,True
