,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-55.8459,0.24072,4.02016,4.04704,-62.6152,-55.7398,-49.4367,270.057,1221.66,0.00925296,1.0163
log_beta,-9.98945,0.082709,1.44631,1.21449,-12.8266,-9.7309,-8.18064,323.713,778.262,0.0110914,1.01202
log_delta,1.36321,0.0419858,0.648069,0.477488,0.0286702,1.60949,2.03194,262.307,2330.79,0.00898741,1.01454
log_p_hat,0.0272288,0.0659376,1.42599,1.22524,-1.80525,-0.22424,2.79106,564.293,839.324,0.0193344,1.00619
log_eps,-5.4277,0.100764,1.86923,1.87683,-8.61598,-5.21517,-2.85146,387.604,1339.84,0.0132805,1.00986
log_c,1.10071,0.0262002,0.440593,0.263329,0.705446,0.91162,2.08745,306.043,1998.55,0.0104859,1.01045
log_s0,-6.5325,0.108319,1.70889,1.80842,-8.90643,-6.78045,-3.421,268.157,1425.9,0.00918786,1.01442
log_alpha,2.16836,0.0163802,0.416831,0.385435,1.40049,2.24875,2.66408,1031.66,836.086,0.0353477,1.00462
log_V0,-0.566688,0.0705457,1.43177,1.33941,-2.40012,-0.882755,2.13684,437.098,3216.05,0.0149763,1.00737
log_F0,-5.87123,0.0184948,0.60201,0.603651,-6.85084,-5.88002,-4.85956,1072.58,3350.82,0.0367497,1.00089
sigma_V,1.15684,0.062447,0.871214,1.06455,0.231518,1.04807,2.77455,188.911,1676.25,0.00647264,1.01975
sigma_F,1.40391,0.00401747,0.103943,0.0641752,1.1817,1.44086,1.49603,575.124,3386.0,0.0197055,1.00665
beta,9.03813e-05,3.98094e-06,9.79108e-05,6.38734e-05,2.68831e-06,5.94187e-05,0.000280023,323.713,778.262,0.0110914,1.01202
delta,4.60451,0.146613,2.1435,2.55643,1.02909,5.00028,7.62887,262.307,2330.79,0.00898741,1.01454
p_hat,6.81333,2.06724,44.4011,0.782071,0.164434,0.799123,16.2983,564.293,839.324,0.0193344,1.00619
eps,0.061447,0.0281432,0.541736,0.00735403,0.000181188,0.00543349,0.0577601,387.604,1339.84,0.0132805,1.00986
c,3.37564,0.104932,1.96816,0.614886,2.02475,2.48835,8.06429,306.043,1998.55,0.0104859,1.01045
s0,0.00810796,0.000757324,0.0308492,0.00138589,0.000135514,0.00113577,0.0326796,268.157,1425.9,0.00918786,1.01442
alpha,9.40962,0.0990643,3.19066,3.65569,4.05717,9.4759,14.3547,1031.66,836.086,0.0353477,1.00462
V0,2.40183,0.242315,13.065,0.419266,0.0907069,0.413642,8.4726,437.098,3216.05,0.0149763,1.00737
F0,0.00338653,6.21191e-05,0.00227018,0.00160547,0.00105857,0.00279472,0.00775389,1072.58,3350.82,0.0367497,1.00089
y0[1],4000000.0,,0.0,0.0,4000000.0,4000000.0,4000000.0,,,,
y0[2],1e-10,,3.50274e-24,0.0,1e-10,1e-10,1e-10,,,,
y0[3],2.40183,0.242315,13.065,0.419266,0.0907069,0.413642,8.4726,437.098,3216.05,0.0149763,1.00737
y0[4],0.00338653,6.21191e-05,0.00227018,0.00160547,0.00105857,0.00279472,0.00775389,1072.58,3350.82,0.0367497,1.00089
"y_sol[1,1]",3999510.0,36.9442,1680.77,120.535,3997940.0,3999920.0,4000000.0,197.601,804.062,0.0067704,1.02005
"y_sol[1,2]",340.474,25.2317,1172.69,86.3071,0.834029,60.5602,1424.84,203.78,802.005,0.00698211,1.0196
"y_sol[1,3]",30.6814,3.2701,260.163,2.54299,0.517677,2.32378,93.0246,244.476,2778.3,0.00837647,1.01466
"y_sol[1,4]",0.00677344,0.000285616,0.0166886,0.00280898,0.00119483,0.00386844,0.019512,510.484,3534.04,0.0174907,1.00525
"y_sol[2,1]",3205050.0,61677.6,1254050.0,153815.0,61560.9,3894920.0,3999190.0,188.474,774.532,0.00645767,1.02216
"y_sol[2,2]",339906.0,25603.3,486467.0,99438.0,594.724,68149.3,1428880.0,192.474,789.827,0.00659474,1.02177
"y_sol[2,3]",96290.0,18003.9,1484910.0,3049.57,391.561,2469.67,301106.0,226.408,3780.82,0.0077574,1.01678
"y_sol[2,4]",12.6446,0.794804,22.8891,5.05208,0.454554,4.27728,49.3836,287.112,1197.25,0.0098373,1.01477
"y_sol[3,1]",1007110.0,109680.0,1402930.0,10599.5,0.0451758,7149.25,3801850.0,191.287,758.551,0.00655407,1.02125
"y_sol[3,2]",442091.0,32209.5,661849.0,179972.0,1419.0,126334.0,2055320.0,318.879,1987.79,0.0109258,1.01297
"y_sol[3,3]",77277.0,2734.63,108269.0,27023.8,17047.8,47279.0,221085.0,1030.44,3398.15,0.0353061,1.00722
"y_sol[3,4]",228.875,21.7222,421.003,56.0212,0.124912,37.9676,1013.88,213.954,2276.38,0.0073307,1.01815
"y_sol[4,1]",481220.0,57906.5,1005070.0,146.02,0.00108415,98.4893,3240750.0,224.041,740.822,0.0076763,1.01709
"y_sol[4,2]",96925.0,9894.85,198768.0,40.8019,0.0056436,27.5215,473941.0,197.645,2288.49,0.00677191,1.01822
"y_sol[4,3]",11072.2,1033.6,12709.9,3646.96,113.645,2599.39,33506.9,196.11,2254.44,0.00671931,1.01873
"y_sol[4,4]",123.661,13.9533,321.606,0.00598911,4.82977e-07,0.00403971,664.142,184.812,1594.86,0.00633222,1.02044
y_pred[1],0.567893,0.0467964,0.742085,0.710164,-0.285941,0.366195,1.9686,244.476,2778.3,0.00837647,1.01466
y_pred[2],0.567893,0.0467964,0.742085,0.710164,-0.285941,0.366195,1.9686,244.476,2778.3,0.00837647,1.01466
y_pred[3],0.567893,0.0467964,0.742085,0.710164,-0.285941,0.366195,1.9686,244.476,2778.3,0.00837647,1.01466
y_pred[4],0.567893,0.0467964,0.742085,0.710164,-0.285941,0.366195,1.9686,244.476,2778.3,0.00837647,1.01466
y_pred[5],0.567893,0.0467964,0.742085,0.710164,-0.285941,0.366195,1.9686,244.476,2778.3,0.00837647,1.01466
y_pred[6],3.66288,0.0668467,0.979531,0.967139,2.5928,3.39264,5.47872,226.408,3780.82,0.0077574,1.01678
y_pred[7],3.66288,0.0668467,0.979531,0.967139,2.5928,3.39264,5.47872,226.408,3780.82,0.0077574,1.01678
y_pred[8],3.66288,0.0668467,0.979531,0.967139,2.5928,3.39264,5.47872,226.408,3780.82,0.0077574,1.01678
y_pred[9],3.66288,0.0668467,0.979531,0.967139,2.5928,3.39264,5.47872,226.408,3780.82,0.0077574,1.01678
y_pred[10],3.66288,0.0668467,0.979531,0.967139,2.5928,3.39264,5.47872,226.408,3780.82,0.0077574,1.01678
y_pred[11],4.72997,0.0114476,0.350815,0.27015,4.23167,4.67467,5.34456,1030.44,3398.15,0.0353061,1.00749
y_pred[12],4.72997,0.0114476,0.350815,0.27015,4.23167,4.67467,5.34456,1030.44,3398.15,0.0353061,1.00749
y_pred[13],4.72997,0.0114476,0.350815,0.27015,4.23167,4.67467,5.34456,1030.44,3398.15,0.0353061,1.00749
y_pred[14],4.72997,0.0114476,0.350815,0.27015,4.23167,4.67467,5.34456,1030.44,3398.15,0.0353061,1.00749
y_pred[15],4.72997,0.0114476,0.350815,0.27015,4.23167,4.67467,5.34456,1030.44,3398.15,0.0353061,1.00749
y_pred[16],3.48093,0.0672882,0.874202,1.23457,2.05555,3.41487,4.52513,196.11,2254.44,0.00671931,1.01873
y_pred[17],3.48093,0.0672882,0.874202,1.23457,2.05555,3.41487,4.52513,196.11,2254.44,0.00671931,1.01873
y_pred[18],3.48093,0.0672882,0.874202,1.23457,2.05555,3.41487,4.52513,196.11,2254.44,0.00671931,1.01873
y_pred[19],3.48093,0.0672882,0.874202,1.23457,2.05555,3.41487,4.52513,196.11,2254.44,0.00671931,1.01873
y_pred[20],3.48093,0.0672882,0.874202,1.23457,2.05555,3.41487,4.52513,196.11,2254.44,0.00671931,1.01873
y_pred[21],-2.37731,0.0161342,0.372008,0.344455,-2.92269,-2.41246,-1.7097,510.484,3534.04,0.0174907,1.00525
y_pred[22],-2.37731,0.0161342,0.372008,0.344455,-2.92269,-2.41246,-1.7097,510.484,3534.04,0.0174907,1.00525
y_pred[23],-2.37731,0.0161342,0.372008,0.344455,-2.92269,-2.41246,-1.7097,510.484,3534.04,0.0174907,1.00525
y_pred[24],-2.37731,0.0161342,0.372008,0.344455,-2.92269,-2.41246,-1.7097,510.484,3534.04,0.0174907,1.00525
y_pred[25],-2.37731,0.0161342,0.372008,0.344455,-2.92269,-2.41246,-1.7097,510.484,3534.04,0.0174907,1.00525
y_pred[26],0.653892,0.0421619,0.684444,0.706275,-0.342415,0.631167,1.69358,287.112,1197.25,0.0098373,1.01477
y_pred[27],0.653892,0.0421619,0.684444,0.706275,-0.342415,0.631167,1.69358,287.112,1197.25,0.0098373,1.01477
