# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-12 03:33:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmp__8ax4w5/xj7wwqee.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_14/results/HIGH/base/delta5/stan_output/tivf_base-20260211223311_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0112909
# Diagonal elements of inverse mass matrix:
# 0.417742, 2.17158, 0.985187, 1.11625, 3.91822, 1.21759, 1.59936, 0.0984984, 0.165959, 1.73101, 2.18982
-57.253371,0.99383061,0.011290923,8,255,0,62.239337,-9.1102385,1.9132671,-0.50120228,-8.7295352,0.70764526,-4.1287747,2.5275323,-3.9076092,-5.6617829,0.76706145,1.3911459,0.00011052835,6.7751879,0.60580188,0.00016173761,2.0292074,0.016102598,12.522566,0.020088472,0.0034763134,4000000,1e-10,0.020088472,0.0034763134,3999991.5,3923357.1,92.91319,0.26874293,5.5767428,49005.431,53605.774,0.083279763,0.23863147,2109.6071,104498.16,1922.6947,0.0037673971,32.215927,142.68791,0.00021768247,-0.62227229,-0.62227229,-0.62227229,-0.62227229,-0.62227229,3.3242016,3.3242016,3.3242016,3.3242016,3.3242016,5.0191087,5.0191087,5.0191087,5.0191087,5.0191087,3.2839103,3.2839103,3.2839103,3.2839103,3.2839103,-2.4239586,-2.4239586,-2.4239586,-2.4239586,-2.4239586,1.5080706,1.5080706,1.5080706,1.5080706,1.5080706,2.1543872,2.1543872,2.1543872,2.1543872,2.1543872,-3.6621766,-3.6621766,-3.6621766,-3.6621766,-3.6621766,19.481236,0.2995057,-0.23396871,-0.23396871,-0.23396871,-0.23396871,-0.23396871,-1.3639714,-0.74306837,-0.87843643,-0.67666225,-0.97432658,-0.86543995,-0.76952607,-0.86543995,-0.86543995,-0.94866764,-2.5304712,-1.320964,-2.8185825,-1.5139177,-2.5304712,-4.2997799,-0.4884365,-0.4884365,-0.4884365,-0.4884365,-1.426778,-1.4202703,-1.305463,-1.3010626,-2.1254664,-1.3761544,-4.1806526,-4.1806526,-4.1806526,-4.1806526,-0.15416275,-0.15416275,-0.15416275,-0.15416275,-0.15416275
-57.908893,0.98716834,0.011290923,7,127,0,64.358256,-8.9772541,1.9085174,-0.5718238,-8.733943,0.93804639,-4.7692243,2.106444,-4.1780542,-5.9461889,1.1068841,1.4185394,0.00012624904,6.7430842,0.56449497,0.00016102628,2.5549851,0.008486961,8.218963,0.015328304,0.0026157905,4000000,1e-10,0.015328304,0.0026157905,3999992.5,3919004.1,94.258387,1.7805148,5.0039062,52223.933,49102.051,0.096552875,0.18939933,1990.4537,76767.869,503.02561,0.0023690186,21.697917,163.68523,0.00042925975,-0.72262157,-0.72262157,-0.72262157,-0.72262157,-0.72262157,3.2989521,3.2989521,3.2989521,3.2989521,3.2989521,4.8851795,4.8851795,4.8851795,4.8851795,4.8851795,2.7015901,2.7015901,2.7015901,2.7015901,2.7015901,-2.6254315,-2.6254315,-2.6254315,-2.6254315,-2.6254315,1.336418,1.336418,1.336418,1.336418,1.336418,2.2140095,2.2140095,2.2140095,2.2140095,2.2140095,-3.3672798,-3.3672798,-3.3672798,-3.3672798,-3.3672798,16.546312,0.37890452,-0.29696333,-0.29696333,-0.29696333,-0.29696333,-0.29696333,-1.342982,-1.0569603,-1.1180534,-1.0283669,-1.1620426,-1.07491,-1.0430592,-1.07491,-1.07491,-1.1050409,-2.7664661,-1.9004422,-2.9571097,-2.0501405,-2.7664661,-4.429354,-0.4137729,-0.4137729,-0.4137729,-0.4137729,-1.5128695,-1.5051073,-1.3484209,-1.3380426,-1.9835721,-1.4111504,-4.1626311,-4.1626311,-4.1626311,-4.1626311,-0.21033955,-0.21033955,-0.21033955,-0.21033955,-0.21033955
-60.419056,0.99810497,0.011290923,8,255,0,65.150676,-8.485035,2.001435,-1.1403914,-8.9730034,0.77086725,-5.7281256,1.7453364,-3.7067185,-5.8499056,1.3409846,1.4403432,0.00020653616,7.3996673,0.31969388,0.00012678683,2.1616401,0.0032531691,5.7278281,0.024557978,0.002880171,4000000,1e-10,0.024557978,0.002880171,3999981.9,3883657.4,68.955096,0.60389075,11.424644,70829.778,29767.135,0.028018154,0.26398013,1655.7528,48981.169,673.31186,0.0027657064,13.388128,104.38402,0.0017173327,-0.57842876,-0.57842876,-0.57842876,-0.57842876,-0.57842876,3.2189955,3.2189955,3.2189955,3.2189955,3.2189955,4.6900291,4.6900291,4.6900291,4.6900291,4.6900291,2.8282163,2.8282163,2.8282163,2.8282163,2.8282163,-2.5581939,-2.5581939,-2.5581939,-2.5581939,-2.5581939,1.1267199,1.1267199,1.1267199,1.1267199,1.1267199,2.018634,2.018634,2.018634,2.018634,2.018634,-2.7651456,-2.7651456,-2.7651456,-2.7651456,-2.7651456,16.511815,0.29212667,-0.40512761,-0.40512761,-0.40512761,-0.40512761,-0.40512761,-1.3943189,-1.2256777,-1.2588541,-1.2133104,-1.2843788,-1.2203811,-1.2127882,-1.2203811,-1.2203811,-1.2311431,-2.2607357,-1.7129388,-2.3828808,-1.8064825,-2.2607357,-4.3255417,-0.44184626,-0.44184626,-0.44184626,-0.44184626,-1.6261117,-1.6169422,-1.4132465,-1.3961289,-1.8330052,-1.3722382,-3.9517396,-3.9517396,-3.9517396,-3.9517396,-0.36961957,-0.36961957,-0.36961957,-0.36961957,-0.36961957
-56.426738,0.98435351,0.011290923,7,127,0,65.342851,-9.2048884,1.5962731,-0.70999868,-8.7757968,0.75859768,-5.3014283,2.3838836,-2.1654595,-6.4687356,0.8845501,1.2592118,0.00010054668,4.9346072,0.49164485,0.00015442581,2.1352798,0.0049844697,10.846947,0.11469722,0.0015511857,4000000,1e-10,0.11469722,0.0015511857,3999967.4,3906095.3,113.30316,0.10400505,23.060838,63845.003,182147.56,9.4454529,0.89190881,2487.0678,132863.06,2298.6571,0.0053780679,14.94898,146.62071,0.0079606897,-0.049679546,-0.049679546,-0.049679546,-0.049679546,-0.049679546,3.3956876,3.3956876,3.3956876,3.3956876,3.3956876,5.1234042,5.1234042,5.1234042,5.1234042,5.1234042,3.3614742,3.3614742,3.3614742,3.3614742,3.3614742,-2.2693737,-2.2693737,-2.2693737,-2.2693737,-2.2693737,1.1746116,1.1746116,1.1746116,1.1746116,1.1746116,2.1661953,2.1661953,2.1661953,2.1661953,2.1661953,-2.0990493,-2.0990493,-2.0990493,-2.0990493,-2.0990493,18.766006,0.43271525,-0.64933266,-0.64933266,-0.64933266,-0.64933266,-0.64933266,-1.4171368,-0.8963154,-1.0154708,-0.83175999,-1.0967163,-1.0289332,-0.93947772,-1.0289332,-1.0289332,-1.1035168,-2.0640741,-1.214009,-2.2698281,-1.3472136,-2.0640741,-4.4366912,-0.54391503,-0.54391503,-0.54391503,-0.54391503,-1.5441259,-1.5328848,-1.2853006,-1.2650902,-1.8778444,-1.2977208,-4.5434275,-4.5434275,-4.5434275,-4.5434275,-0.63521252,-0.63521252,-0.63521252,-0.63521252,-0.63521252
-60.094778,0.97877732,0.011290923,7,255,0,67.574042,-8.6054794,1.9542037,-1.0882198,-7.2215483,0.81454139,-8.5961069,2.6853827,0.50659848,-5.2589775,2.1889302,1.4730094,0.00018309976,7.0582965,0.33681555,0.00073067024,2.2581398,0.00018482393,14.663812,1.6596363,0.0052006194,4000000,1e-10,1.6596363,0.0052006194,3999005.3,1601932,8.1187315,0.87613835,633.44995,1223026.8,3988.9037,0.013362741,15.829113,44544.948,27571.631,304.41863,0.0046256652,11.134699,0.096627176,2.2854059e-07,1.1994566,1.1994566,1.1994566,1.1994566,1.1994566,4.6487985,4.6487985,4.6487985,4.6487985,4.6487985,4.4404624,4.4404624,4.4404624,4.4404624,4.4404624,2.4834712,2.4834712,2.4834712,2.4834712,2.4834712,-2.3348258,-2.3348258,-2.3348258,-2.3348258,-2.3348258,1.0466785,1.0466785,1.0466785,1.0466785,1.0466785,-1.0149007,-1.0149007,-1.0149007,-1.0149007,-1.0149007,-6.6410367,-6.6410367,-6.6410367,-6.6410367,-6.6410367,15.477085,0.31992703,-1.2314877,-1.2314877,-1.2314877,-1.2314877,-1.2314877,-2.225393,-1.9860397,-2.0551887,-1.9336527,-2.0946092,-1.7030116,-1.7069332,-1.7030116,-1.7030116,-1.7023629,-2.2479328,-1.9991718,-2.301689,-2.0429133,-2.2479328,-4.0651128,-0.53544858,-0.53544858,-0.53544858,-0.53544858,-1.6791538,-1.6697957,-1.456659,-1.4377895,-1.7845418,-2.8679298,-1.3218645,-1.3218645,-1.3218645,-1.3218645,-0.012760299,-0.012760299,-0.012760299,-0.012760299,-0.012760299
-61.316238,0.99861935,0.011290923,8,255,0,66.689371,-8.3887689,2.0603445,-1.3537084,-6.2809511,0.70423455,-8.4373646,2.6438507,0.35320233,-5.4754084,1.4908526,1.4671613,0.00022740706,7.8486728,0.25828066,0.0018716196,2.0222981,0.00021662027,14.067268,1.4236192,0.0041885176,4000000,1e-10,1.4236192,0.0041885176,3999010,2104228,29.906719,2.1364612,596.87902,943984.3,2908.1115,0.036308671,12.159013,25308.532,23790.067,419.0262,0.0053105215,9.9233959,0.099577199,6.7035817e-07,1.0848983,1.0848983,1.0848983,1.0848983,1.0848983,4.403267,4.403267,4.403267,4.403267,4.403267,4.3763957,4.3763957,4.3763957,4.3763957,4.3763957,2.6222412,2.6222412,2.6222412,2.6222412,2.6222412,-2.2748628,-2.2748628,-2.2748628,-2.2748628,-2.2748628,0.99666032,0.99666032,0.99666032,0.99666032,0.99666032,-1.0018401,-1.0018401,-1.0018401,-1.0018401,-1.0018401,-6.1736931,-6.1736931,-6.1736931,-6.1736931,-6.1736931,14.801797,0.25766116,-1.4550118,-1.4550118,-1.4550118,-1.4550118,-1.4550118,-2.2120686,-1.7612637,-1.8893414,-1.6660065,-1.9632744,-1.3229258,-1.3351269,-1.3229258,-1.3229258,-1.3189331,-2.3559862,-1.8571854,-2.4650022,-1.943988,-2.3559862,-4.0214749,-0.56102876,-0.56102876,-0.56102876,-0.56102876,-1.7059046,-1.6961436,-1.4705046,-1.4499558,-1.753032,-2.8617386,-1.3346273,-1.3346273,-1.3346273,-1.3346273,-0.018187074,-0.018187074,-0.018187074,-0.018187074,-0.018187074
