# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-12 03:33:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 3000
#     num_warmup = 3000
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 14
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmp__8ax4w5/xj7wwqee.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_14/results/HIGH/base/delta5/stan_output/tivf_base-20260211223311_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40
# Adaptation terminated
# Step size = 0.0107517
# Diagonal elements of inverse mass matrix:
# 0.399883, 2.13807, 0.905915, 0.97199, 3.51736, 1.45452, 1.45844, 0.106882, 0.154981, 1.76322, 1.98219
-56.356468,0.9911517,0.01075168,8,255,0,60.622031,-9.4747637,2.0431655,0.12122689,-5.0918872,1.1133783,-7.8945798,2.3165123,0.32272675,-5.2749079,2.6875527,1.465692,7.6764851e-05,7.7149921,1.128881,0.0061464095,3.0446267,0.0003727585,10.140247,1.380888,0.0051184279,4000000,1e-10,1.380888,0.0051184279,3999504.5,818509.89,30.223341,13.621834,320.69763,1400096.4,1355.9635,0.016474265,22.040459,168773.53,31479.469,72.148126,0.0054506883,37.760348,0.18579211,8.9566695e-07,1.3432206,1.3432206,1.3432206,1.3432206,1.3432206,5.2273043,5.2273043,5.2273043,5.2273043,5.2273043,4.4980274,4.4980274,4.4980274,4.4980274,4.4980274,1.8582251,1.8582251,1.8582251,1.8582251,1.8582251,-2.2635487,-2.2635487,-2.2635487,-2.2635487,-2.2635487,1.577036,1.577036,1.577036,1.577036,1.577036,-0.73097274,-0.73097274,-0.73097274,-0.73097274,-0.73097274,-6.0478535,-6.0478535,-6.0478535,-6.0478535,-6.0478535,14.7571,0.3946377,-1.1756758,-1.1756758,-1.1756758,-1.1756758,-1.1756758,-2.4570137,-2.2509813,-2.3120697,-2.203415,-2.346229,-1.9076029,-1.9091683,-1.9076029,-1.9076029,-1.9078899,-2.4944797,-2.277523,-2.5396615,-2.3169271,-2.4944797,-4.013826,-0.56595124,-0.56595124,-0.56595124,-0.56595124,-1.443641,-1.4383483,-1.3526587,-1.3510323,-2.1582205,-2.6236767,-1.5460572,-1.5460572,-1.5460572,-1.5460572,-0.020076583,-0.020076583,-0.020076583,-0.020076583,-0.020076583
-59.598206,0.99916113,0.01075168,8,255,0,62.729705,-9.1043461,2.05304,-0.63064425,-6.2475914,0.70306683,-7.7400041,2.2082405,0.56067737,-5.1992574,2.0195855,1.4933534,0.00011118155,7.7915516,0.53224879,0.0019351093,2.019938,0.0004350698,9.0996913,1.7518588,0.0055206627,4000000,1e-10,1.7518588,0.0055206627,3999397.2,2585350.5,50.918446,3.0439907,365.29259,743201.56,4338.0522,0.056178245,15.23916,37098.447,51799.568,918.83873,0.0084309628,18.960991,0.90800032,3.7635796e-06,1.182961,1.182961,1.182961,1.182961,1.182961,4.5693557,4.5693557,4.5693557,4.5693557,4.5693557,4.7143261,4.7143261,4.7143261,4.7143261,4.7143261,2.9632393,2.9632393,2.9632393,2.9632393,2.9632393,-2.0741228,-2.0741228,-2.0741228,-2.0741228,-2.0741228,1.277861,1.277861,1.277861,1.277861,1.277861,-0.041914,-0.041914,-0.041914,-0.041914,-0.041914,-5.4243989,-5.4243989,-5.4243989,-5.4243989,-5.4243989,15.039916,0.25924721,-1.2764588,-1.2764588,-1.2764588,-1.2764588,-1.2764588,-2.193433,-1.9237484,-2.0012793,-1.865324,-2.0456401,-1.6264601,-1.6223381,-1.6264601,-1.6264601,-1.631741,-2.0220029,-1.8003512,-2.0722131,-1.8376205,-2.0220029,-3.7984104,-0.65617407,-0.65617407,-0.65617407,-0.65617407,-1.5709642,-1.5634727,-1.4077354,-1.3964983,-1.9359036,-2.0562281,-2.092431,-2.092431,-2.092431,-2.092431,-0.035822447,-0.035822447,-0.035822447,-0.035822447,-0.035822447
-60.019808,0.99602694,0.01075168,8,255,0,64.892249,-9.1510874,2.0536345,-0.92153945,-6.1944984,0.708615,-7.551274,2.2599049,0.56890772,-5.0602536,1.6894171,1.4945394,0.00010610436,7.7961847,0.39790601,0.0020406265,2.0311761,0.00052544031,9.5821781,1.7663367,0.0063439503,4000000,1e-10,1.7663367,0.0063439503,3999595.2,3770790.8,6322.6805,193.38959,229.49069,117009.01,55145.374,4.4118431,8.7751374,4578.2793,64848.542,1193.4245,0.0070806273,3.4911097,7.8161175,0.00032127847,0.94325393,0.94325393,0.94325393,0.94325393,0.94325393,3.6607023,3.6607023,3.6607023,3.6607023,3.6607023,4.8119002,4.8119002,4.8119002,4.8119002,4.8119002,3.076795,3.076795,3.076795,3.076795,3.076795,-2.1499283,-2.1499283,-2.1499283,-2.1499283,-2.1499283,0.54296349,0.54296349,0.54296349,0.54296349,0.54296349,0.89299108,0.89299108,0.89299108,0.89299108,0.89299108,-3.4931184,-3.4931184,-3.4931184,-3.4931184,-3.4931184,10.664586,0.26053464,-1.2437218,-1.2437218,-1.2437218,-1.2437218,-1.2437218,-1.7173559,-1.519795,-1.5701023,-1.4872414,-1.6016601,-1.4582488,-1.447914,-1.4582488,-1.4582488,-1.4688724,-1.9455668,-1.6526849,-2.0129437,-1.7011706,-1.9455668,-3.8641265,-0.61988801,-0.61988801,-0.61988801,-0.61988801,-1.9998505,-1.9878863,-1.6856596,-1.6536591,-1.5323977,-1.5211237,-2.8942789,-2.8942789,-2.8942789,-2.8942789,-0.20067011,-0.20067011,-0.20067011,-0.20067011,-0.20067011
-62.411156,0.99991829,0.01075168,8,255,0,65.448097,-10.023996,2.0758656,0.42180693,-6.6888654,0.85702976,-6.3195364,2.4112537,-0.9852624,-6.8238637,1.9950604,1.4971147,4.4323467e-05,7.9714439,1.5247141,0.0012446942,2.356152,0.0018007781,11.147928,0.37334125,0.001087511,4000000,1e-10,0.37334125,0.001087511,3999942.4,3686061.6,232.0431,13.87754,35.3002,182166.53,12741.976,0.15423436,3.8816038,20627.608,148625.84,1367.333,0.0028436484,14.907956,6.0488154,3.2687001e-05,0.5890112,0.5890112,0.5890112,0.5890112,0.5890112,4.3144489,4.3144489,4.3144489,4.3144489,4.3144489,5.1720943,5.1720943,5.1720943,5.1720943,5.1720943,3.1358743,3.1358743,3.1358743,3.1358743,3.1358743,-2.5461241,-2.5461241,-2.5461241,-2.5461241,-2.5461241,1.1734181,1.1734181,1.1734181,1.1734181,1.1734181,0.78167033,0.78167033,0.78167033,0.78167033,0.78167033,-4.4856249,-4.4856249,-4.4856249,-4.4856249,-4.4856249,14.392686,0.29557405,-0.95735424,-0.95735424,-0.95735424,-0.95735424,-0.95735424,-2.0652263,-1.8266556,-1.8939364,-1.7770328,-1.9329903,-1.6630298,-1.6438546,-1.6630298,-1.6630298,-1.6787921,-1.9450637,-1.7439526,-1.9917449,-1.7769391,-1.9450637,-4.2093676,-0.45428244,-0.45428244,-0.45428244,-0.45428244,-1.6208577,-1.61264,-1.4336934,-1.4192535,-1.8669352,-1.5681423,-2.7945773,-2.7945773,-2.7945773,-2.7945773,-0.0821606,-0.0821606,-0.0821606,-0.0821606,-0.0821606
-64.143555,0.99860047,0.01075168,7,127,0,67.116778,-11.022173,2.0762437,1.1028366,-5.3589111,0.87094786,-7.2414275,2.2384022,-0.30791945,-7.2686029,1.0206739,1.4964031,1.6335443e-05,7.9744583,3.0126998,0.0047060278,2.3891744,0.00071628853,9.3783346,0.73497452,0.00069708518,4000000,1e-10,0.73497452,0.00069708518,3999971.4,3971348.6,46956.078,792.24103,16.4133,15257.968,229079.74,13.308777,4.3006051,4002.269,507000.11,5566.3371,0.00068603503,0.59244102,33.108611,0.0014284718,0.63352957,0.63352957,0.63352957,0.63352957,0.63352957,3.6023063,3.6023063,3.6023063,3.6023063,3.6023063,5.7050081,5.7050081,5.7050081,5.7050081,5.7050081,3.7455695,3.7455695,3.7455695,3.7455695,3.7455695,-3.1636537,-3.1636537,-3.1636537,-3.1636537,-3.1636537,-0.22735488,-0.22735488,-0.22735488,-0.22735488,-0.22735488,1.519941,1.519941,1.519941,1.519941,1.519941,-2.8451283,-2.8451283,-2.8451283,-2.8451283,-2.8451283,10.332317,0.29960334,-1.3190119,-1.3190119,-1.3190119,-1.3190119,-1.3190119,-1.6216958,-1.1135145,-1.2406899,-1.0332966,-1.3215429,-1.6133686,-1.4736061,-1.6133686,-1.6133686,-1.7196302,-1.4430889,-1.0258604,-1.5570649,-1.081661,-1.4430889,-4.7403017,-0.26915984,-0.26915984,-0.26915984,-0.26915984,-2.6041118,-2.5896629,-2.1968043,-2.1505895,-1.3717593,-1.376316,-3.4207518,-3.4207518,-3.4207518,-3.4207518,-0.35426668,-0.35426668,-0.35426668,-0.35426668,-0.35426668
-58.331985,0.99653502,0.01075168,9,511,0,68.358853,-9.2771769,1.5727469,-0.81202366,-6.9873763,0.70440294,-5.4689278,2.4373689,-0.78492213,-4.2573862,1.2258696,1.3469778,9.353481e-05,4.8198699,0.44395873,0.00092346629,2.0226387,0.0042157497,11.442894,0.45615522,0.014159263,4000000,1e-10,0.45615522,0.014159263,3999897.7,3866271.9,2619.8378,8.4034991,71.41179,88276.614,234899.8,16.464178,2.7489393,3417.2819,106118.72,2487.5705,0.014874736,17.948405,139.54292,0.010343531,0.43916515,0.43916515,0.43916515,0.43916515,0.43916515,3.5336808,3.5336808,3.5336808,3.5336808,3.5336808,5.025792,5.025792,5.025792,5.025792,5.025792,3.3957754,3.3957754,3.3957754,3.3957754,3.3957754,-1.8275507,-1.8275507,-1.8275507,-1.8275507,-1.8275507,1.2540259,1.2540259,1.2540259,1.2540259,1.2540259,2.1447078,2.1447078,2.1447078,2.1447078,2.1447078,-1.9853312,-1.9853312,-1.9853312,-1.9853312,-1.9853312,17.038142,0.41964591,-1.021432,-1.021432,-1.021432,-1.021432,-1.021432,-1.5427032,-1.2173533,-1.2968401,-1.1690494,-1.3483243,-1.2077078,-1.1695759,-1.2077078,-1.2077078,-1.2406947,-1.7509322,-1.3220305,-1.8555497,-1.388646,-1.7509322,-3.8127365,-0.79504955,-0.79504955,-0.79504955,-0.79504955,-1.5250171,-1.5157329,-1.319273,-1.3045761,-1.9296954,-1.3458757,-4.2844596,-4.2844596,-4.2844596,-4.2844596,-0.70144931,-0.70144931,-0.70144931,-0.70144931,-0.70144931
