,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
sigma_V,0.409928,0.00256841,0.131071,0.108928,0.249898,0.384212,0.662556,2722.6,3822.48,0.0918822,1.00065
sigma_D,0.374361,0.00120258,0.0763661,0.0684951,0.271685,0.362323,0.519091,4588.75,4494.6,0.154861,1.00118
sigma_F,1.43944,0.000604787,0.0573323,0.045052,1.32308,1.45566,1.49677,5386.14,3594.75,0.181771,1.0002
beta,0.000242052,6.71872e-06,0.000200839,0.000219851,2.64971e-05,0.000197056,0.000622536,874.64,2241.2,0.0295173,1.0037
delta,1.76797,0.0406895,1.38873,0.640428,0.6171,1.19045,4.81318,1015.31,2484.4,0.0342648,1.0021
p_hat,1.5129,0.278716,13.6794,0.320158,0.113749,0.341176,3.49713,866.565,2434.06,0.0292448,1.00297
eps2,2.15773,0.0675909,2.68423,1.35776,0.000781103,0.920281,8.26227,1239.62,3298.3,0.0418346,1.00136
c,3.55773,0.0312574,1.84036,0.980913,2.05227,2.84085,7.70496,3801.66,4376.03,0.128298,0.999918
h,8.3672,0.0908684,3.70216,4.46082,2.38081,8.52135,14.1596,1639.97,2419.02,0.0553456,1.00201
d,0.440943,0.00405927,0.1647,0.170871,0.128806,0.462168,0.675375,1861.79,1612.73,0.0628315,1.00157
s_d,0.0295626,0.00182252,0.12346,0.00823322,0.000240565,0.00621651,0.119906,1632.99,1675.44,0.0551099,1.00227
theta_s,9039.24,436.377,16853.9,2847.29,122.342,2228.21,46744.5,1819.43,2209.58,0.0614021,1.00156
alpha,8.33489,0.0749553,3.58143,4.03204,2.03679,8.44132,14.0312,2131.08,1968.47,0.0719195,1.002
V0,0.156087,0.00535488,0.247118,0.0774594,0.0263228,0.109777,0.385317,3031.46,2264.03,0.102305,1.00138
D0,18866.0,341.298,17599.0,11488.5,3132.1,12686.8,55737.4,2179.18,5007.38,0.0735426,1.00171
R0,39.0805,0.542956,19.6694,20.0512,12.7033,36.5749,74.7633,1267.51,2748.23,0.042776,1.00208
c_over_delta,3.24701,0.0724859,3.0241,1.8561,0.542068,2.35998,9.37445,1257.82,3023.5,0.0424488,1.00092
h_over_delta,7.27607,0.157763,5.60051,5.03987,1.10297,5.74056,18.1892,1162.21,2603.03,0.0392222,1.00315
