,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-35.8904,0.127449,4.11743,4.14475,-43.1002,-35.5959,-29.6734,1085.62,2316.41,0.0366375,1.0042
log_beta,-8.80207,0.0394016,1.1159,1.25669,-10.5385,-8.53202,-7.38171,874.64,2241.2,0.0295173,1.0037
log_delta,0.342616,0.0204811,0.638369,0.597229,-0.482724,0.174334,1.57136,1015.31,2484.4,0.0342648,1.0021
log_p_hat,-0.731138,0.0422591,1.20111,1.29288,-2.17376,-1.07536,1.25194,866.565,2434.06,0.0292448,1.00297
log_eps2,-1.09666,0.0847619,2.93543,2.45972,-7.1548,-0.0830759,2.1117,1239.62,3298.3,0.0418346,1.00136
log_c,1.17064,0.00697282,0.41541,0.368972,0.718947,1.0441,2.04186,3801.66,4376.03,0.128298,0.999941
log_h,1.99619,0.0143869,0.548563,0.505498,0.867439,2.14257,2.65039,1639.97,2419.02,0.0553456,1.00151
log_s_d,-5.11542,0.045996,1.84062,1.88581,-8.33252,-5.08055,-2.12105,1632.99,1675.44,0.0551099,1.00227
log_theta_s,7.7507,0.0411808,1.77102,1.8281,4.80682,7.70896,10.7525,1819.87,2209.58,0.0614167,1.00132
log_alpha,1.99164,0.0140481,0.566669,0.474614,0.711373,2.13314,2.64128,2131.08,1968.47,0.0719195,1.00169
logit_d,-0.297589,0.0210841,0.801878,0.696932,-1.91155,-0.151617,0.732599,1861.79,1612.73,0.0628315,1.00158
log_V0,-2.23722,0.016805,0.840915,0.742704,-3.63732,-2.20931,-0.953689,3031.46,2264.03,0.102305,1.00138
log_D0,9.45571,0.0195231,0.898721,1.0495,8.04946,9.44832,10.9284,2179.18,5007.38,0.0735426,1.00184
log_F0,-4.58749,0.0162979,0.978651,0.979564,-6.15871,-4.59714,-2.92898,3592.51,2020.1,0.12124,1.00087
sigma_V,0.409928,0.00256841,0.131071,0.108928,0.249898,0.384212,0.662556,2722.6,3822.48,0.0918822,1.00065
sigma_D,0.374361,0.00120258,0.0763661,0.0684951,0.271685,0.362323,0.519091,4588.75,4494.6,0.154861,1.00118
sigma_F,1.43944,0.000604787,0.0573323,0.045052,1.32308,1.45566,1.49677,5386.14,3594.75,0.181771,1.0002
beta,0.000242052,6.71872e-06,0.000200839,0.000219851,2.64971e-05,0.000197056,0.000622536,874.64,2241.2,0.0295173,1.0037
delta,1.76797,0.0406895,1.38873,0.640428,0.6171,1.19045,4.81318,1015.31,2484.4,0.0342648,1.0021
p_hat,1.5129,0.278716,13.6794,0.320158,0.113749,0.341176,3.49713,866.565,2434.06,0.0292448,1.00297
eps2,2.15773,0.0675909,2.68423,1.35776,0.000781103,0.920281,8.26227,1239.62,3298.3,0.0418346,1.00136
c,3.55773,0.0312574,1.84036,0.980913,2.05227,2.84085,7.70496,3801.66,4376.03,0.128298,0.999918
