,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
sigma_V,1.25031,0.00333304,0.249354,0.230319,0.912975,1.21878,1.7082,6510.45,4594.18,0.841538,1.00095
sigma_F,1.36096,0.00123418,0.114337,0.104878,1.13911,1.39048,1.49117,5405.63,3281.47,0.698729,1.00044
beta,2.12075e-06,3.99481e-08,2.73713e-06,1.19362e-06,1.64607e-07,1.2461e-06,6.98548e-06,2761.8,1905.82,0.356989,1.00066
delta,2.13911,0.0188616,1.13896,0.938162,0.808375,1.87886,4.37051,4514.01,3675.42,0.583478,1.00031
p_hat,55.0743,2.8459,102.111,23.6035,3.30396,23.0178,214.345,2718.86,1958.56,0.351439,1.00068
eps,0.896108,0.0308624,1.77689,0.142674,0.000427178,0.0970244,4.97841,4863.23,4173.14,0.628619,1.00049
c,5.72783,0.0338252,2.53598,2.71182,2.3825,5.25208,10.5874,5124.92,3412.1,0.662444,1.00037
s0,3.30828e-05,1.35971e-06,8.09384e-05,1.43426e-05,1.56149e-06,1.33625e-05,0.000122364,3694.74,3125.4,0.47758,1.00066
alpha,6.90798,0.0452517,3.39668,3.63561,2.28177,6.35509,13.389,6131.85,3636.73,0.792599,1.0005
V0,51.938,1.0245,83.6079,27.7248,3.05553,26.8292,179.234,6618.68,4947.12,0.855527,1.00073
F0,0.00827804,0.000168492,0.00913542,0.00450307,0.00126022,0.00550771,0.0241207,5451.99,3692.76,0.704721,1.0023
R0,13.0784,0.0814641,6.57291,5.35453,5.54595,11.6436,25.9219,6620.7,5959.99,0.855788,1.00023
c_over_delta,3.65386,0.0405936,2.94475,2.09653,0.753475,2.79904,9.33146,4616.7,4037.11,0.596752,1.00003
