,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-39.1335,0.0590476,2.82567,2.7036,-44.3446,-38.7018,-35.2807,2445.34,3130.72,0.316083,1.00062
log_beta,-13.6417,0.0223337,1.12829,1.09573,-15.6197,-13.5955,-11.8717,2761.8,1905.82,0.356989,1.00066
log_delta,0.63085,0.00757694,0.511856,0.514727,-0.212729,0.630664,1.47488,4514.01,3675.42,0.583478,1.00031
log_p_hat,3.17686,0.024475,1.25049,1.24651,1.19512,3.13627,5.36759,2718.86,1958.56,0.351439,1.00068
log_eps,-2.59483,0.0396841,2.89091,3.37084,-7.75831,-2.33279,1.60511,4863.23,4173.14,0.628619,1.00056
log_c,1.64446,0.00604388,0.456716,0.536481,0.86815,1.65862,2.35966,5124.92,3412.1,0.662444,1.00038
log_s0,-11.2142,0.0218236,1.31973,1.30966,-13.3699,-11.2231,-9.00851,3694.74,3125.4,0.47758,1.00066
log_alpha,1.79681,0.00651371,0.547613,0.589448,0.824951,1.84926,2.59443,6131.85,3636.73,0.792599,1.00026
log_V0,3.23392,0.0153999,1.23777,1.23262,1.11695,3.28949,5.18869,6618.68,4947.12,0.855527,1.0008
log_F0,-5.20119,0.0122903,0.904416,0.904019,-6.67647,-5.20161,-3.72469,5451.99,3692.76,0.704721,1.00208
sigma_V,1.25031,0.00333304,0.249354,0.230319,0.912975,1.21878,1.7082,6510.45,4594.18,0.841538,1.00095
sigma_F,1.36096,0.00123418,0.114337,0.104878,1.13911,1.39048,1.49117,5405.63,3281.47,0.698729,1.00044
beta,2.12075e-06,3.99481e-08,2.73713e-06,1.19362e-06,1.64607e-07,1.2461e-06,6.98548e-06,2761.8,1905.82,0.356989,1.00066
delta,2.13911,0.0188616,1.13896,0.938162,0.808375,1.87886,4.37051,4514.01,3675.42,0.583478,1.00031
p_hat,55.0743,2.8459,102.111,23.6035,3.30396,23.0178,214.345,2718.86,1958.56,0.351439,1.00068
eps,0.896108,0.0308624,1.77689,0.142674,0.000427178,0.0970244,4.97841,4863.23,4173.14,0.628619,1.00049
c,5.72783,0.0338252,2.53598,2.71182,2.3825,5.25208,10.5874,5124.92,3412.1,0.662444,1.00037
s0,3.30828e-05,1.35971e-06,8.09384e-05,1.43426e-05,1.56149e-06,1.33625e-05,0.000122364,3694.74,3125.4,0.47758,1.00066
alpha,6.90798,0.0452517,3.39668,3.63561,2.28177,6.35509,13.389,6131.85,3636.73,0.792599,1.0005
