# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-11 21:43:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmpppodh0yp/eujv9jei.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_13/results/LOW/base/censored/stan_output/tivf_base-20260211164355_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40
# Adaptation terminated
# Step size = 0.0503317
# Diagonal elements of inverse mass matrix:
# 0.216158, 0.422768, 0.589443, 2.26426, 2.75533, 0.100488, 1.55108, 0.0562853, 0.161335, 0.0881165, 1.45223
-42.26096,0.99017892,0.050331688,6,63,0,46.292889,-15.327115,0.95969146,4.7519521,0.70286741,1.2759871,-9.4454401,0.36120521,3.8304434,-5.3289346,1.7200558,1.2685971,2.2055583e-07,2.6108908,115.81014,2.0195353,3.5822355,7.9049199e-05,1.4350579,46.082966,0.0048492338,4000000,1e-10,46.082966,0.0048492338,3999985.3,3997035.6,3689732.2,3124304.3,11.478862,2153.9728,155338.69,64600.666,126.57313,23131.032,675922.05,194483.4,0.0034736649,0.021519173,3.3402854,5.265607,2.1023415,2.1023415,2.1023415,2.1023415,2.1023415,4.364195,4.364195,4.364195,4.364195,4.364195,5.8298966,5.8298966,5.8298966,5.8298966,5.8298966,5.2888825,5.2888825,5.2888825,5.2888825,5.2888825,-2.4592121,-2.4592121,-2.4592121,-2.4592121,-2.4592121,-1.6671744,-1.6671744,-1.6671744,-1.6671744,-1.6671744,0.52378357,0.52378357,0.52378357,0.52378357,0.52378357,0.72144844,0.72144844,0.72144844,0.72144844,0.72144844,10.924015,1.3720358,-2.1999727,-1.965725,-1.5885232,-1.7458762,-2.1999727,-1.5850707,-1.483711,-1.6156868,-1.4690489,-1.5454841,-1.465103,-1.483185,-1.4745546,-1.4619016,-1.4764947,-1.5020573,-1.4833338,-1.5164186,-1.4776534,-1.4798242,-0.45583195,-0.45583195,-0.45583195,-0.45583195,-0.45583195,-0.91190988,-0.91190988,-0.91190988,-0.91190988,-0.91190988,-2.9630194,-1.5342646,-1.5909571,-1.8236033,-2.0912526,-1.5824798,-1.4223819,-3.1611568,-3.1611568,-3.1611568,0.2077492,1.9027062,-0.13331788,2.8342486,0.65841631,4.7004673,4.7668575,6.4300212,6.5074181,3.4670551,6.1756664,4.5363799,7.5269437,3.3753515,5.2759676,7.4096202,4.7330117,7.62797,4.3137966,8.3518698,-2.6310712,-4.2417793,-2.7315896,-5.5713378,-3.3385218,-1.6437075,-2.146018,-1.0188649,-1.3542287,-1.0118437,0.12701173,2.2836314,0.75377751,-0.016190164,0.15062548,-0.3135474,3.4447532,-1.0307532,1.0029903,-0.80537342
-38.507271,0.99811137,0.050331688,6,63,0,47.349909,-13.933365,-0.010249315,3.7978095,-2.446695,2.0686856,-11.611454,2.4050238,1.6697663,-4.4434905,1.2055369,1.3364527,8.8882579e-07,0.98980303,44.603373,0.086579255,7.9144137,9.0616972e-06,11.078693,5.3109263,0.011754837,4000000,1e-10,5.3109263,0.011754837,3999993.2,3995592.8,361243.88,0.61635336,6.2071428,3952.5658,2835423.2,446583.05,16.822159,10672.678,11400071,2764662.2,0.00073961183,0.0018200697,2.0462043,0.40111433,1.2258817,1.2258817,1.2258817,1.2258817,1.2258817,4.0282734,4.0282734,4.0282734,4.0282734,4.0282734,7.0569076,7.0569076,7.0569076,7.0569076,7.0569076,6.4416421,6.4416421,6.4416421,6.4416421,6.4416421,-3.1309962,-3.1309962,-3.1309962,-3.1309962,-3.1309962,-2.739912,-2.739912,-2.739912,-2.739912,-2.739912,0.31094899,0.31094899,0.31094899,0.31094899,0.31094899,-0.39673182,-0.39673182,-0.39673182,-0.39673182,-0.39673182,20.24309,7.9959482,-1.8668742,-3.4389477,-2.1524157,-2.7320687,-1.8668742,-1.5944734,-1.1061386,-1.6799142,-1.1109613,-1.4792138,-1.5048571,-1.9722512,-1.4143415,-1.675639,-1.9079746,-1.256474,-1.3214725,-1.2222549,-1.3495682,-1.3381235,-0.24591476,-0.24591476,-0.24591476,-0.24591476,-0.24591476,-0.35930064,-0.35930064,-0.35930064,-0.35930064,-0.35930064,-2.6286861,-1.690994,-1.7507281,-1.988554,-2.2536946,-2.5144778,-2.2707225,-1.951867,-1.951867,-1.951867,3.6296867,-1.0746751,1.6947369,1.0927532,-0.1252308,2.6543653,3.794947,4.5119502,2.4513189,6.3090125,7.8679697,5.2026126,7.7837713,5.4726215,5.7766052,8.1951529,8.4781003,6.5597712,5.9812231,6.705252,-0.584843,-2.54545,-2.9242385,-2.6416666,-6.0855326,-1.8529606,-2.1248734,-3.3218746,-4.4165918,-2.6430539,-0.51684566,-0.40967736,-0.15207566,1.6667476,0.16968458,2.3561215,1.3306558,-1.7446924,-0.30256347,-0.29870347
-37.970471,0.98632115,0.050331688,6,63,0,45.466845,-13.257231,0.51593291,2.7554463,-3.236148,2.1772546,-10.33439,1.3372456,5.1516142,-5.945679,1.2783402,1.4788826,1.7476639e-06,1.6752006,15.728059,0.039315045,8.8220528,3.2496117e-05,3.8085387,172.71005,0.0026171247,4000000,1e-10,172.71005,0.0026171247,3999720.8,3976316.3,1434608.7,21392.677,233.07294,18398.386,1677780,150771.18,253.11168,19756.67,1921098.6,296463.89,0.0016758825,0.06225516,8.6848457,2.1653914,2.4033122,2.4033122,2.4033122,2.4033122,2.4033122,4.2957137,4.2957137,4.2957137,4.2957137,4.2957137,6.2835497,6.2835497,6.2835497,6.2835497,6.2835497,5.4719718,5.4719718,5.4719718,5.4719718,5.4719718,-2.7757564,-2.7757564,-2.7757564,-2.7757564,-2.7757564,-1.2058246,-1.2058246,-1.2058246,-1.2058246,-1.2058246,0.93876211,0.93876211,0.93876211,0.93876211,0.93876211,0.33553641,0.33553641,0.33553641,0.33553641,0.33553641,7.4397193,5.2662665,-3.504816,-1.7872816,-1.2627584,-1.4684463,-3.504816,-1.4258917,-1.191257,-1.485512,-1.1709975,-1.3479352,-1.1926938,-1.3670105,-1.1737167,-1.2451952,-1.3382415,-1.1935318,-1.1741984,-1.2105695,-1.1695163,-1.1712056,-0.37273783,-0.37273783,-0.37273783,-0.37273783,-0.37273783,-1.1804409,-1.1804409,-1.1804409,-1.1804409,-1.1804409,-2.9601078,-1.4414143,-1.4681582,-1.5933107,-1.7583852,-1.8691657,-1.7084461,-2.4354793,-2.4354793,-2.4354793,1.8970272,2.7839445,2.0923589,2.0290441,2.858546,5.321468,5.0313101,3.7201953,3.7490435,5.8085159,6.7813141,7.2516644,6.4544522,8.0862744,5.6591506,5.678001,6.6145893,6.0596731,4.7961077,4.0182607,-1.9370128,-2.9037891,-2.1900506,-2.272487,-1.8161965,-0.16291586,-3.2756243,-3.3860216,-2.3675128,-1.8348087,-0.51341316,0.52919755,-1.5484745,3.2116926,0.24394515,1.5522098,0.41706445,-0.15476805,-0.31298537,0.78661436
-38.499337,0.99636238,0.050331688,5,63,0,44.270424,-13.40662,0.18593868,2.9787189,-1.19235,1.8158579,-13.186453,1.2030542,3.6749909,-4.5874161,1.5565667,1.0786672,1.5051466e-06,1.2043484,19.66261,0.30350717,6.1463471,1.8758412e-06,3.3302728,39.448299,0.010179126,4000000,1e-10,39.448299,0.010179126,3999922.7,3978250.3,229798.75,25.867741,68.70663,18729.435,2528541.5,251539.4,100.00354,27050.916,5744454.3,920927.4,0.0044376745,0.0036204818,1.0010128,0.21991757,2.0000154,2.0000154,2.0000154,2.0000154,2.0000154,4.432182,4.432182,4.432182,4.432182,4.432182,6.7592488,6.7592488,6.7592488,6.7592488,6.7592488,5.9642254,5.9642254,5.9642254,5.9642254,5.9642254,-2.3528446,-2.3528446,-2.3528446,-2.3528446,-2.3528446,-2.4412336,-2.4412336,-2.4412336,-2.4412336,-2.4412336,0.00043963346,0.00043963346,0.00043963346,0.00043963346,0.00043963346,-0.65774007,-0.65774007,-0.65774007,-0.65774007,-0.65774007,15.992293,5.1034626,-2.3084468,-2.0525028,-1.5555831,-1.7658862,-2.3084468,-1.4895026,-1.3999661,-1.5240817,-1.3778532,-1.4453725,-1.4867314,-1.704432,-1.4484086,-1.5633719,-1.6732484,-1.3684249,-1.381797,-1.3636628,-1.3887974,-1.3858734,-0.47548595,-0.47548595,-0.47548595,-0.47548595,-0.47548595,-0.43034604,-0.43034604,-0.43034604,-0.43034604,-0.43034604,-2.7901128,-2.0109105,-2.1066171,-2.4671753,-2.841527,-3.1283819,-2.8035568,-2.0080025,-2.0080025,-2.0080025,2.2021687,2.7118911,1.2110838,1.9073228,2.9617094,5.0814001,5.3587123,0.95851716,6.0988416,6.3983792,7.1979489,6.1684735,5.8613533,7.7687463,3.9952209,7.2154292,4.9142998,6.8823046,5.2819082,3.1748154,-2.0494059,-0.11312687,-5.6212998,-1.9375,-1.9070375,-3.8247769,-2.2692773,-2.0200399,-2.5124017,-2.7923582,0.52355426,1.1088825,-0.38270812,-2.127125,-4.0013412,1.9747092,-1.0373553,-0.67614932,-0.38220157,0.30095859
-38.526764,0.97821602,0.050331688,6,63,0,44.371151,-14.467201,1.1082572,4.0541836,-0.28361242,1.2073176,-9.3752385,2.2272388,2.934609,-5.7471349,1.5354141,1.4685767,5.2116417e-07,3.0290747,57.638088,0.75305846,3.3445014,8.4798005e-05,9.2742227,18.814146,0.0031919128,4000000,1e-10,18.814146,0.0031919128,3999983.8,3994133.1,2614810.4,387270.07,12.435897,4217.3334,679458.47,143878.67,64.990629,21742.017,1995382.6,1342237,0.00037322053,0.021037496,5.3052046,1.500883,1.8128507,1.8128507,1.8128507,1.8128507,1.8128507,4.3372998,4.3372998,4.3372998,4.3372998,4.3372998,6.3000262,6.3000262,6.3000262,6.3000262,6.3000262,6.1278292,6.1278292,6.1278292,6.1278292,6.1278292,-3.4280345,-3.4280345,-3.4280345,-3.4280345,-3.4280345,-1.677006,-1.677006,-1.677006,-1.677006,-1.677006,0.72470214,0.72470214,0.72470214,0.72470214,0.72470214,0.17634683,0.17634683,0.17634683,0.17634683,0.17634683,11.860493,1.104133,-2.129787,-2.2107073,-1.6317252,-1.8820009,-2.129787,-1.5129901,-1.3718683,-1.5525533,-1.355179,-1.4615987,-1.3694602,-1.4938563,-1.3553972,-1.4073204,-1.473495,-1.3733983,-1.3961631,-1.3629524,-1.4068275,-1.4024345,-0.20795606,-0.20795606,-0.20795606,-0.20795606,-0.20795606,-0.8739284,-0.8739284,-0.8739284,-0.8739284,-0.8739284,-2.7911254,-1.5105962,-1.5465527,-1.7026346,-1.8943306,-1.9787405,-1.8021847,-2.3103591,-2.3103591,-2.3103591,1.0123436,0.92920271,0.81576388,2.7030018,1.7732469,3.546664,5.9084311,3.9287149,3.2245913,4.7217749,6.2795747,7.4063108,7.6776489,7.0212764,5.4706138,6.7219381,5.1479226,3.6790464,8.7853883,8.3541718,-4.7247755,-2.3467318,-7.5264285,-2.6384047,-2.153778,-1.6236179,-3.1289574,0.059273912,-7.2059151,1.1066459,2.2168293,2.0599089,3.8462401,2.116646,2.5739656,0.51473574,-2.0073871,1.9328639,0.34222448,2.6518316
-36.652611,0.99123652,0.050331688,6,63,0,39.694762,-14.677647,1.075917,4.2837745,-0.725439,1.5155961,-10.071359,2.0122534,3.1264778,-6.0093396,1.5009944,1.4665364,4.2225879e-07,2.9326808,72.513624,0.484112,4.5521338,4.2273144e-05,7.4801542,22.793555,0.0024557094,4000000,1e-10,22.793555,0.0024557094,3999985.8,3996221.3,2454509.2,164099.01,10.859332,2701.0527,870459.14,80799.888,66.685896,16431.117,3916585.2,1354669.8,0.00040748529,0.0077060977,3.6139574,0.5976728,1.824034,1.824034,1.824034,1.824034,1.824034,4.2156671,4.2156671,4.2156671,4.2156671,4.2156671,6.5929076,6.5929076,6.5929076,6.5929076,6.5929076,6.1318335,6.1318335,6.1318335,6.1318335,6.1318335,-3.3898881,-3.3898881,-3.3898881,-3.3898881,-3.3898881,-2.1131655,-2.1131655,-2.1131655,-2.1131655,-2.1131655,0.55798303,0.55798303,0.55798303,0.55798303,0.55798303,-0.22353651,-0.22353651,-0.22353651,-0.22353651,-0.22353651,9.174417,1.5522091,-2.1879924,-2.2180819,-1.6165105,-1.8762617,-2.1879924,-1.5489216,-1.3353887,-1.5957188,-1.3260233,-1.4870481,-1.4084348,-1.6049,-1.3768199,-1.4753508,-1.5757944,-1.3525381,-1.3765899,-1.3414654,-1.387838,-1.3832056,-0.21491739,-0.21491739,-0.21491739,-0.21491739,-0.21491739,-0.63628007,-0.63628007,-0.63628007,-0.63628007,-0.63628007,-2.6481058,-1.5833944,-1.625806,-1.8029127,-2.0118237,-2.2852148,-2.0804426,-1.9665065,-1.9665065,-1.9665065,1.4580583,3.6418697,3.7915198,-0.33100378,1.2890893,3.333301,5.1042523,4.6585585,2.691582,5.4624443,7.8898631,7.2798152,6.2144705,9.2077628,6.0363797,5.2247254,2.3768799,6.823179,3.0468559,5.2855651,-3.7166626,-4.0113533,-5.2577386,-4.1414953,-1.8276581,1.3432229,-3.9390493,-5.6066959,-2.7033332,-0.53653889,4.1409117,2.6113165,0.52409258,-0.48225886,-0.81241097,1.0335264,0.2461532,0.60913896,-0.22998223,-1.2212486
