# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-11 21:43:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmpppodh0yp/eujv9jei.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_13/results/LOW/base/censored/stan_output/tivf_base-20260211164355_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40
# Adaptation terminated
# Step size = 0.0499387
# Diagonal elements of inverse mass matrix:
# 0.190384, 0.451974, 0.429505, 2.13545, 1.87879, 0.120587, 1.49892, 0.0604444, 0.141355, 0.0780891, 1.30476
-38.90297,0.99948638,0.04993869,6,63,0,43.078904,-13.461237,1.1420212,2.903652,-2.9773257,1.0680229,-11.478029,2.4189725,1.8818625,-4.7729668,1.4056583,1.490826,1.4251443e-06,3.1330946,18.240639,0.05092885,2.9096212,1.0355123e-05,11.23431,6.5657218,0.0084552581,4000000,1e-10,6.5657218,0.0084552581,3999985.4,3996555.2,1688461.1,91.294602,10.968086,2398.4957,1402892.3,8167.7592,20.076387,4338.976,3393666.1,345242.2,0.0005156924,0.0013494534,0.97047002,0.01043307,1.3026856,1.3026856,1.3026856,1.3026856,1.3026856,3.6373872,3.6373872,3.6373872,3.6373872,3.6373872,6.5306691,6.5306691,6.5306691,6.5306691,6.5306691,5.5381239,5.5381239,5.5381239,5.5381239,5.5381239,-3.2876093,-3.2876093,-3.2876093,-3.2876093,-3.2876093,-2.8698421,-2.8698421,-2.8698421,-2.8698421,-2.8698421,-0.013017878,-0.013017878,-0.013017878,-0.013017878,-0.013017878,-1.9815879,-1.9815879,-1.9815879,-1.9815879,-1.9815879,11.406408,0.92867326,-1.7314377,-2.8757706,-1.9629141,-2.372553,-1.7314377,-1.8932553,-1.2927176,-1.9758826,-1.3259393,-1.7788038,-1.336179,-1.544133,-1.3042251,-1.4058648,-1.5128354,-1.2742489,-1.2626115,-1.2856616,-1.2604131,-1.2611407,-0.24031438,-0.24031438,-0.24031438,-0.24031438,-0.24031438,-0.34595261,-0.34595261,-0.34595261,-0.34595261,-0.34595261,-2.1198481,-1.9214718,-1.9798399,-2.20597,-2.4510163,-3.8118734,-3.5771558,-0.70256762,-0.70256762,-0.70256762,3.0168195,0.0094666384,1.7876236,2.4473501,-0.44138841,4.4934681,3.0687215,3.103546,3.7532271,4.2599583,5.2417026,6.528215,7.8814312,4.0101604,6.9339261,7.3830839,6.1814819,8.5940141,2.7613247,6.4294288,-3.4644963,-0.80047615,-2.6108506,-1.1038835,-1.4124837,-1.9447488,0.66863584,-2.1065768,-3.3705986,-5.6764666,1.7347093,1.1501903,-2.6383492,0.14511576,-3.8162604,-2.8935521,-2.3005004,-1.9416415,-4.6412039,-0.46684997
-35.37902,0.99737923,0.04993869,6,63,0,41.688967,-13.31978,0.27044691,3.0368299,-5.847222,2.1821458,-12.351637,1.3001173,3.6607805,-6.1277224,1.0540701,1.2403219,1.6416968e-06,1.31055,20.839076,0.0028879108,8.8653089,4.3226694e-06,3.6697272,38.891685,0.002181544,4000000,1e-10,38.891685,0.002181544,3999928.4,3983531.2,372447.96,67.491179,62.784708,13932.598,2492182.6,213225.07,81.920669,18086.911,5178257.4,587339.02,0.00089371727,0.0056015078,1.9447589,0.38813597,1.9133935,1.9133935,1.9133935,1.9133935,1.9133935,4.2573644,4.2573644,4.2573644,4.2573644,4.2573644,6.7141836,6.7141836,6.7141836,6.7141836,6.7141836,5.7688889,5.7688889,5.7688889,5.7688889,5.7688889,-3.0487998,-3.0487998,-3.0487998,-3.0487998,-3.0487998,-2.2516951,-2.2516951,-2.2516951,-2.2516951,-2.2516951,0.28886576,0.28886576,0.28886576,0.28886576,0.28886576,-0.41101611,-0.41101611,-0.41101611,-0.41101611,-0.41101611,11.778336,6.7645712,-3.3597691,-2.6246891,-1.4740067,-1.9661394,-3.3597691,-1.3886155,-1.0014052,-1.4797566,-0.97678491,-1.2687796,-1.2141693,-1.668224,-1.1358715,-1.3727818,-1.6026553,-0.97165305,-0.97795831,-0.97533321,-0.98443359,-0.98157347,-0.24613593,-0.24613593,-0.24613593,-0.24613593,-0.24613593,-0.55094596,-0.55094596,-0.55094596,-0.55094596,-0.55094596,-2.7783273,-1.6977756,-1.7663913,-2.0370004,-2.3346082,-2.6156469,-2.3457097,-2.0543376,-2.0543376,-2.0543376,-0.16461669,1.0701936,0.81738175,2.3340049,1.5063788,3.3697136,5.9649712,5.4452366,3.6660115,4.3426431,6.5622228,6.8524194,7.4928241,8.0444779,6.8510216,4.4596848,5.8799246,5.3185654,2.6114093,5.1785056,0.203382,-1.6208802,-2.1579798,-4.7412793,-4.0152174,-2.6848226,-3.2891526,-3.8949178,-1.6928754,-1.8457234,1.1607936,-0.37510422,-0.034412253,4.2202814,-0.27736102,-2.6484263,-2.312831,1.4820515,-0.948118,0.28549857
-35.784795,0.99301809,0.04993869,6,63,0,39.434366,-12.556436,0.49215334,1.7355009,-0.85657195,1.2520702,-11.208015,2.3077671,2.9574393,-5.221637,1.3209459,1.4662944,3.5221613e-06,1.6358349,5.671768,0.42461519,3.497576,1.3565039e-05,10.051954,19.248618,0.0053984843,4000000,1e-10,19.248618,0.0053984843,3999912.5,3988423.8,1640174.6,1796.7693,74.236853,9226.6506,1630225.4,162070.3,43.515873,5274.3715,948459.25,375255.24,0.00049478564,0.0076069528,1.7608898,0.26069334,1.6386477,1.6386477,1.6386477,1.6386477,1.6386477,3.7221707,3.7221707,3.7221707,3.7221707,3.7221707,5.9770187,5.9770187,5.9770187,5.9770187,5.9770187,5.5743268,5.5743268,5.5743268,5.5743268,5.5743268,-3.3055829,-3.3055829,-3.3055829,-3.3055829,-3.3055829,-2.1187893,-2.1187893,-2.1187893,-2.1187893,-2.1187893,0.24573217,0.24573217,0.24573217,0.24573217,0.24573217,-0.58387006,-0.58387006,-0.58387006,-0.58387006,-0.58387006,13.96629,2.1380984,-2.231258,-2.5733054,-1.7051956,-2.0862675,-2.231258,-1.8401587,-1.2194051,-1.9288647,-1.249736,-1.7178453,-1.1972891,-1.2709493,-1.2023539,-1.2095672,-1.2545466,-1.2094081,-1.1989275,-1.2206717,-1.1974754,-1.1978843,-0.23195673,-0.23195673,-0.23195673,-0.23195673,-0.23195673,-0.63353414,-0.63353414,-0.63353414,-0.63353414,-0.63353414,-2.3741125,-1.7535181,-1.8063856,-2.0166086,-2.2513989,-2.5879577,-2.3661139,-1.6646685,-1.6646685,-1.6646685,1.9706421,3.2505017,2.0717703,3.2265659,2.2337478,2.3980402,5.2901283,3.3550713,3.8147662,5.3493575,3.3075131,5.8933899,4.6952261,6.8261379,8.508035,5.5350978,5.1245948,3.3472249,5.7046991,6.4152905,-0.61318558,-4.7504848,-1.7513314,-2.7752621,-4.9484605,-2.5011226,-1.7213663,-4.066907,-0.21603865,4.9056178,3.2482931,0.95614797,1.734526,2.1248262,0.70181872,-3.7694806,2.73576,0.018344011,-1.4028809,1.2939689
-36.40337,0.99635626,0.04993869,6,127,0,42.13468,-13.103161,0.81845656,2.2762175,-2.3923377,1.2222409,-10.031695,2.371651,3.1574271,-5.4386514,1.2104127,1.4873159,2.0387757e-06,2.2669982,9.73977,0.091415728,3.3947865,4.3983538e-05,10.715068,23.510029,0.0043453394,4000000,1e-10,23.510029,0.0043453394,3999938.9,3993458.4,2356004,3212.5168,48.746575,4772.081,1086799.7,65897.685,51.249767,4896.1978,1192346.1,410215.09,0.00041824031,0.012490026,3.3293988,0.34129434,1.7096919,1.7096919,1.7096919,1.7096919,1.7096919,3.689859,3.689859,3.689859,3.689859,3.689859,6.0764023,6.0764023,6.0764023,6.0764023,6.0764023,5.6130116,5.6130116,5.6130116,5.6130116,5.6130116,-3.3785741,-3.3785741,-3.3785741,-3.3785741,-3.3785741,-1.9034367,-1.9034367,-1.9034367,-1.9034367,-1.9034367,0.52236582,0.52236582,0.52236582,0.52236582,0.52236582,-0.46687091,-0.46687091,-0.46687091,-0.46687091,-0.46687091,10.320827,1.4974809,-2.5395318,-2.6441672,-1.6519713,-2.0849677,-2.5395318,-1.9089353,-1.1427261,-2.0167875,-1.1821577,-1.7599548,-1.1130715,-1.2353944,-1.1102851,-1.1419395,-1.2117891,-1.1194163,-1.1103668,-1.1307187,-1.1099576,-1.1099165,-0.22097287,-0.22097287,-0.22097287,-0.22097287,-0.22097287,-0.7436514,-0.7436514,-0.7436514,-0.7436514,-0.7436514,-2.5858265,-1.6081967,-1.6507884,-1.8275962,-2.0349378,-2.4751315,-2.2624094,-1.7432786,-1.7432786,-1.7432786,-0.71180829,1.080883,2.0081288,0.11949323,1.0905166,1.9148898,2.6863595,2.9882113,5.3964171,3.3498314,4.5730342,7.3081026,6.1855761,6.1451811,6.4276736,6.3391094,6.1419598,5.1190819,4.0722012,4.7139855,5.2211127,-3.5606348,-3.1405882,-3.0416536,-4.6215871,-1.7752216,-5.0416747,-2.4304096,-0.74771046,-2.3580448,-2.7485575,7.8485474,-0.045927734,3.8263937,2.4244047,0.92280559,-2.9587757,-1.6700605,9.3664706,2.129806
-36.367901,0.98930112,0.04993869,6,63,0,42.687043,-13.803649,0.8395278,3.4647059,0.78034087,1.6691444,-11.691613,2.0810115,3.1284875,-5.8560985,0.77342351,1.34622,1.0119322e-06,2.3152735,31.967056,2.182216,5.3076245,8.3636695e-06,8.0125697,22.839409,0.0028623896,4000000,1e-10,22.839409,0.0028623896,3999966.4,3988964.8,1681988.8,99222.984,27.202061,8467.9823,1257005.8,93853.654,67.501852,20803.866,2072299.9,574889.85,0.00039992377,0.0045310927,1.1276397,0.12411825,1.8293157,1.8293157,1.8293157,1.8293157,1.8293157,4.318144,4.318144,4.318144,4.318144,4.318144,6.3164526,6.3164526,6.3164526,6.3164526,6.3164526,5.7595846,5.7595846,5.7595846,5.7595846,5.7595846,-3.3980228,-3.3980228,-3.3980228,-3.3980228,-3.3980228,-2.3437971,-2.3437971,-2.3437971,-2.3437971,-2.3437971,0.052170351,0.052170351,0.052170351,0.052170351,0.052170351,-0.90616437,-0.90616437,-0.90616437,-0.90616437,-0.90616437,10.529592,2.2924396,-4.7094518,-4.0077517,-1.7496025,-2.724126,-4.7094518,-1.3418546,-0.74661246,-1.5009789,-0.68564191,-1.134513,-0.75663005,-1.2608911,-0.69763676,-0.91160754,-1.1789979,-0.6623584,-0.67204774,-0.67043824,-0.68329717,-0.67829588,-0.19033437,-0.19033437,-0.19033437,-0.19033437,-0.19033437,-0.51802017,-0.51802017,-0.51802017,-0.51802017,-0.51802017,-2.3648869,-1.8805488,-1.9476258,-2.2069515,-2.486438,-3.0012201,-2.7443812,-1.4840733,-1.4840733,-1.4840733,2.357238,1.0359226,1.1243439,1.2320033,2.0060436,4.3403356,5.5796921,3.9183022,5.7387969,4.0051544,6.1040578,6.4380263,7.2480231,5.9803721,5.9448475,6.7619647,6.2609603,5.8605302,6.4151934,6.0646847,-5.4061879,-2.4694881,-3.3453537,-9.2940115,-3.7466637,-2.4804013,-5.9166944,-2.0029174,-2.4056859,-2.1067673,-2.483027,0.58707208,0.30300406,-2.4207674,-1.8934963,-1.1531729,-3.1741525,-0.10503891,-2.9254676,-3.1091221
-35.981159,0.99820224,0.04993869,6,63,0,41.549536,-12.576493,0.46237102,2.1149115,-4.5597504,1.7929557,-12.374742,1.8373786,3.3514742,-4.4234873,1.6606105,1.3640335,3.4522208e-06,1.5878343,8.2888523,0.01046467,6.0071817,4.2239429e-06,6.2800543,28.544784,0.011992338,4000000,1e-10,28.544784,0.011992338,3999875.3,3972689.7,194063.08,41.930531,106.70159,22327.211,2254005.7,103925.9,68.05775,14119.171,2765548.3,194596.02,0.0025258425,0.0070711761,1.3786269,0.093543305,1.8328776,1.8328776,1.8328776,1.8328776,1.8328776,4.1498092,4.1498092,4.1498092,4.1498092,4.1498092,6.4417813,6.4417813,6.4417813,6.4417813,6.4417813,5.2891339,5.2891339,5.2891339,5.2891339,5.2891339,-2.5975937,-2.5975937,-2.5975937,-2.5975937,-2.5975937,-2.1505083,-2.1505083,-2.1505083,-2.1505083,-2.1505083,0.13944675,0.13944675,0.13944675,0.13944675,0.13944675,-1.0289873,-1.0289873,-1.0289873,-1.0289873,-1.0289873,11.999883,3.7832548,-2.0035657,-2.1492995,-1.6605731,-1.8714111,-2.0035657,-1.6337858,-1.430193,-1.6744073,-1.4261238,-1.5796528,-1.4647878,-1.5973505,-1.4460828,-1.5079496,-1.5768594,-1.4698117,-1.4497355,-1.4852123,-1.4436457,-1.4459728,-0.41520385,-0.41520385,-0.41520385,-0.41520385,-0.41520385,-0.61288722,-0.61288722,-0.61288722,-0.61288722,-0.61288722,-2.4215914,-1.8144064,-1.8775723,-2.1242576,-2.3934106,-3.1000129,-2.8451754,-1.3696873,-1.3696873,-1.3696873,3.7026495,2.970699,2.5371327,1.1894342,2.5548125,5.0986284,4.3691705,1.6496084,4.3029868,5.8830436,5.0590349,11.732936,7.9679324,5.101025,4.5054319,5.1963817,4.2883316,4.7161219,2.407877,4.392419,-5.3342727,-2.7858738,-5.4451601,-3.6056291,-3.1359461,-1.5977558,-2.181275,-2.2587927,-1.6834346,-1.0294342,2.0694132,0.37506846,1.6094955,2.5171612,-1.3705128,-2.0193231,-3.0021076,-2.2693651,-0.72354019,-0.36096274
