,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
sigma_V,1.30117,0.00385861,0.272505,0.24891,0.933139,1.26334,1.80087,6166.64,4326.52,0.304666,1.0001
sigma_D,0.383919,0.00099192,0.0760127,0.0687159,0.281377,0.372752,0.52375,6859.81,4981.95,0.338912,1.00043
sigma_F,1.37326,0.00102625,0.104711,0.0934526,1.16497,1.40101,1.49067,6979.03,3946.4,0.344802,1.00029
beta,4.33054e-06,1.21203e-07,6.31395e-06,2.58563e-06,1.57148e-07,2.45784e-06,1.44276e-05,2021.52,1811.36,0.0998742,1.00166
delta,1.76217,0.0142605,1.02026,0.798979,0.628586,1.52364,3.75309,5965.31,4945.02,0.294719,1.00009
p_hat,33.2918,2.29796,88.4715,7.98645,0.969578,7.15917,151.927,1946.49,1810.2,0.0961671,1.00169
eps2,1.38434,0.0397463,2.05878,0.608779,0.000630643,0.412616,6.26387,2719.65,4126.98,0.134366,1.00147
c,4.62377,0.0265064,2.05876,1.85273,2.23755,4.08804,8.92563,6010.34,4464.7,0.296944,1.00157
h,12.2552,0.0468662,2.4887,2.06648,7.02784,12.9771,14.8475,3492.63,2810.12,0.172555,1.00195
d,0.00168455,3.40309e-05,0.00202369,0.000865923,0.000319617,0.00115566,0.00454983,4356.85,5142.83,0.215252,1.00028
s_d,0.0532538,0.0028175,0.169084,0.016283,0.000926271,0.0133527,0.208762,4390.65,3495.39,0.216922,1.00097
theta_s,3860.82,226.072,9591.25,1278.04,64.5406,1027.87,16053.9,4344.09,3475.05,0.214621,1.00027
alpha,6.99382,0.0442053,3.32662,3.47147,2.41682,6.4572,13.324,6612.48,3610.51,0.326692,1.00089
V0,62.1565,1.01219,74.7893,37.1219,4.77229,38.4976,198.714,4936.27,4647.39,0.243879,1.00141
D0,46.926,0.432904,31.1048,26.466,9.04989,41.7317,101.999,3414.84,2440.21,0.168712,1.0014
F0,0.00818538,0.000184436,0.00880103,0.00448161,0.00127765,0.00546729,0.0240196,6865.02,3994.38,0.339169,0.999985
R0,12.7733,0.0807242,7.0675,5.35159,5.16296,11.0195,26.4657,7685.65,5923.72,0.379713,1.00023
c_over_delta,3.63215,0.0397517,3.01407,1.9258,0.859879,2.74628,9.33475,6016.84,5028.73,0.297265,1.00016
h_over_delta,9.34975,0.0826479,5.8107,4.61006,2.75927,7.998,20.2491,4464.5,4058.15,0.220571,1.00048
