,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-42.2723,0.0705316,3.38852,3.29139,-48.4207,-41.9289,-37.3923,2412.82,3316.7,0.119207,1.00041
log_beta,-13.0754,0.0313184,1.34436,1.21132,-15.6661,-12.9162,-11.1464,2021.52,1811.36,0.0998742,1.00216
log_delta,0.419898,0.00700478,0.541269,0.536808,-0.464283,0.4211,1.32258,5965.31,4945.02,0.294719,1.00023
log_p_hat,2.15724,0.0356248,1.51643,1.46147,-0.0308939,1.96839,5.0234,1946.49,1810.2,0.0961671,1.00169
log_eps2,-1.6884,0.054364,2.87823,2.79537,-7.36877,-0.885238,1.8348,2719.65,4126.98,0.134366,1.00111
log_c,1.44101,0.00519332,0.419138,0.470383,0.80538,1.40807,2.18893,6010.34,4464.7,0.296944,1.00197
log_h,2.47733,0.00527243,0.263549,0.154923,1.94988,2.56319,2.69783,3492.64,2810.12,0.172555,1.00192
log_s_d,-4.30061,0.0247647,1.63769,1.60825,-6.98434,-4.31603,-1.56656,4390.65,3495.39,0.216922,1.00097
log_theta_s,6.92516,0.0257911,1.67351,1.66079,4.16729,6.93525,9.68371,4344.09,3475.05,0.214621,1.00027
log_alpha,1.8197,0.00596638,0.523656,0.552283,0.882453,1.8652,2.58957,6612.48,3610.51,0.326692,1.00079
logit_d,-6.74277,0.0125177,0.819851,0.813083,-8.04807,-6.76192,-5.38811,4356.85,5142.83,0.215252,1.00036
log_V0,3.57807,0.0163636,1.12445,1.09017,1.56283,3.6506,5.29187,4936.27,4647.39,0.243879,1.00119
log_D0,3.61942,0.0137058,0.733298,0.645897,2.20275,3.73126,4.62496,3414.84,2440.21,0.168712,1.00278
log_F0,-5.20201,0.0108283,0.892224,0.901585,-6.66274,-5.20897,-3.72889,6865.02,3994.38,0.339169,1.00006
sigma_V,1.30117,0.00385861,0.272505,0.24891,0.933139,1.26334,1.80087,6166.64,4326.52,0.304666,1.0001
sigma_D,0.383919,0.00099192,0.0760127,0.0687159,0.281377,0.372752,0.52375,6859.81,4981.95,0.338912,1.00043
sigma_F,1.37326,0.00102625,0.104711,0.0934526,1.16497,1.40101,1.49067,6979.03,3946.4,0.344802,1.00029
beta,4.33054e-06,1.21203e-07,6.31395e-06,2.58563e-06,1.57148e-07,2.45784e-06,1.44276e-05,2021.52,1811.36,0.0998742,1.00166
delta,1.76217,0.0142605,1.02026,0.798979,0.628586,1.52364,3.75309,5965.31,4945.02,0.294719,1.00009
p_hat,33.2918,2.29796,88.4715,7.98645,0.969578,7.15917,151.927,1946.49,1810.2,0.0961671,1.00169
eps2,1.38434,0.0397463,2.05878,0.608779,0.000630643,0.412616,6.26387,2719.65,4126.98,0.134366,1.00147
c,4.62377,0.0265064,2.05876,1.85273,2.23755,4.08804,8.92563,6010.34,4464.7,0.296944,1.00157
h,12.2552,0.0468662,2.4887,2.06648,7.02784,12.9771,14.8475,3492.63,2810.12,0.172555,1.00195
d,0.00168455,3.40309e-05,0.00202369,0.000865923,0.000319617,0.00115566,0.00454983,4356.85,5142.83,0.215252,1.00028
s_d,0.0532538,0.0028175,0.169084,0.016283,0.000926271,0.0133527,0.208762,4390.65,3495.39,0.216922,1.00097
theta_s,3860.82,226.072,9591.25,1278.04,64.5406,1027.87,16053.9,4344.09,3475.05,0.214621,1.00027
alpha,6.99382,0.0442053,3.32662,3.47147,2.41682,6.4572,13.324,6612.48,3610.51,0.326692,1.00089
V0,62.1565,1.01219,74.7893,37.1219,4.77229,38.4976,198.714,4936.27,4647.39,0.243879,1.00141
D0,46.926,0.432904,31.1048,26.466,9.04989,41.7317,101.999,3414.84,2440.21,0.168712,1.0014
F0,0.00818538,0.000184436,0.00880103,0.00448161,0.00127765,0.00546729,0.0240196,6865.02,3994.38,0.339169,0.999985
y0[1],4000000.0,,0.0,0.0,4000000.0,4000000.0,4000000.0,,,,
y0[2],1e-10,,1.49936e-24,0.0,1e-10,1e-10,1e-10,,,,
y0[3],62.1565,1.01219,74.7893,37.1219,4.77229,38.4976,198.714,4936.27,4647.39,0.243879,1.00141
y0[4],46.926,0.432904,31.1048,26.466,9.04989,41.7317,101.999,3414.84,2440.21,0.168712,1.0014
y0[5],0.00818538,0.000184436,0.00880103,0.00448161,0.00127765,0.00546729,0.0240196,6865.02,3994.38,0.339169,0.999985
"y_sol[1,1]",3999770.0,5.23963,328.153,143.738,3999180.0,3999890.0,4000000.0,2155.84,2484.78,0.10651,1.00243
"y_sol[1,2]",196.353,4.70763,295.707,119.329,2.67247,91.7002,731.657,2163.21,2426.2,0.106874,1.00232
"y_sol[1,3]",91.555,1.19167,90.9243,53.2964,12.5436,64.8142,259.551,5359.74,4396.55,0.2648,1.00152
"y_sol[1,4]",1.96183,0.00977688,0.911765,0.673708,0.951283,1.7755,3.54692,9369.96,6110.22,0.462927,0.99998
"y_sol[1,5]",0.00182956,4.04751e-05,0.0023,0.000997615,0.000229581,0.00115306,0.0054859,7469.81,4775.86,0.36905,1.00032
"y_sol[2,1]",3988500.0,216.085,12819.5,7369.78,3962900.0,3992590.0,3999480.0,2301.76,2357.4,0.11372,1.00242
"y_sol[2,2]",9397.0,188.126,11401.0,5930.89,377.261,5613.86,32146.4,2375.5,2370.82,0.117363,1.00214
"y_sol[2,3]",5400.18,60.2412,4368.1,2903.81,1181.0,4257.11,13539.3,4751.36,5078.57,0.234743,0.999804
"y_sol[2,4]",2.96504,0.0148731,1.2169,0.99105,1.5039,2.73367,5.19254,7644.17,6080.7,0.377664,0.999861
"y_sol[2,5]",0.00953332,0.000147982,0.0134821,0.00498527,0.000933367,0.00536675,0.0312097,9171.43,6006.36,0.453119,1.00079
"y_sol[3,1]",2872790.0,14798.1,897675.0,754772.0,963940.0,3110150.0,3921530.0,2816.2,2625.37,0.139136,1.0019
"y_sol[3,2]",827698.0,11877.0,718749.0,577276.0,51689.2,611388.0,2400600.0,2757.44,2468.64,0.136233,1.00163
"y_sol[3,3]",509206.0,5828.13,458706.0,289047.0,95794.0,386486.0,1347580.0,5707.62,5652.65,0.281987,0.999914
"y_sol[3,4]",226.851,1.14369,92.1892,72.4645,118.526,208.066,397.339,6710.18,6964.88,0.331519,1.00032
"y_sol[3,5]",1.38189,0.0240959,2.07471,0.73158,0.0892905,0.719392,4.80352,6818.82,6247.49,0.336887,1.00015
"y_sol[4,1]",693196.0,26795.9,1116390.0,70275.0,3.806,47403.3,3405760.0,2003.11,2281.15,0.0989647,1.00229
"y_sol[4,2]",429070.0,4602.99,347926.0,275500.0,57559.4,330134.0,1131050.0,4853.16,4220.84,0.239773,1.00004
"y_sol[4,3]",504663.0,5494.6,435058.0,276110.0,102993.0,395541.0,1263750.0,6311.76,5421.62,0.311835,1.00145
"y_sol[4,4]",142.457,0.656505,55.9765,45.9691,73.0618,132.688,244.18,8210.14,6168.31,0.405626,0.999822
"y_sol[4,5]",2.19015,0.0642888,4.64848,0.970977,0.0686259,0.830839,8.77157,4242.24,5708.8,0.20959,1.00086
y_pred[1],1.79403,0.00556901,0.398784,0.38735,1.09842,1.81167,2.41422,5359.74,4396.55,0.264801,1.00139
y_pred[2],1.79403,0.00556901,0.398784,0.38735,1.09842,1.81167,2.41422,5359.74,4396.55,0.264801,1.00139
y_pred[3],1.79403,0.00556901,0.398784,0.38735,1.09842,1.81167,2.41422,5359.74,4396.55,0.264801,1.00139
y_pred[4],1.79403,0.00556901,0.398784,0.38735,1.09842,1.81167,2.41422,5359.74,4396.55,0.264801,1.00139
y_pred[5],1.79403,0.00556901,0.398784,0.38735,1.09842,1.81167,2.41422,5359.74,4396.55,0.264801,1.00139
y_pred[6],3.61629,0.00481939,0.325728,0.314869,3.07225,3.62911,4.1316,4751.36,5078.57,0.234743,0.999804
y_pred[7],3.61629,0.00481939,0.325728,0.314869,3.07225,3.62911,4.1316,4751.36,5078.57,0.234743,0.999804
y_pred[8],3.61629,0.00481939,0.325728,0.314869,3.07225,3.62911,4.1316,4751.36,5078.57,0.234743,0.999804
y_pred[9],3.61629,0.00481939,0.325728,0.314869,3.07225,3.62911,4.1316,4751.36,5078.57,0.234743,0.999804
y_pred[10],3.61629,0.00481939,0.325728,0.314869,3.07225,3.62911,4.1316,4751.36,5078.57,0.234743,0.999804
y_pred[11],5.57015,0.0047425,0.354303,0.347072,4.98134,5.58713,6.12955,5707.62,5652.65,0.281988,0.999999
y_pred[12],5.57015,0.0047425,0.354303,0.347072,4.98134,5.58713,6.12955,5707.62,5652.65,0.281988,0.999999
y_pred[13],5.57015,0.0047425,0.354303,0.347072,4.98134,5.58713,6.12955,5707.62,5652.65,0.281988,0.999999
y_pred[14],5.57015,0.0047425,0.354303,0.347072,4.98134,5.58713,6.12955,5707.62,5652.65,0.281988,0.999999
y_pred[15],5.57015,0.0047425,0.354303,0.347072,4.98134,5.58713,6.12955,5707.62,5652.65,0.281988,0.999999
y_pred[16],5.5802,0.0042705,0.334653,0.323359,5.01281,5.59719,6.10166,6311.76,5421.62,0.311835,1.00202
y_pred[17],5.5802,0.0042705,0.334653,0.323359,5.01281,5.59719,6.10166,6311.76,5421.62,0.311835,1.00202
y_pred[18],5.5802,0.0042705,0.334653,0.323359,5.01281,5.59719,6.10166,6311.76,5421.62,0.311835,1.00202
