,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
sigma_V,1.06374,0.00309583,0.226764,0.20882,0.758884,1.03122,1.47744,6253.29,4474.23,0.9576,1.00079
sigma_F,1.27469,0.00202084,0.166975,0.170532,0.957202,1.3072,1.48301,5397.39,3670.11,0.826531,1.00155
beta,6.30168e-07,1.33946e-08,8.6961e-07,3.27462e-07,6.74668e-08,3.51285e-07,2.10745e-06,3116.73,3581.08,0.477281,1.00103
delta,1.65273,0.0161108,0.897993,0.68064,0.665842,1.43756,3.34524,4640.49,3216.92,0.710624,1.00111
p_hat,169.229,3.64243,187.348,100.986,13.2202,98.1478,590.37,3050.64,3109.85,0.46716,1.00102
eps,0.403556,0.0122808,0.748041,0.216937,0.00128785,0.163645,1.60541,2957.29,2428.12,0.452866,1.00119
c,6.16179,0.0290739,2.48685,2.69512,2.62946,5.7987,10.8455,7516.87,4253.52,1.1511,1.00048
s0,0.00018206,3.74876e-06,0.000265186,9.64005e-05,1.71012e-05,0.000101884,0.000600697,4627.99,5614.6,0.708709,1.00113
alpha,4.18566,0.0338577,2.72161,2.12823,1.30448,3.41351,10.0608,7495.83,4147.12,1.14788,1.00081
V0,243.271,5.03229,349.282,134.858,20.2341,141.259,769.93,6603.4,4828.6,1.01121,1.00106
F0,0.00760765,0.00014296,0.00826346,0.00425817,0.00120382,0.00523358,0.0220056,7028.41,4404.24,1.0763,1.00002
R0,18.79,0.118931,10.0171,7.76806,7.60557,16.4137,37.879,7292.18,5809.87,1.11669,1.00074
c_over_delta,4.91342,0.0466663,3.57345,2.72982,1.12423,4.04675,11.6339,5283.31,3936.67,0.809062,1.00061
