# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-11 20:49:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmpmf4j0jho/a968khv_.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_13/results/MED/base/censored/stan_output/tivf_base-20260211154906_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40
# Adaptation terminated
# Step size = 0.0689538
# Diagonal elements of inverse mass matrix:
# 0.194982, 0.30786, 0.708789, 0.625042, 2.26067, 0.0574639, 1.85685, 0.0587497, 0.172414, 0.0906678, 1.23123
-37.831609,0.83772224,0.068953756,6,63,0,43.717455,-13.961705,-0.28819251,3.2299025,-6.8333014,1.6605439,-10.580456,0.074586666,4.3884239,-5.7246577,1.2966926,1.3538757,8.6398999e-07,0.74961727,25.277193,0.0010772957,5.2621724,2.5407759e-05,1.0774387,80.51342,0.0032644707,4000000,1e-10,80.51342,0.0032644707,3999919,3988078.6,922354.18,0.28391925,74.896556,10707.892,2578052.3,801629.89,162.90843,22819.038,7783869.9,4332400.5,0.0026837316,0.036518462,13.888264,31.091079,2.2119436,2.2119436,2.2119436,2.2119436,2.2119436,4.3582973,4.3582973,4.3582973,4.3582973,4.3582973,6.8911956,6.8911956,6.8911956,6.8911956,6.8911956,6.6367286,6.6367286,6.6367286,6.6367286,6.6367286,-2.5712609,-2.5712609,-2.5712609,-2.5712609,-2.5712609,-1.4374875,-1.4374875,-1.4374875,-1.4374875,-1.4374875,1.142648,1.142648,1.142648,1.142648,1.142648,1.4926358,1.4926358,1.4926358,1.4926358,1.4926358,22.145877,7.0198121,-2.4628902,-1.8822172,-3.1231247,-1.4460341,-2.2053849,-1.8054433,-1.9416416,-1.465342,-2.1016693,-1.8583168,-1.2505026,-1.3744357,-1.247611,-1.2862354,-1.2595342,-1.3869479,-1.3315139,-1.2255594,-1.327281,-1.4073291,-0.42357279,-0.42357279,-0.42357279,-0.42357279,-0.42357279,-3.7175401,-1.0569662,-1.0569662,-1.0569662,-1.0569662,-1.6334648,-1.5710504,-1.5516648,-1.5335793,-1.5113892,-3.6999768,-1.2878299,-1.280716,-1.272529,-1.2723245,2.8379916,-0.28409274,4.0746515,3.2124118,3.0197018,5.0458636,4.5377046,4.606176,6.2146732,3.3862554,6.2089154,8.1481664,7.2101177,7.8218822,5.277978,6.7823327,6.6111674,6.8982604,7.5193951,5.9374977,-3.3063841,-5.2105896,-3.0822135,-2.0593435,-2.2689436,-4.6899076,-1.9531583,-1.4280452,-0.6370025,-0.8799502,0.057626915,-0.16827492,2.3410972,0.70340328,1.8124046,1.8276977,-0.3796354,1.9447003,-0.0067841595,3.3664217
-37.838057,0.99150811,0.068953756,6,63,0,42.501544,-13.09765,0.18573224,2.685157,-6.8525411,1.9503133,-11.154255,0.037010038,4.1220063,-5.9280637,1.3425924,1.427299,2.0500418e-06,1.2040998,14.660503,0.0010567669,7.0308899,1.4314257e-05,1.0377034,61.682871,0.0026636347,4000000,1e-10,61.682871,0.0026636347,3999847.5,3964453,116102.6,8.8513181,135.31699,30458.856,2475147.3,234649.16,140.42781,31396.047,4890240.4,583745.75,0.002243757,0.053858652,12.959345,9.568696,2.1474531,2.1474531,2.1474531,2.1474531,2.1474531,4.496875,4.496875,4.496875,4.496875,4.496875,6.6893302,6.6893302,6.6893302,6.6893302,6.6893302,5.7662237,5.7662237,5.7662237,5.7662237,5.7662237,-2.6490242,-2.6490242,-2.6490242,-2.6490242,-2.6490242,-1.2687445,-1.2687445,-1.2687445,-1.2687445,-1.2687445,1.1125831,1.1125831,1.1125831,1.1125831,1.1125831,0.98085276,0.98085276,0.98085276,0.98085276,0.98085276,14.200342,5.8391255,-2.4868748,-1.9259068,-2.9030307,-1.4979293,-2.2388044,-1.6918337,-1.8073468,-1.4107222,-1.9443191,-1.736541,-1.2367613,-1.316529,-1.2351839,-1.2577739,-1.2418263,-1.2138574,-1.2201003,-1.2758037,-1.2209811,-1.2135517,-0.40674389,-0.40674389,-0.40674389,-0.40674389,-0.40674389,-3.4393501,-1.1548055,-1.1548055,-1.1548055,-1.1548055,-1.6693093,-1.6112298,-1.5931715,-1.5763132,-1.5556116,-3.0891847,-1.4793616,-1.4571594,-1.4170829,-1.3872703,4.3121655,1.8498196,2.0219898,3.3389726,2.4427434,4.8083922,4.052836,3.7879891,4.5766728,1.2033759,7.8093744,6.549295,6.6726229,6.2457463,8.414921,5.7429642,5.6242864,5.8135071,5.9340621,8.1018234,-5.1318281,-3.9792989,0.30507295,-2.8974528,-1.4179316,0.63104473,-1.2454416,-6.0429268,-0.32596673,-2.2737695,1.2831063,3.4333892,0.86465405,1.3617181,0.90977569,1.7668825,1.5957013,0.61166425,-0.38337997,0.83780164
-37.881533,0.97180734,0.068953756,6,63,0,41.863436,-13.149312,0.11217581,3.1256806,-7.8536991,2.2290107,-11.095522,0.043992321,4.5678597,-6.6274118,1.2515482,1.3928263,1.9468233e-06,1.1187095,22.77539,0.0003883129,9.2906703,1.5180146e-05,1.0449743,96.337697,0.0013235844,4000000,1e-10,96.337697,0.0013235844,3999736.1,3819502.2,1648.1239,0.45524544,238.30528,159642.18,1906725.4,203713.64,302.06576,204312.68,5206115.7,565588.87,0.0013404578,0.25296062,19.152533,9.0326737,2.4801015,2.4801015,2.4801015,2.4801015,2.4801015,5.3102953,5.3102953,5.3102953,5.3102953,5.3102953,6.7165138,6.7165138,6.7165138,6.7165138,6.7165138,5.7525009,5.7525009,5.7525009,5.7525009,5.7525009,-2.8727469,-2.8727469,-2.8727469,-2.8727469,-2.8727469,-0.59694709,-0.59694709,-0.59694709,-0.59694709,-0.59694709,1.2822262,1.2822262,1.2822262,1.2822262,1.2822262,0.95581632,0.95581632,0.95581632,0.95581632,0.95581632,17.06428,8.3048102,-2.1889625,-1.6580895,-3.7397303,-1.290878,-1.9502086,-1.2230278,-1.2780631,-1.1436015,-1.3526001,-1.2433182,-1.1752985,-1.2726473,-1.1733098,-1.2013884,-1.1816479,-1.1440401,-1.1522756,-1.2191816,-1.1533768,-1.1433378,-0.32740312,-0.32740312,-0.32740312,-0.32740312,-0.32740312,-2.8461919,-1.7147891,-1.7147891,-1.7147891,-1.7147891,-1.5638336,-1.5112266,-1.4951038,-1.480169,-1.4619997,-3.1319514,-1.473415,-1.4494156,-1.4058549,-1.3731547,2.7659472,3.6816083,0.5453702,2.7209358,3.3053913,4.6710532,7.4798178,4.2514317,5.0682047,5.2028279,7.2465767,6.4238998,7.8629898,6.5909236,4.9558177,4.3470704,6.3544519,7.6919679,6.8462689,7.4683833,-1.1013738,-2.5932945,-2.6098325,-1.4592949,-4.5976174,1.6018277,-0.38559936,-2.5958924,-1.5773965,-0.13956471,1.7726733,2.6395088,2.5589631,6.7206695,-0.64561419,1.0194472,-0.51827899,2.2486762,0.43825484,0.3122186
-40.774807,0.99512102,0.068953756,6,63,0,49.023409,-13.262579,0.42968652,2.8876716,-9.1193671,1.3979365,-10.627372,0.10729725,5.1017072,-3.4941402,0.83070403,1.2816684,1.7383418e-06,1.5367757,17.951462,0.00010952397,4.0468407,2.4243261e-05,1.1132651,164.30217,0.030374854,4000000,1e-10,164.30217,0.030374854,3999519.6,3732978.2,209.8631,0.013287359,418.66741,224981.22,1363532.3,63083.469,606.30593,330398.5,7799243.2,450019.76,0.023893834,0.59511653,26.230263,7.6427442,2.7826918,2.7826918,2.7826918,2.7826918,2.7826918,5.5190381,5.5190381,5.5190381,5.5190381,5.5190381,6.8920525,6.8920525,6.8920525,6.8920525,6.8920525,5.6532316,5.6532316,5.6532316,5.6532316,5.6532316,-1.6217142,-1.6217142,-1.6217142,-1.6217142,-1.6217142,-0.22539799,-0.22539799,-0.22539799,-0.22539799,-0.22539799,1.4188026,1.4188026,1.4188026,1.4188026,1.4188026,0.88324932,0.88324932,0.88324932,0.88324932,0.88324932,20.070972,2.6333321,-2.3796526,-1.4114215,-7.8132283,-0.83660696,-1.9341787,-0.79479766,-0.87434662,-0.75668249,-0.99513728,-0.82270459,-0.90888534,-1.2112562,-0.90182732,-0.99608786,-0.93092889,-0.74906465,-0.78502077,-0.98292252,-0.78895905,-0.7417165,-0.94193998,-0.94193998,-0.94193998,-0.94193998,-0.94193998,-2.5924495,-2.1857882,-2.1857882,-2.1857882,-2.1857882,-1.4461319,-1.3928931,-1.3768199,-1.3620555,-1.3442782,-3.2926085,-1.4597666,-1.4292945,-1.373154,-1.3300011,3.45065,2.4892754,3.293296,3.8394892,3.363394,4.7042442,3.7133988,5.8745197,4.3347694,5.1940394,5.2331128,3.5383011,7.0623762,8.4474169,7.9875829,6.8457885,4.6456021,7.5286921,6.1669453,7.0665051,-0.75600627,-1.0680257,-5.2614241,-1.3648058,-1.614489,-0.74623272,-0.90130638,-1.1954938,-0.98149895,0.99369404,0.36885664,2.8301336,0.81214834,2.6320025,1.7464531,-0.75688358,3.5901396,2.4442857,4.4342426,0.80396949
-38.546191,0.91865872,0.068953756,6,63,0,43.880808,-14.425555,0.31330635,3.9388603,-9.0968425,1.9545486,-8.7682682,2.4773261,5.078813,-6.5308237,1.3031365,1.2645272,5.4332661e-07,1.3679405,51.36003,0.00011201895,7.0607307,0.00015559281,11.909377,160.58332,0.0014578045,4000000,1e-10,160.58332,0.0014578045,3999901.9,3984030.4,642812.28,81.330095,85.366871,13271.072,2364620.3,203492.51,321.61954,49489.435,13441928,1834891.4,0.00076154062,0.1108974,27.319877,3.003445,2.5073424,2.5073424,2.5073424,2.5073424,2.5073424,4.6945125,4.6945125,4.6945125,4.6945125,4.6945125,7.1284616,7.1284616,7.1284616,7.1284616,7.1284616,6.2636104,6.2636104,6.2636104,6.2636104,6.2636104,-3.1183069,-3.1183069,-3.1183069,-3.1183069,-3.1183069,-0.95507863,-0.95507863,-0.95507863,-0.95507863,-0.95507863,1.4364787,1.4364787,1.4364787,1.4364787,1.4364787,0.47761968,0.47761968,0.47761968,0.47761968,0.47761968,11.556581,5.1615773,-2.1193898,-1.6383793,-3.6055642,-1.3091309,-1.9026943,-1.5500823,-1.6552389,-1.3063904,-1.7820098,-1.590555,-1.3399566,-1.5073772,-1.3356964,-1.390706,-1.3530907,-1.246997,-1.218476,-1.1838767,-1.2164821,-1.2583883,-0.2338194,-0.2338194,-0.2338194,-0.2338194,-0.2338194,-3.3761915,-1.5000446,-1.5000446,-1.5000446,-1.5000446,-1.4288735,-1.3753902,-1.3592809,-1.3445029,-1.3267388,-2.9245222,-1.729491,-1.6865555,-1.6037943,-1.5355796,2.9591506,4.3830435,2.857782,4.2880096,3.5752476,6.1304601,4.103115,6.4230805,4.5446902,3.2909225,5.7542798,6.24081,8.2716492,6.6075161,7.6943443,7.4426384,6.2204585,7.2709783,5.2648404,5.266839,-1.3681843,-2.902564,-3.9437856,-3.9453474,-3.7273293,0.70145782,-1.086348,-2.1300249,-2.7835779,-1.6543826,4.5558349,0.72077002,1.4877566,1.5267003,-0.251037,0.6993024,0.58812315,1.3613116,0.0020415168,2.1649161
-33.954803,0.85299365,0.068953756,6,127,0,42.918767,-12.994177,-0.32892375,2.331051,-8.2586011,1.7790443,-10.566016,0.5806023,6.3858234,-4.6770558,0.89980244,1.299363,2.2735288e-06,0.71969789,10.288749,0.00025902108,5.924192,2.5777312e-05,1.7871145,593.37309,0.0093063735,4000000,1e-10,593.37309,0.0093063735,3998462.3,3769537.9,10625.257,0.060299527,1426.2602,207648.36,2577170.9,613685.15,1184.1313,172080,4649675.6,1208265.7,0.0094306466,0.64569273,28.197674,13.856916,3.0733999,3.0733999,3.0733999,3.0733999,3.0733999,5.2357304,5.2357304,5.2357304,5.2357304,5.2357304,6.6674227,6.6674227,6.6674227,6.6674227,6.6674227,6.0821624,6.0821624,6.0821624,6.0821624,6.0821624,-2.0254585,-2.0254585,-2.0254585,-2.0254585,-2.0254585,-0.1899741,-0.1899741,-0.1899741,-0.1899741,-0.1899741,1.4502133,1.4502133,1.4502133,1.4502133,1.4502133,1.1416666,1.1416666,1.1416666,1.1416666,1.1416666,21.945408,8.2314984,-1.7274115,-1.0960676,-8.0529458,-0.81798989,-1.4267215,-1.0170192,-1.1373071,-0.82007264,-1.296245,-1.0617996,-0.85752286,-1.0264553,-0.85428165,-0.90132788,-0.86798755,-0.86252553,-0.82959812,-0.82874344,-0.82765699,-0.87745368,-0.67838253,-0.67838253,-0.67838253,-0.67838253,-0.67838253,-2.5411002,-2.1965163,-2.1965163,-2.1965163,-2.1965163,-1.4374047,-1.3874117,-1.3723944,-1.358638,-1.3421306,-3.5019519,-1.345356,-1.3243872,-1.288086,-1.263078,2.6673939,3.8894202,3.669677,3.959638,3.1361484,6.2681272,5.8887484,5.787514,5.2318855,4.1243801,7.646628,6.5279172,6.2338005,7.9796504,7.4364698,5.2682568,7.7629685,6.010201,4.3130828,5.1092479,-1.3840833,0.59639707,-2.64143,-3.8684817,-3.3535124,-1.1359035,0.8209486,-0.59305639,-3.5764265,-0.46173456,3.06045,3.6790984,0.032400979,1.1133788,1.2852933,0.76174515,1.9686681,1.3273057,0.59118182,0.35947186
