# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = tivf_base_model
# start_datetime = 2026-02-11 20:49:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 12
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/x3/67v7rgds65g1ltqghht5m7jm0000gn/T/tmpmf4j0jho/a968khv_.json
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = /Users/mael/Desktop/0ABS/research/re-evalu_IAV_DIP_kinetics/final-fit/stan_13/results/MED/base/censored/stan_output/tivf_base-20260211154906_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --filename-in-msg=tivf_base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,log_beta,log_delta,log_p_hat,log_eps,log_c,log_s0,log_alpha,log_V0,log_F0,sigma_V,sigma_F,beta,delta,p_hat,eps,c,s0,alpha,V0,F0,y0.1,y0.2,y0.3,y0.4,y_sol.1.1,y_sol.2.1,y_sol.3.1,y_sol.4.1,y_sol.1.2,y_sol.2.2,y_sol.3.2,y_sol.4.2,y_sol.1.3,y_sol.2.3,y_sol.3.3,y_sol.4.3,y_sol.1.4,y_sol.2.4,y_sol.3.4,y_sol.4.4,y_pred.1,y_pred.2,y_pred.3,y_pred.4,y_pred.5,y_pred.6,y_pred.7,y_pred.8,y_pred.9,y_pred.10,y_pred.11,y_pred.12,y_pred.13,y_pred.14,y_pred.15,y_pred.16,y_pred.17,y_pred.18,y_pred.19,y_pred.20,y_pred.21,y_pred.22,y_pred.23,y_pred.24,y_pred.25,y_pred.26,y_pred.27,y_pred.28,y_pred.29,y_pred.30,y_pred.31,y_pred.32,y_pred.33,y_pred.34,y_pred.35,y_pred.36,y_pred.37,y_pred.38,y_pred.39,y_pred.40,R0,c_over_delta,log_lik.1,log_lik.2,log_lik.3,log_lik.4,log_lik.5,log_lik.6,log_lik.7,log_lik.8,log_lik.9,log_lik.10,log_lik.11,log_lik.12,log_lik.13,log_lik.14,log_lik.15,log_lik.16,log_lik.17,log_lik.18,log_lik.19,log_lik.20,log_lik.21,log_lik.22,log_lik.23,log_lik.24,log_lik.25,log_lik.26,log_lik.27,log_lik.28,log_lik.29,log_lik.30,log_lik.31,log_lik.32,log_lik.33,log_lik.34,log_lik.35,log_lik.36,log_lik.37,log_lik.38,log_lik.39,log_lik.40,y_rep.1,y_rep.2,y_rep.3,y_rep.4,y_rep.5,y_rep.6,y_rep.7,y_rep.8,y_rep.9,y_rep.10,y_rep.11,y_rep.12,y_rep.13,y_rep.14,y_rep.15,y_rep.16,y_rep.17,y_rep.18,y_rep.19,y_rep.20,y_rep.21,y_rep.22,y_rep.23,y_rep.24,y_rep.25,y_rep.26,y_rep.27,y_rep.28,y_rep.29,y_rep.30,y_rep.31,y_rep.32,y_rep.33,y_rep.34,y_rep.35,y_rep.36,y_rep.37,y_rep.38,y_rep.39,y_rep.40
# Adaptation terminated
# Step size = 0.0384645
# Diagonal elements of inverse mass matrix:
# 0.206041, 0.383296, 0.76034, 0.664939, 1.57056, 0.0606021, 1.74132, 0.0535481, 0.137454, 0.075698, 1.4878
-36.074475,0.95373634,0.038464489,6,127,0,40.098089,-14.008954,0.11174421,3.450817,-3.1563379,2.0743547,-9.6499866,0.32704953,5.7507185,-3.7172525,1.5177183,1.2724285,8.2411619e-07,1.1182268,31.526137,0.042581393,7.9594086,6.442643e-05,1.3868702,314.41649,0.024300641,4000000,1e-10,314.41649,0.024300641,3999744.5,3971952.5,1432524.2,96950.92,226.64928,23758.928,1834484.9,448214.05,510.75244,52703.816,3053432.2,716930.63,0.018669654,0.20836417,30.895883,39.331211,2.7082104,2.7082104,2.7082104,2.7082104,2.7082104,4.7218421,4.7218421,4.7218421,4.7218421,4.7218421,6.4847883,6.4847883,6.4847883,6.4847883,6.4847883,5.8554771,5.8554771,5.8554771,5.8554771,5.8554771,-1.7288637,-1.7288637,-1.7288637,-1.7288637,-1.7288637,-0.68117696,-0.68117696,-0.68117696,-0.68117696,-0.68117696,1.4899006,1.4899006,1.4899006,1.4899006,1.4899006,1.5947373,1.5947373,1.5947373,1.5947373,1.5947373,11.676388,7.117884,-1.8792532,-1.5717316,-3.2919932,-1.3804524,-1.7386853,-1.5931693,-1.6689132,-1.4190909,-1.7604731,-1.6222948,-1.3377071,-1.3717133,-1.3373607,-1.3443826,-1.3390067,-1.3368147,-1.3370503,-1.3682412,-1.3373521,-1.3381253,-0.86788661,-0.86788661,-0.86788661,-0.86788661,-0.86788661,-3.0746188,-1.7501706,-1.7501706,-1.7501706,-1.7501706,-1.4042165,-1.3547418,-1.3399719,-1.3264896,-1.3103821,-3.9930529,-1.2149616,-1.2111116,-1.2104208,-1.2178119,0.96350294,2.7644295,5.5527011,2.2764464,5.0563263,5.2148832,5.6872566,4.2254167,2.866794,4.8691271,6.6561989,5.7623725,5.9602476,9.3918097,3.939141,5.2343126,6.3016017,6.398433,5.2988232,6.7642846,0.065423698,-1.6762161,-1.7631357,-1.5497526,-2.6851755,-1.7937283,-0.071618659,-0.95680113,2.2025314,-4.9138152,0.68274388,1.1187638,1.3032653,-0.063310234,2.1405425,1.9478275,1.510465,2.3859801,1.4833164,1.1289563
-33.992283,0.9858863,0.038464489,6,127,0,41.324817,-13.511931,-0.72288484,3.1598819,-3.0203275,1.9193234,-10.206522,1.3537955,5.6460651,-4.5043061,1.232083,1.4434853,1.3546993e-06,0.48535008,23.567813,0.048785239,6.8163448,3.6928678e-05,3.8720943,283.17499,0.011061263,4000000,1e-10,283.17499,0.011061263,3999484.5,3787482.1,33268.279,3.2376664,491.83472,200158.13,2914907.5,1117954.7,783.81459,316653.33,4709578,2534315.1,0.0055731401,0.6328467,26.751468,12.187337,2.8942133,2.8942133,2.8942133,2.8942133,2.8942133,5.5005841,5.5005841,5.5005841,5.5005841,5.5005841,6.672982,6.672982,6.672982,6.672982,6.672982,6.4038606,6.4038606,6.4038606,6.4038606,6.4038606,-2.2539,-2.2539,-2.2539,-2.2539,-2.2539,-0.19870148,-0.19870148,-0.19870148,-0.19870148,-0.19870148,1.4273476,1.4273476,1.4273476,1.4273476,1.4273476,1.0859088,1.0859088,1.0859088,1.0859088,1.0859088,38.602508,14.044182,-1.769339,-1.3688691,-4.6658846,-1.1509126,-1.5829966,-1.1591785,-1.1971636,-1.1361384,-1.2540179,-1.1725939,-1.1521895,-1.243462,-1.1504242,-1.1759559,-1.1578807,-1.2477504,-1.2047583,-1.1364886,-1.2016038,-1.2641891,-0.56852477,-0.56852477,-0.56852477,-0.56852477,-0.56852477,-2.4452475,-2.0124244,-2.0124244,-2.0124244,-2.0124244,-1.5142087,-1.4720804,-1.4594067,-1.4477851,-1.4338192,-3.1517636,-1.4477629,-1.4290269,-1.3960696,-1.372643,4.1497866,2.42296,0.34311671,4.1115086,3.6839736,0.95792337,5.9093507,3.9320964,5.4027817,4.6469819,6.5990535,8.7662015,6.0335966,7.8047193,3.9417575,5.3213323,5.8020554,4.865361,6.9522459,6.4882635,-2.5555635,-1.4679325,-2.2505112,-0.35480096,-1.7594832,2.0041356,-0.15898862,-0.75547238,0.82921557,-0.68240517,-2.3284737,0.53568126,1.6583082,1.7038939,4.5157136,-2.1685982,1.191857,1.2066424,0.81239536,-0.52495479
-35.810571,0.99884995,0.038464489,6,63,0,39.173552,-13.467216,0.69160653,3.036912,-5.2463098,1.4250103,-9.4610151,2.3942969,4.9291993,-4.0887433,0.94694351,1.3457893,1.4166492e-06,1.9969211,20.840788,0.0052669188,4.1579009,7.7827548e-05,10.960489,138.26876,0.016760284,4000000,1e-10,138.26876,0.016760284,3999695.4,3887834.3,7752.583,6.0972937,253.78269,89188.935,1342784.4,24928.151,444.8903,156220.96,7795400.8,238113.16,0.0020958223,0.37184693,11.257587,0.2164404,2.6482529,2.6482529,2.6482529,2.6482529,2.6482529,5.1937393,5.1937393,5.1937393,5.1937393,5.1937393,6.8918384,6.8918384,6.8918384,6.8918384,6.8918384,5.3767834,5.3767834,5.3767834,5.3767834,5.3767834,-2.6786455,-2.6786455,-2.6786455,-2.6786455,-2.6786455,-0.4296358,-0.4296358,-0.4296358,-0.4296358,-0.4296358,1.0514453,1.0514453,1.0514453,1.0514453,1.0514453,-0.66466167,-0.66466167,-0.66466167,-0.66466167,-0.66466167,14.223334,2.0821558,-2.3673375,-1.5412621,-5.959225,-1.0104495,-1.9915333,-1.0761861,-1.1918199,-0.87635096,-1.3428196,-1.1194286,-0.99930868,-1.2319259,-0.99387947,-1.0663903,-1.0162654,-0.96429551,-1.0289614,-1.2799135,-1.0350751,-0.94630886,-0.38235893,-0.38235893,-0.38235893,-0.38235893,-0.38235893,-2.7329547,-1.9109436,-1.9109436,-1.9109436,-1.9109436,-1.6913971,-1.6240443,-1.6029811,-1.583259,-1.5589566,-1.6965148,-2.7233741,-2.6692546,-2.5604496,-2.4651715,3.9020344,3.3984799,2.9751226,3.3313342,3.4281696,3.1300433,2.4221916,4.8364358,4.3945371,3.0226981,6.4677385,6.1368236,6.6256708,5.6219994,6.1132789,3.5014002,4.8865116,6.2764772,5.1122303,5.2888053,-4.4574152,-2.9428719,-2.5029097,-2.7564903,-2.6952658,-0.14324772,0.823647,-1.2997935,0.34365498,0.96500578,3.0216889,0.96904186,0.46290295,-2.0585056,-0.46353224,0.37720702,-1.5019385,0.31972316,-3.9684875,0.20220853
-40.750884,0.99127999,0.038464489,6,63,0,44.258331,-14.389596,-0.78840791,3.9860335,0.62819823,2.0216655,-11.989666,0.059701243,5.2824268,-7.3756854,1.1075295,1.2764878,5.632195e-07,0.45456793,53.840908,1.8742306,7.5508907,6.2080364e-06,1.0615194,196.84701,0.00062629728,4000000,1e-10,196.84701,0.00062629728,3999867.5,3962040.5,1837302.4,643813.41,126.59814,35776.282,1795010.3,1387140.5,454.54566,124699.48,1799493.2,572285.84,0.00055502055,0.026348945,3.7771133,8.9790905,2.6575775,2.6575775,2.6575775,2.6575775,2.6575775,5.0958646,5.0958646,5.0958646,5.0958646,5.0958646,6.2551502,6.2551502,6.2551502,6.2551502,6.2551502,5.757613,5.757613,5.757613,5.757613,5.757613,-3.2556909,-3.2556909,-3.2556909,-3.2556909,-3.2556909,-1.5792368,-1.5792368,-1.5792368,-1.5792368,-1.5792368,0.57716001,0.57716001,0.57716001,0.57716001,0.57716001,0.95323235,0.95323235,0.95323235,0.95323235,0.95323235,35.338903,16.611138,-2.1073072,-1.5075231,-4.802705,-1.1239662,-1.834254,-1.2289541,-1.3254552,-1.0453656,-1.4486078,-1.2653534,-1.0296229,-1.0335753,-1.0308446,-1.0215655,-1.0264471,-1.0218028,-1.0318192,-1.1159233,-1.0331839,-1.0210727,-0.20483348,-0.20483348,-0.20483348,-0.20483348,-0.20483348,-4.0068546,-0.9741268,-0.9741268,-0.9741268,-0.9741268,-2.077145,-1.9847781,-1.9551701,-1.9270895,-1.8919649,-3.3725814,-1.4194954,-1.3911171,-1.3394776,-1.3005897,3.3268825,1.0863079,1.7919417,3.5954862,-0.16257154,5.1699703,5.6179813,4.8978411,6.2299352,4.8232575,5.6866752,5.8133988,5.6446523,6.3098828,7.4791525,6.8724305,6.8674599,6.2412647,5.8303574,7.8673243,-0.52288538,-4.9017621,-2.3155898,-2.7798702,-0.61904699,1.6166735,-0.57257549,-3.890814,-1.8118871,-1.948289,0.94857765,2.1769865,-1.5374968,0.67986523,-2.0563933,0.78515216,0.67168821,0.90191178,1.1611169,-1.4969302
-34.513792,0.97498644,0.038464489,7,127,0,45.313062,-13.329401,0.052582544,2.6238211,-0.78605869,1.4434193,-11.055433,1.4815525,5.396215,-4.3277495,0.71737403,1.4467973,1.6259777e-06,1.0539896,13.788309,0.45563707,4.2351525,1.5801068e-05,4.3997712,220.56997,0.013197214,4000000,1e-10,220.56997,0.013197214,3999532.3,3913421.9,688591.24,12012.196,420.75275,74998.031,2111473.3,388089.53,527.87882,91133.889,1811254.9,787687.57,0.0049064362,0.10613753,6.4945696,1.8023607,2.7225342,2.7225342,2.7225342,2.7225342,2.7225342,4.9596799,4.9596799,4.9596799,4.9596799,4.9596799,6.2579796,6.2579796,6.2579796,6.2579796,6.2579796,5.896354,5.896354,5.896354,5.896354,5.896354,-2.3092338,-2.3092338,-2.3092338,-2.3092338,-2.3092338,-0.974131,-0.974131,-0.974131,-0.974131,-0.974131,0.81255038,0.81255038,0.81255038,0.81255038,0.81255038,0.2558417,0.2558417,0.2558417,0.2558417,0.2558417,20.090014,4.0182111,-2.9739038,-1.6124643,-9.5144182,-0.77271806,-2.350844,-1.2892762,-1.558983,-0.72731327,-1.8948607,-1.3919124,-0.6063772,-0.6175571,-0.60923404,-0.58777678,-0.59897256,-0.59580085,-0.58732386,-0.70151704,-0.58788049,-0.60484463,-0.54403319,-0.54403319,-0.54403319,-0.54403319,-0.54403319,-3.1392393,-1.3665512,-1.3665512,-1.3665512,-1.3665512,-1.8624742,-1.7940826,-1.7724452,-1.7520601,-1.7267555,-2.409654,-1.8939698,-1.8555726,-1.7808527,-1.7183418,2.1716143,2.9375233,3.6542119,2.71097,3.3585351,5.2023485,5.3926528,6.2792665,4.6491649,4.7695673,6.41431,6.1046898,5.0242354,5.0073722,7.0003184,5.7960732,7.1039714,6.2799248,6.7278825,6.605563,-2.6696655,-1.2064817,-2.9184963,-2.09041,-1.8892118,-3.18509,0.2932203,1.0385753,-1.6332914,0.44121121,2.1519103,2.2891355,2.128802,5.0745824,0.19534714,0.24698946,0.51316076,-0.49999021,3.6648277,-2.4764687
-37.627093,0.93847326,0.038464489,7,127,0,42.873745,-14.381332,-0.94769892,3.734766,-3.6258101,2.3206781,-10.069639,1.1187759,5.5709408,-5.6439528,1.288171,1.4274964,5.678936e-07,0.38763197,41.878223,0.026627517,10.182577,4.2345877e-05,3.0611047,262.6811,0.0035388525,4000000,1e-10,262.6811,0.0035388525,3999883.7,3991888.4,2597582.6,4539.1306,111.17393,7590.8125,1289751.6,1957651.1,299.02275,20102.501,3332107.2,4544376.4,0.0020889551,0.037178708,7.5423632,30.511054,2.4757042,2.4757042,2.4757042,2.4757042,2.4757042,4.3032501,4.3032501,4.3032501,4.3032501,4.3032501,6.522719,6.522719,6.522719,6.522719,6.522719,6.6574743,6.6574743,6.6574743,6.6574743,6.6574743,-2.6800709,-2.6800709,-2.6800709,-2.6800709,-2.6800709,-1.4297057,-1.4297057,-1.4297057,-1.4297057,-1.4297057,0.87750744,0.87750744,0.87750744,0.87750744,0.87750744,1.4844572,1.4844572,1.4844572,1.4844572,1.4844572,24.101159,26.268671,-2.1639963,-1.6614487,-3.6004763,-1.3132566,-1.938042,-1.8562394,-1.9992217,-1.4960321,-2.1666813,-1.9118052,-1.1766997,-1.23122,-1.1759903,-1.1884806,-1.1791895,-1.3937086,-1.3360384,-1.2246768,-1.3316243,-1.4148604,-0.39591675,-0.39591675,-0.39591675,-0.39591675,-0.39591675,-3.5902354,-1.0412675,-1.0412675,-1.0412675,-1.0412675,-1.8176094,-1.7500093,-1.728683,-1.7086209,-1.6837613,-3.5304297,-1.3402412,-1.3335732,-1.325663,-1.3249933,2.7271327,2.0594777,4.1348301,2.849782,3.2031965,5.1380976,4.0244733,5.1786578,3.3977848,5.0014273,7.2490506,4.2577891,6.9430018,8.4986983,6.7872179,7.0151037,5.7169159,8.1396131,7.2047307,4.8286177,-2.2348327,-3.4888758,-3.4888019,-3.3289046,-1.8888671,-0.030489603,-2.7193369,-0.058551376,-2.8472845,-2.4341339,-2.2558692,-1.8995931,2.4136301,3.0299617,-2.0960834,0.36374898,2.7165737,1.0728463,1.2947255,0.67130993
