,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
sigma_V,1.13021,0.00319238,0.231693,0.204218,0.821533,1.09136,1.56194,6407.58,4897.98,0.442918,1.00037
sigma_D,0.347817,0.000875425,0.0681078,0.0617117,0.254368,0.337959,0.47524,6684.37,5712.03,0.46205,1.00054
sigma_F,1.27622,0.0018719,0.16231,0.170233,0.968575,1.30578,1.48233,5576.78,3366.39,0.385489,1.00047
beta,4.3387e-07,1.30597e-08,7.20674e-07,2.13627e-07,4.4035e-08,2.24503e-07,1.4696e-06,3053.61,3494.55,0.211078,1.00149
delta,1.49535,0.0138509,0.899736,0.692517,0.513475,1.28622,3.22048,5861.28,4113.42,0.405155,0.999869
p_hat,195.596,4.05627,205.536,122.548,13.1465,117.799,657.899,2797.87,2900.23,0.1934,1.00201
eps2,0.514541,0.0115638,0.641402,0.28286,0.0520991,0.318842,1.64102,4218.52,2388.8,0.291601,1.00027
c,5.39575,0.0274959,2.34083,2.33405,2.37828,4.90625,10.1081,7292.85,4556.51,0.504111,1.00106
h,8.50351,0.0589992,3.70165,4.61533,2.60265,8.55745,14.288,3972.06,4221.6,0.274565,1.00029
d,0.0304469,0.000421522,0.0298871,0.0162278,0.00574605,0.0215878,0.0855448,4850.93,5576.19,0.335315,1.00076
s_d,0.184231,0.0070477,0.446411,0.0700824,0.00455361,0.0583612,0.737659,5154.22,4844.89,0.35628,1.00134
theta_s,823.162,38.0338,2531.87,296.552,18.0693,245.861,3159.44,4830.52,4280.04,0.333904,0.999948
alpha,6.98363,0.0434959,3.0922,3.23135,2.71601,6.50454,12.9276,5609.39,3148.92,0.387743,1.00171
V0,372.505,9.18751,616.056,192.222,22.4117,185.501,1357.06,6568.28,5083.26,0.454026,0.999874
D0,2677.27,37.6661,2640.12,1647.11,373.66,1708.2,8030.47,4251.13,5894.36,0.293855,1.00018
F0,0.00925438,0.000163462,0.00972305,0.0051025,0.00141746,0.00621415,0.0267522,7356.75,4032.09,0.508528,1.00035
R0,17.9404,0.115706,10.3642,7.897,6.73002,15.436,37.8883,8897.56,6211.62,0.615035,1.00029
c_over_delta,5.07581,0.0542457,4.18081,2.76246,1.11803,3.85613,13.2421,6128.83,4853.58,0.423649,1.0002
h_over_delta,7.77358,0.0874139,6.01522,4.60851,1.53162,6.2351,19.4599,4447.92,4355.38,0.307458,1.00008
