,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-26.1665,0.0728993,3.48191,3.38072,-32.5144,-25.809,-21.1783,2385.68,3205.81,0.164908,1.00206
log_beta,-15.2738,0.0191629,1.06965,1.09912,-16.9383,-15.3094,-13.4305,3053.61,3494.55,0.211078,1.00149
log_delta,0.247496,0.00724295,0.554979,0.562527,-0.666554,0.251708,1.16953,5861.28,4113.42,0.405155,0.99985
log_p_hat,4.69144,0.0222152,1.19323,1.22588,2.57616,4.76898,6.48905,2797.87,2900.23,0.1934,1.00201
log_eps2,-1.20903,0.0232646,1.1663,0.990325,-2.95461,-1.14306,0.495316,4218.52,2388.8,0.291601,1.00106
log_c,1.5929,0.00495318,0.43348,0.489943,0.866378,1.59051,2.31334,7292.85,4556.51,0.504111,1.00119
log_h,2.02061,0.00855349,0.525696,0.53036,0.956529,2.1468,2.65942,3972.06,4221.6,0.274565,1.00029
log_s_d,-2.85668,0.0216616,1.55093,1.55169,-5.39184,-2.8411,-0.304274,5154.22,4844.89,0.35628,1.00117
log_theta_s,5.49509,0.0226106,1.56881,1.57396,2.89421,5.50477,8.05815,4830.52,4280.04,0.333904,1.00043
log_alpha,1.83811,0.00594048,0.475707,0.504791,0.999165,1.8725,2.55936,5609.39,3148.92,0.387743,1.00179
logit_d,-3.7965,0.0121246,0.843665,0.84183,-5.15348,-3.8138,-2.36929,4850.93,5576.19,0.335315,1.00076
log_V0,5.18852,0.0154075,1.24535,1.21488,3.10958,5.22306,7.21308,6568.28,5083.26,0.454026,1.00001
log_D0,7.45128,0.015087,0.967827,1.13392,5.92334,7.4432,8.991,4251.13,5894.36,0.293855,1.00018
log_F0,-5.08087,0.0104962,0.899318,0.916359,-6.55889,-5.08093,-3.62114,7356.75,4032.09,0.508528,1.00048
sigma_V,1.13021,0.00319238,0.231693,0.204218,0.821533,1.09136,1.56194,6407.58,4897.98,0.442918,1.00037
sigma_D,0.347817,0.000875425,0.0681078,0.0617117,0.254368,0.337959,0.47524,6684.37,5712.03,0.46205,1.00054
sigma_F,1.27622,0.0018719,0.16231,0.170233,0.968575,1.30578,1.48233,5576.78,3366.39,0.385489,1.00047
beta,4.3387e-07,1.30597e-08,7.20674e-07,2.13627e-07,4.4035e-08,2.24503e-07,1.4696e-06,3053.61,3494.55,0.211078,1.00149
delta,1.49535,0.0138509,0.899736,0.692517,0.513475,1.28622,3.22048,5861.28,4113.42,0.405155,0.999869
p_hat,195.596,4.05627,205.536,122.548,13.1465,117.799,657.899,2797.87,2900.23,0.1934,1.00201
eps2,0.514541,0.0115638,0.641402,0.28286,0.0520991,0.318842,1.64102,4218.52,2388.8,0.291601,1.00027
c,5.39575,0.0274959,2.34083,2.33405,2.37828,4.90625,10.1081,7292.85,4556.51,0.504111,1.00106
h,8.50351,0.0589992,3.70165,4.61533,2.60265,8.55745,14.288,3972.06,4221.6,0.274565,1.00029
d,0.0304469,0.000421522,0.0298871,0.0162278,0.00574605,0.0215878,0.0855448,4850.93,5576.19,0.335315,1.00076
s_d,0.184231,0.0070477,0.446411,0.0700824,0.00455361,0.0583612,0.737659,5154.22,4844.89,0.35628,1.00134
theta_s,823.162,38.0338,2531.87,296.552,18.0693,245.861,3159.44,4830.52,4280.04,0.333904,0.999948
alpha,6.98363,0.0434959,3.0922,3.23135,2.71601,6.50454,12.9276,5609.39,3148.92,0.387743,1.00171
V0,372.505,9.18751,616.056,192.222,22.4117,185.501,1357.06,6568.28,5083.26,0.454026,0.999874
D0,2677.27,37.6661,2640.12,1647.11,373.66,1708.2,8030.47,4251.13,5894.36,0.293855,1.00018
F0,0.00925438,0.000163462,0.00972305,0.0051025,0.00141746,0.00621415,0.0267522,7356.75,4032.09,0.508528,1.00035
y0[1],4000000.0,,0.0,0.0,4000000.0,4000000.0,4000000.0,,,,
y0[2],1e-10,,1.49936e-24,0.0,1e-10,1e-10,1e-10,,,,
y0[3],372.505,9.18751,616.056,192.222,22.4117,185.501,1357.06,6568.28,5083.26,0.454026,0.999874
y0[4],2677.27,37.6661,2640.12,1647.11,373.66,1708.2,8030.47,4251.13,5894.36,0.293855,1.00018
y0[5],0.00925438,0.000163462,0.00972305,0.0051025,0.00141746,0.00621415,0.0267522,7356.75,4032.09,0.508528,1.00035
"y_sol[1,1]",3999820.0,11.4689,496.268,56.0423,3999320.0,3999950.0,3999990.0,3736.1,2529.4,0.258254,1.00089
"y_sol[1,2]",160.849,10.449,453.251,48.7081,4.50962,42.6928,609.29,3682.55,2648.38,0.254552,1.0008
"y_sol[1,3]",627.836,9.22679,688.517,360.331,84.16,429.104,1830.03,6878.32,5498.6,0.475457,1.00002
"y_sol[1,4]",232.47,0.948884,87.7673,73.738,123.034,216.973,391.496,8774.93,5657.67,0.606558,1.00116
"y_sol[1,5]",0.0035608,6.23976e-05,0.00411549,0.00191665,0.000528715,0.00234522,0.0103428,5355.49,4730.29,0.370193,0.999948
"y_sol[2,1]",3982750.0,386.822,24496.9,9322.37,3943950.0,3989940.0,3998410.0,3952.1,4221.73,0.273185,1.00083
"y_sol[2,2]",14813.0,350.708,22452.3,7804.21,1241.26,8151.36,49214.6,3982.48,4412.75,0.275285,1.00075
"y_sol[2,3]",89446.6,932.548,70263.1,49418.7,19571.7,71493.1,217371.0,5507.71,6038.64,0.380715,1.00072
"y_sol[2,4]",1338.45,6.47287,538.874,431.62,691.158,1238.51,2325.21,7562.87,5594.17,0.522776,0.999839
"y_sol[2,5]",0.215279,0.00263118,0.23502,0.119437,0.0303525,0.144031,0.632185,6796.22,4563.98,0.469782,1.00034
"y_sol[3,1]",2989560.0,11827.2,826880.0,670964.0,1202270.0,3221340.0,3874980.0,4642.89,4988.23,0.320935,1.00067
"y_sol[3,2]",681870.0,9459.58,620343.0,436443.0,76336.4,482744.0,2050770.0,4342.2,4691.62,0.30015,1.00063
"y_sol[3,3]",2102280.0,17260.7,1528610.0,1111540.0,492049.0,1730770.0,4987470.0,7325.23,6215.01,0.506349,1.00045
"y_sol[3,4]",26747.0,102.026,8012.24,6699.0,16573.3,25458.1,41194.0,7584.68,4936.99,0.524283,1.00088
"y_sol[3,5]",19.7493,0.235674,20.9882,11.4473,2.51607,13.4435,58.6526,7378.45,4879.66,0.510028,1.00041
"y_sol[4,1]",1578700.0,17184.8,1091300.0,1367590.0,15361.3,1493260.0,3393700.0,3693.75,2892.89,0.255327,1.00126
"y_sol[4,2]",528418.0,5538.73,386810.0,327806.0,99679.5,424223.0,1310430.0,4718.63,4888.75,0.32617,0.999927
"y_sol[4,3]",1684780.0,12818.2,1125510.0,867869.0,443560.0,1418020.0,3811560.0,7680.05,6656.05,0.530876,1.00017
"y_sol[4,4]",20842.0,78.3994,6526.56,5540.11,12249.2,19882.2,32367.3,8511.34,5917.92,0.588338,1.00061
"y_sol[4,5]",24.4123,0.272579,25.875,13.8648,3.35495,16.3791,71.3881,9063.27,6184.47,0.62649,1.00017
y_pred[1],2.61636,0.00497044,0.408618,0.402233,1.92511,2.63256,3.26246,6878.32,5498.6,0.475457,1.00014
y_pred[2],2.61636,0.00497044,0.408618,0.402233,1.92511,2.63256,3.26246,6878.32,5498.6,0.475457,1.00014
y_pred[3],2.61636,0.00497044,0.408618,0.402233,1.92511,2.63256,3.26246,6878.32,5498.6,0.475457,1.00014
y_pred[4],2.61636,0.00497044,0.408618,0.402233,1.92511,2.63256,3.26246,6878.32,5498.6,0.475457,1.00014
y_pred[5],2.61636,0.00497044,0.408618,0.402233,1.92511,2.63256,3.26246,6878.32,5498.6,0.475457,1.00014
y_pred[6],4.83986,0.00433784,0.319729,0.313915,4.29163,4.85426,5.3372,5507.73,6038.64,0.380716,1.00072
y_pred[7],4.83986,0.00433784,0.319729,0.313915,4.29163,4.85426,5.3372,5507.73,6038.64,0.380716,1.00072
y_pred[8],4.83986,0.00433784,0.319729,0.313915,4.29163,4.85426,5.3372,5507.73,6038.64,0.380716,1.00072
y_pred[9],4.83986,0.00433784,0.319729,0.313915,4.29163,4.85426,5.3372,5507.73,6038.64,0.380716,1.00072
y_pred[10],4.83986,0.00433784,0.319729,0.313915,4.29163,4.85426,5.3372,5507.73,6038.64,0.380716,1.00072
y_pred[11],6.22192,0.00368738,0.305017,0.290559,5.69201,6.23824,6.69788,7325.23,6215.01,0.506349,1.00045
y_pred[12],6.22192,0.00368738,0.305017,0.290559,5.69201,6.23824,6.69788,7325.23,6215.01,0.506349,1.00045
y_pred[13],6.22192,0.00368738,0.305017,0.290559,5.69201,6.23824,6.69788,7325.23,6215.01,0.506349,1.00045
